DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
5C, E, D, 11           1   67.12   67.51   49.62
6H, E, S, 12          10   89.73   89.73   50.00
6H, W, D, 12           1   89.73   89.73   50.00
6NT, W, C, 11          2    0.68    0.68   50.00

DEFENDER, Board 14|10

Contract           Count Overall     Bid    Lead Restdef
3NT, E, C, 12          2   23.29   57.88   15.41   50.00
3NT, E, D, 11          2   92.47   57.88   84.59   50.00
3NT, E, S, 11          1   92.47   57.88   50.00   84.59
3NT, E, S, 12          1   23.29   57.88   50.00   15.41
3NT, W, S, 11          5   92.47   92.47   50.00   50.00
4H, E, C, 12          14   56.16   56.16   50.00   50.00
4H, E, D, 12          21   56.16   56.16   50.00   50.00
4H, E, H, 12           1   56.16   56.16   50.00   50.00
4H, E, S, 12           3   56.16   56.16   50.00   50.00
4H, W, C, 12           2   56.16   56.16   50.00   50.00
4H, W, D, 12           2   56.16   56.16   50.00   50.00
5H, E, C, 12           1   56.16   56.16   50.00   50.00
5H, E, S, 12           1   56.16   56.16   50.00   50.00
6H, E, C, 12           2   10.27   10.27   50.00   50.00
6H, E, D, 12           3   10.27   10.27   50.00   50.00
6H, E, S, 12          10   10.27   10.27   50.00   50.00
6H, W, D, 12           1   10.27   10.27   50.00   50.00
6NT, W, C, 11          2   99.32   99.32   50.00   50.00

DECLARER, Board 14|9

Contract           Count Overall     Bid    Play
2D, N, S, 9            1   77.40   83.34   44.06
2S, S, H, 8            1   77.40   73.30   54.10
3C, N, H, 6            1    6.16   14.04   42.12
3C, N, H, 7            1   21.92   14.04   57.88
3D, N, H, 11           1   89.73   83.34   56.38
3D, N, H, 9            1   77.40   83.34   44.06
3D, N, S, 10           1   83.56   83.34   50.22
3D, N, S, 11           1   89.73   83.34   56.38
3D, S, D, 10           1   83.56   84.25   49.32
3D, S, H, 10           1   83.56   84.25   49.32
3D, S, H, 11           1   89.73   84.25   55.48
3D, S, S, 9            1   77.40   84.25   43.15
3H, E, H, 8            1   26.03   56.93   19.09
3HX, E, H, 9           1  100.00   54.05   95.95
3HX, W, H, 7           1    0.00    0.00   50.00
3NT, N, H, 7           1   21.92   47.60   24.32
3NT, N, H, 8           4   52.74   47.60   55.14
3NT, N, S, 8           1   52.74   47.60   55.14
3NT, S, H, 8           4   52.74   67.12   35.62
3NT, S, H, 9           1   95.89   67.12   78.77
3NT, S, S, 9           1   95.89   67.12   78.77
4D, N, H, 10           1   83.56   78.06   55.50
4D, N, S, 11           1   89.73   78.06   61.67
4D, S, H, 10           1   83.56   81.51   52.05
4S, N, C, 9            1   52.74   52.74   50.00
4S, S, H, 7            5    6.16   25.88   30.28
4S, S, H, 8            7   21.92   25.88   46.03
4S, S, H, 9            4   52.74   25.88   76.86
4SX, S, H, 9           1   21.92    6.76   65.15
5D, N, H, 10           9   52.74   53.84   48.90
5D, N, H, 11           1   95.89   53.84   92.05
5D, N, H, 9            3   21.92   53.84   18.08
5D, N, S, 10           4   52.74   53.84   48.90
5D, N, S, 11           1   95.89   53.84   92.05
5D, S, H, 10           3   52.74   58.90   43.84
5D, S, H, 11           1   95.89   58.90   86.99
5S, S, H, 8            1    6.16    9.04   47.12
6D, N, H, 10           2   21.92   24.05   47.87
6D, N, S, 9            1    6.16   24.05   32.12

DEFENDER, Board 14|9

Contract           Count Overall     Bid    Lead Restdef
2D, N, S, 9            1   22.60   16.66   49.16   56.78
2S, S, H, 8            1   22.60   26.70   50.00   45.90
3C, N, H, 6            1   93.84   85.96   50.00   57.88
3C, N, H, 7            1   78.08   85.96   50.00   42.12
3D, N, H, 11           1   10.27   16.66   50.46   43.15
3D, N, H, 9            1   22.60   16.66   50.46   55.48
3D, N, S, 10           1   16.44   16.66   49.16   50.62
3D, N, S, 11           1   10.27   16.66   49.16   44.45
3D, S, D, 10           1   16.44   15.75   50.68   50.00
3D, S, H, 10           1   16.44   15.75   48.92   51.76
3D, S, H, 11           1   10.27   15.75   48.92   45.60
3D, S, S, 9            1   22.60   15.75   56.85   50.00
3H, E, H, 8            1   73.97   43.07   50.00   80.91
3HX, E, H, 9           1    0.00   45.95   50.00    4.05
3HX, W, H, 7           1  100.00  100.00   50.00   50.00
3NT, N, H, 7           1   78.08   52.40   51.03   74.66
3NT, N, H, 8           4   47.26   52.40   51.03   43.84
3NT, N, S, 8           1   47.26   52.40   44.86   50.00
3NT, S, H, 8           4   47.26   32.88   55.75   58.63
3NT, S, H, 9           1    4.11   32.88   55.75   15.48
3NT, S, S, 9           1    4.11   32.88   21.23   50.00
4D, N, H, 10           1   16.44   21.94   50.66   43.84
4D, N, S, 11           1   10.27   21.94   48.81   39.52
4D, S, H, 10           1   16.44   18.49   46.18   51.76
4S, N, C, 9            1   47.26   47.26   50.00   50.00
4S, S, H, 7            5   93.84   74.12   50.00   69.72
4S, S, H, 8            7   78.08   74.12   50.00   53.97
4S, S, H, 9            4   47.26   74.12   50.00   23.14
4SX, S, H, 9           1   78.08   93.24   50.00   34.85
5D, N, H, 10           9   47.26   46.16   53.16   47.95
5D, N, H, 11           1    4.11   46.16   53.16    4.79
5D, N, H, 9            3   78.08   46.16   53.16   78.77
5D, N, S, 10           4   47.26   46.16   44.32   56.78
5D, N, S, 11           1    4.11   46.16   44.32   13.63
5D, S, H, 10           3   47.26   41.10   43.84   62.33
5D, S, H, 11           1    4.11   41.10   43.84   19.18
5S, S, H, 8            1   93.84   90.96   50.00   52.88
6D, N, H, 10           2   78.08   75.95   52.20   49.92
6D, N, S, 9            1   93.84   75.95   46.03   71.85

DECLARER, Board 15|11

Contract           Count Overall     Bid    Play
1NTX, S, C, 3          1    0.00    0.00   50.00
3NT, E, D, 9           1   45.21   67.12   28.08
3NT, E, H, 10          3   94.52   67.12   77.40
3NT, E, H, 9           1   45.21   67.12   28.08
3NT, E, S, 10          1   94.52   67.12   77.40
3NT, E, S, 9           3   45.21   67.12   28.08
3NT, W, C, 9           1   45.21   46.81   48.39
3NT, W, D, 10          1   94.52   46.81   97.71
3NT, W, H, 10          1   94.52   46.81   97.71
3NT, W, H, 8           1    0.00   46.81    3.19
3NT, W, H, 9           5   45.21   46.81   48.39
3NT, W, S, 10          1   94.52   46.81   97.71
3NT, W, S, 9          54   45.21   46.81   48.39

DEFENDER, Board 15|11

Contract           Count Overall     Bid    Lead Restdef
1NTX, S, C, 3          1  100.00  100.00   50.00   50.00
3NT, E, D, 9           1   54.79   32.88   71.92   50.00
3NT, E, H, 10          3    5.48   32.88   34.93   37.67
3NT, E, H, 9           1   54.79   32.88   34.93   86.99
3NT, E, S, 10          1    5.48   32.88   59.59   13.01
3NT, E, S, 9           3   54.79   32.88   59.59   62.33
3NT, W, C, 9           1   54.79   53.19   51.61   50.00
3NT, W, D, 10          1    5.48   53.19    2.29   50.00
3NT, W, H, 10          1    5.48   53.19   51.02    1.27
3NT, W, H, 8           1  100.00   53.19   51.02   95.79
3NT, W, H, 9           5   54.79   53.19   51.02   50.59
3NT, W, S, 10          1    5.48   53.19   50.71    1.58
3NT, W, S, 9          54   54.79   53.19   50.71   50.90

DECLARER, Board 15|12

Contract           Count Overall     Bid    Play
1NTX, N, C, 7          1   89.04   91.14   47.90
2D, N, C, 10           1   56.85   62.43   44.42
2D, N, H, 10           6   56.85   62.43   44.42
2D, N, H, 11           2   83.56   62.43   71.13
2D, N, H, 9            1   34.25   62.43   21.81
2D, S, H, 10           1   56.85   61.30   45.55
2H, E, D, 7            1   78.08   87.33   40.75
2H, E, H, 8            1   90.41   87.33   53.08
2NTX, E, D, 6          1    8.22    8.22   50.00
3C, E, D, 9            3   90.41   85.62   54.79
3C, E, H, 7            1   69.18   85.62   33.56
3C, E, H, 8            1   78.08   85.62   42.47
3C, E, S, 9            1   90.41   85.62   54.79
3C, W, D, 10           1   95.89   92.24   53.65
3D, N, C, 10           2   56.85   62.43   44.42
3D, N, H, 10          10   56.85   62.43   44.42
3D, N, H, 11           4   83.56   62.43   71.13
3D, N, S, 10           3   56.85   62.43   44.42
3D, S, C, 10           3   56.85   61.30   45.55
3DX, N, H, 11          1  100.00   98.86   51.14
3H, E, H, 8            2   78.08   75.86   52.23
3H, N, H, 6            1    1.37    1.37   50.00
3NT, N, C, 8           1   14.38    8.54   55.84
4C, E, D, 10           1   95.89   73.38   72.51
4C, E, D, 9            2   78.08   73.38   54.70
4C, E, H, 8            2   69.18   73.38   45.80
4C, W, D, 10           1   95.89   84.02   61.87
4C, W, D, 9            3   78.08   84.02   44.06
4CX, E, D, 10          1  100.00   48.72  101.28
4CX, E, H, 8           1    8.22   48.72    9.50
4CX, W, D, 9           1   69.18   79.45   39.73
4D, N, C, 10           2   56.85   61.92   44.92
4D, N, H, 10           1   56.85   61.92   44.92
4D, N, H, 11           1   83.56   61.92   71.64
4D, N, S, 10           2   56.85   61.92   44.92
4D, S, C, 10           1   56.85   61.30   45.55
4DX, N, D, 10          1   95.89   94.14   51.75
5CX, E, D, 9           1    8.22   14.98   43.24
5CX, E, H, 8           1    5.48   14.98   40.50
5D, N, C, 10           1   14.38   32.59   31.79
5DX, N, H, 11          1   97.95   24.65  123.30
5DX, S, C, 11          1   97.95   18.58  129.37

DEFENDER, Board 15|12

Contract           Count Overall     Bid    Lead Restdef
1NTX, N, C, 7          1   10.96    8.86   50.00   52.10
2D, N, C, 10           1   43.15   37.57   55.58   50.00
2D, N, H, 10           6   43.15   37.57   47.52   58.07
2D, N, H, 11           2   16.44   37.57   47.52   31.35
2D, N, H, 9            1   65.75   37.57   47.52   80.67
2D, S, H, 10           1   43.15   38.70   54.45   50.00
2H, E, D, 7            1   21.92   12.67   59.25   50.00
2H, E, H, 8            1    9.59   12.67   46.92   50.00
2NTX, E, D, 6          1   91.78   91.78   50.00   50.00
3C, E, D, 9            3    9.59   14.38   43.84   51.37
3C, E, H, 7            1   30.82   14.38   59.02   57.42
3C, E, H, 8            1   21.92   14.38   59.02   48.52
3C, E, S, 9            1    9.59   14.38   45.21   50.00
3C, W, D, 10           1    4.11    7.76   50.00   46.35
3D, N, C, 10           2   43.15   37.57   55.58   50.00
3D, N, H, 10          10   43.15   37.57   47.52   58.07
3D, N, H, 11           4   16.44   37.57   47.52   31.35
3D, N, S, 10           3   43.15   37.57   55.58   50.00
3D, S, C, 10           3   43.15   38.70   49.11   55.34
3DX, N, H, 11          1    0.00    1.14   49.91   48.95
3H, E, H, 8            2   21.92   24.14   47.77   50.00
3H, N, H, 6            1   98.63   98.63   50.00   50.00
3NT, N, C, 8           1   85.62   91.46   50.00   44.16
4C, E, D, 10           1    4.11   26.62   40.84   36.64
4C, E, D, 9            2   21.92   26.62   40.84   54.45
4C, E, H, 8            2   30.82   26.62   62.99   41.21
4C, W, D, 10           1    4.11   15.98   50.00   38.13
4C, W, D, 9            3   21.92   15.98   50.00   55.94
4CX, E, D, 10          1    0.00   51.28   21.84   26.88
4CX, E, H, 8           1   91.78   51.28   90.96   49.54
4CX, W, D, 9           1   30.82   20.55   50.00   60.27
4D, N, C, 10           2   43.15   38.08   55.08   50.00
4D, N, H, 10           1   43.15   38.08   47.74   57.33
4D, N, H, 11           1   16.44   38.08   47.74   30.62
4D, N, S, 10           2   43.15   38.08   55.08   50.00
4D, S, C, 10           1   43.15   38.70   49.11   55.34
4DX, N, D, 10          1    4.11    5.86   48.25   50.00
5CX, E, D, 9           1   91.78   85.02   41.52   65.24
5CX, E, H, 8           1   94.52   85.02   60.18   49.31
5D, N, C, 10           1   85.62   67.41   68.21   50.00
5DX, N, H, 11          1    2.05   75.35   40.25  -13.55
5DX, S, C, 11          1    2.05   81.42   46.83  -26.19

DECLARER, Board 16|13

Contract           Count Overall     Bid    Play
2NT, N, D, 8           1   22.60   60.96   11.64
2NT, N, H, 9           1   80.14   60.96   69.18
2NT, S, D, 9           1   80.14   45.64   84.50
2NT, S, H, 10          5   91.78   45.64   96.14
2NT, S, H, 8          15   22.60   45.64   26.96
2NT, S, H, 9           4   80.14   45.64   84.50
2S, N, C, 8            1   10.27   58.43    1.85
2S, N, C, 9            5   56.16   58.43   47.74
2S, N, D, 9            1   56.16   58.43   47.74
2S, N, H, 10           3   86.30   58.43   77.87
2S, N, H, 9           16   56.16   58.43   47.74
2S, S, D, 9            1   56.16   56.16   50.00
3C, N, H, 10           1   34.93   34.93   50.00
3C, S, H, 10           1   34.93   34.93   50.00
3D, S, H, 9            1   10.27   10.27   50.00
3H, N, C, 6            1    0.00    0.00   50.00
3NT, N, H, 9           1   96.58   65.98   80.59
3NT, S, D, 8           1    4.79   38.79   16.00
3NT, S, H, 10          1  100.00   38.79  111.21
3NT, S, H, 8           5    4.79   38.79   16.00
3NT, S, H, 9           1   96.58   38.79  107.78
3S, N, C, 9            1   56.16   58.26   47.90
3S, N, H, 9            5   56.16   58.26   47.90
4S, N, S, 10           1   98.63   16.06  132.57

DEFENDER, Board 16|13

Contract           Count Overall     Bid    Lead Restdef
2NT, N, D, 8           1   77.40   39.04   88.36   50.00
2NT, N, H, 9           1   19.86   39.04   30.82   50.00
2NT, S, D, 9           1   19.86   54.36   44.27   21.23
2NT, S, H, 10          5    8.22   54.36   50.37    3.49
2NT, S, H, 8          15   77.40   54.36   50.37   72.67
2NT, S, H, 9           4   19.86   54.36   50.37   15.13
2S, N, C, 8            1   89.73   41.57   58.82   89.33
2S, N, C, 9            5   43.84   41.57   58.82   43.44
2S, N, D, 9            1   43.84   41.57   52.26   50.00
2S, N, H, 10           3   13.70   41.57   48.50   23.63
2S, N, H, 9           16   43.84   41.57   48.50   53.77
2S, S, D, 9            1   43.84   43.84   50.00   50.00
3C, N, H, 10           1   65.07   65.07   50.00   50.00
3C, S, H, 10           1   65.07   65.07   50.00   50.00
3D, S, H, 9            1   89.73   89.73   50.00   50.00
3H, N, C, 6            1  100.00  100.00   50.00   50.00
3NT, N, H, 9           1    3.42   34.02   19.41   50.00
3NT, S, D, 8           1   95.21   61.21   38.11   95.89
3NT, S, H, 10          1    0.00   61.21   50.77  -11.98
3NT, S, H, 8           5   95.21   61.21   50.77   83.23
3NT, S, H, 9           1    3.42   61.21   50.77   -8.55
3S, N, C, 9            1   43.84   41.74   59.43   42.66
3S, N, H, 9            5   43.84   41.74   48.33   53.77
4S, N, S, 10           1    1.37   83.94  -32.57   50.00

DECLARER, Board 16|14

Contract           Count Overall     Bid    Play
3NT, E, H, 13          3   15.07   15.07   50.00
3NT, E, S, 13          1   15.07   15.07   50.00
3NT, W, D, 13          1   15.07   15.07   50.00
4S, E, C, 13           1    5.48    5.48   50.00
4S, E, D, 13           1    5.48    5.48   50.00
4S, E, H, 13           4    5.48    5.48   50.00
4S, W, C, 13           1    5.48    5.48   50.00
4S, W, H, 13           1    5.48    5.48   50.00
5S, E, H, 13           1    5.48    5.48   50.00
6C, E, D, 13           1   20.55   20.55   50.00
6C, E, H, 13           2   20.55   20.55   50.00
6NT, E, C, 13          1   38.36   38.36   50.00
6NT, E, D, 13          3   38.36   38.36   50.00
6NT, E, H, 13          2   38.36   38.36   50.00
6NT, W, C, 13          1   38.36   38.36   50.00
6NT, W, D, 13          3   38.36   38.36   50.00
6NT, W, H, 13          1   38.36   38.36   50.00
6S, E, D, 13           2   26.71   26.71   50.00
6S, E, H, 13           2   26.71   26.71   50.00
6S, W, H, 13           2   26.71   26.71   50.00
7C, E, C, 13           1   47.95   47.95   50.00
7C, E, H, 13           1   47.95   47.95   50.00
7C, W, D, 13           1   47.95   47.95   50.00
7NT, E, C, 13          3   76.03   76.03   50.00
7NT, E, D, 13          8   76.03   76.03   50.00
7NT, E, H, 13          8   76.03   76.03   50.00
7NT, E, S, 13          2   76.03   76.03   50.00
7NT, W, C, 13          5   76.03   76.03   50.00
7NT, W, D, 13          1   76.03   76.03   50.00
7NT, W, H, 13          5   76.03   76.03   50.00
7NT, W, S, 13          4   76.03   76.03   50.00
7S, E, H, 13           1   50.68   50.68   50.00

DEFENDER, Board 16|14

Contract           Count Overall     Bid    Lead Restdef
3NT, E, H, 13          3   84.93   84.93   50.00   50.00
3NT, E, S, 13          1   84.93   84.93   50.00   50.00
3NT, W, D, 13          1   84.93   84.93   50.00   50.00
4S, E, C, 13           1   94.52   94.52   50.00   50.00
4S, E, D, 13           1   94.52   94.52   50.00   50.00
4S, E, H, 13           4   94.52   94.52   50.00   50.00
4S, W, C, 13           1   94.52   94.52   50.00   50.00
4S, W, H, 13           1   94.52   94.52   50.00   50.00
5S, E, H, 13           1   94.52   94.52   50.00   50.00
6C, E, D, 13           1   79.45   79.45   50.00   50.00
6C, E, H, 13           2   79.45   79.45   50.00   50.00
6NT, E, C, 13          1   61.64   61.64   50.00   50.00
6NT, E, D, 13          3   61.64   61.64   50.00   50.00
6NT, E, H, 13          2   61.64   61.64   50.00   50.00
6NT, W, C, 13          1   61.64   61.64   50.00   50.00
6NT, W, D, 13          3   61.64   61.64   50.00   50.00
6NT, W, H, 13          1   61.64   61.64   50.00   50.00
6S, E, D, 13           2   73.29   73.29   50.00   50.00
6S, E, H, 13           2   73.29   73.29   50.00   50.00
6S, W, H, 13           2   73.29   73.29   50.00   50.00
7C, E, C, 13           1   52.05   52.05   50.00   50.00
7C, E, H, 13           1   52.05   52.05   50.00   50.00
7C, W, D, 13           1   52.05   52.05   50.00   50.00
7NT, E, C, 13          3   23.97   23.97   50.00   50.00
7NT, E, D, 13          8   23.97   23.97   50.00   50.00
7NT, E, H, 13          8   23.97   23.97   50.00   50.00
7NT, E, S, 13          2   23.97   23.97   50.00   50.00
7NT, W, C, 13          5   23.97   23.97   50.00   50.00
7NT, W, D, 13          1   23.97   23.97   50.00   50.00
7NT, W, H, 13          5   23.97   23.97   50.00   50.00
7NT, W, S, 13          4   23.97   23.97   50.00   50.00
7S, E, H, 13           1   49.32   49.32   50.00   50.00

DECLARER, Board 17|15

Contract           Count Overall     Bid    Play
2S, S, D, 10           1   88.36   86.68   51.68
2S, S, H, 10           1   88.36   86.68   51.68
3NT, N, C, 6           3    4.79   21.36   33.44
3NT, N, C, 8           2   50.00   21.36   78.64
3NT, N, H, 5           1    0.00   21.36   28.64
3NT, N, H, 6           1    4.79   21.36   33.44
3NT, N, H, 7           1   10.96   21.36   39.60
3NT, N, H, 8           2   50.00   21.36   78.64
3NT, N, S, 6           1    4.79   21.36   33.44
3NT, S, C, 6           1    4.79    4.79   50.00
4CX, E, D, 6           1    0.68    7.33   43.36
4CX, E, S, 7           1    8.90    7.33   51.58
4S, N, C, 9            3   50.00   61.13   38.87
4S, N, D, 10           1   94.52   61.13   83.39
4S, S, C, 10           1   94.52   54.25   90.27
4S, S, C, 9           38   50.00   54.25   45.75
4S, S, D, 10           1   94.52   54.25   90.27
4S, S, S, 11           1   97.26   54.25   93.01
4S, S, S, 9            9   50.00   54.25   45.75
4SX, S, C, 9           1   10.96   19.16   41.80
5CX, E, D, 7           1    0.68    2.57   48.12
5CX, E, D, 8           1    8.90    2.57   56.34
5D, N, H, 9            1   10.96   10.96   50.00

DEFENDER, Board 17|15

Contract           Count Overall     Bid    Lead Restdef
2S, S, D, 10           1   11.64   13.32   48.32   50.00
2S, S, H, 10           1   11.64   13.32   48.32   50.00
3NT, N, C, 6           3   95.21   78.64   48.48   68.08
3NT, N, C, 8           2   50.00   78.64   48.48   22.88
3NT, N, H, 5           1  100.00   78.64   48.21   73.15
3NT, N, H, 6           1   95.21   78.64   48.21   68.36
3NT, N, H, 7           1   89.04   78.64   48.21   62.19
3NT, N, H, 8           2   50.00   78.64   48.21   23.15
3NT, N, S, 6           1   95.21   78.64   66.56   50.00
3NT, S, C, 6           1   95.21   95.21   50.00   50.00
4CX, E, D, 6           1   99.32   92.67   50.53   56.12
4CX, E, S, 7           1   91.10   92.67   48.42   50.00
4S, N, C, 9            3   50.00   38.87   61.13   50.00
4S, N, D, 10           1    5.48   38.87   16.61   50.00
4S, S, C, 10           1    5.48   45.75   53.14    6.59
4S, S, C, 9           38   50.00   45.75   53.14   51.11
4S, S, D, 10           1    5.48   45.75    9.73   50.00
4S, S, S, 11           1    2.74   45.75   49.53    7.47
4S, S, S, 9            9   50.00   45.75   49.53   54.73
4SX, S, C, 9           1   89.04   80.84   56.04   52.16
5CX, E, D, 7           1   99.32   97.43   49.37   52.51
5CX, E, D, 8           1   91.10   97.43   49.37   44.29
5D, N, H, 9            1   89.04   89.04   50.00   50.00

DECLARER, Board 17|16

Contract           Count Overall     Bid    Play
1NT, E, C, 6           1   15.75   55.25   10.50
1NT, E, C, 7           2   34.93   55.25   29.68
1NT, E, C, 8           1   53.42   55.25   48.17
1NT, E, C, 9           1   82.19   55.25   76.94
1NT, E, S, 8           1   53.42   55.25   48.17
1NT, W, C, 9           1   82.19   82.19   50.00
2D, E, D, 10           1   63.01   71.00   42.01
2D, W, S, 10           1   63.01   70.21   42.81
2H, E, D, 9            2   72.60   72.60   50.00
2NT, E, C, 8           1   53.42   49.26   54.17
2NT, N, D, 4           1    8.90   27.63   31.28
2NT, N, D, 5           1   17.81   27.63   40.18
2NT, N, D, 6           1   56.16   27.63   78.54
2S, N, C, 6            1   56.16   79.91   26.26
2S, N, C, 7            1   74.66   79.91   44.75
2S, N, C, 8            1   91.10   79.91   61.19
2S, N, D, 7            1   74.66   79.91   44.75
2S, N, H, 8            1   91.10   79.91   61.19
2S, N, S, 8            1   91.10   79.91   61.19
2S, S, D, 8            1   91.10   82.65   58.45
2S, S, H, 7            1   74.66   82.65   42.01
2S, S, H, 8            3   91.10   82.65   58.45
2S, S, S, 8            1   91.10   82.65   58.45
3C, S, H, 7            4   56.16   67.26   38.90
3C, S, H, 8            6   74.66   67.26   57.40
3D, E, C, 10           1   63.01   71.00   42.01
3D, E, D, 10           3   63.01   71.00   42.01
3D, E, D, 11           1   82.19   71.00   61.19
3D, E, S, 11           2   82.19   71.00   61.19
3D, W, C, 10           1   63.01   70.21   42.81
3D, W, C, 11           3   82.19   70.21   61.99
3D, W, S, 10           2   63.01   70.21   42.81
3H, E, H, 9            1   72.60   72.60   50.00
3HX, E, D, 9           1  100.00  100.00   50.00
3NT, E, C, 7           1    1.37   37.67   13.70
3NT, E, C, 8           1   15.75   37.67   28.08
3NT, E, C, 9           2   95.89   37.67  108.22
3NT, E, S, 9           1   95.89   37.67  108.22
3S, N, C, 7            1   56.16   60.12   46.04
3S, N, D, 7            1   56.16   60.12   46.04
3S, N, D, 8            1   74.66   60.12   64.54
3S, S, D, 5            1    8.90   68.36   -9.45
3S, S, H, 7            3   56.16   68.36   37.81
3S, S, H, 8            2   74.66   68.36   56.30
3S, S, S, 9            1   97.26   68.36   78.90
3SX, S, S, 9           1  100.00   45.11  104.89
4D, E, S, 10           1   63.01   71.00   42.01
4D, E, S, 11           2   82.19   71.00   61.19
4D, W, S, 10           1   63.01   70.21   42.81
4DX, E, S, 10          1   98.63   99.20   49.43
4SX, S, D, 8           1    6.85   12.94   43.91

DEFENDER, Board 17|16

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 6           1   84.25   44.75   52.51   86.99
1NT, E, C, 7           2   65.07   44.75   52.51   67.81
1NT, E, C, 8           1   46.58   44.75   52.51   49.32
1NT, E, C, 9           1   17.81   44.75   52.51   20.55
1NT, E, S, 8           1   46.58   44.75   37.44   64.38
1NT, W, C, 9           1   17.81   17.81   50.00   50.00
2D, E, D, 10           1   36.99   29.00   54.16   53.84
2D, W, S, 10           1   36.99   29.79   57.19   50.00
2H, E, D, 9            2   27.40   27.40   50.00   50.00
2NT, E, C, 8           1   46.58   50.74   53.71   42.12
2NT, N, D, 4           1   91.10   72.37   50.00   68.72
2NT, N, D, 5           1   82.19   72.37   50.00   59.82
2NT, N, D, 6           1   43.84   72.37   50.00   21.46
2S, N, C, 6            1   43.84   20.09   55.76   67.98
2S, N, C, 7            1   25.34   20.09   55.76   49.49
2S, N, C, 8            1    8.90   20.09   55.76   33.05
2S, N, D, 7            1   25.34   20.09   49.77   55.48
2S, N, H, 8            1    8.90   20.09   38.81   50.00
2S, N, S, 8            1    8.90   20.09   38.81   50.00
2S, S, D, 8            1    8.90   17.35   65.98   25.57
2S, S, H, 7            1   25.34   17.35   48.86   59.13
2S, S, H, 8            3    8.90   17.35   48.86   42.69
2S, S, S, 8            1    8.90   17.35   37.44   54.11
3C, S, H, 7            4   43.84   32.74   50.00   61.10
3C, S, H, 8            6   25.34   32.74   50.00   42.60
3D, E, C, 10           1   36.99   29.00   57.99   50.00
3D, E, D, 10           3   36.99   29.00   54.16   53.84
3D, E, D, 11           1   17.81   29.00   54.16   34.66
3D, E, S, 11           2   17.81   29.00   45.21   43.61
3D, W, C, 10           1   36.99   29.79   42.81   64.38
3D, W, C, 11           3   17.81   29.79   42.81   45.21
3D, W, S, 10           2   36.99   29.79   57.19   50.00
3H, E, H, 9            1   27.40   27.40   50.00   50.00
3HX, E, D, 9           1    0.00    0.00   50.00   50.00
3NT, E, C, 7           1   98.63   62.33   53.63   82.67
3NT, E, C, 8           1   84.25   62.33   53.63   68.29
3NT, E, C, 9           2    4.11   62.33   53.63  -11.85
3NT, E, S, 9           1    4.11   62.33   31.85    9.93
3S, N, C, 7            1   43.84   39.88   58.92   45.03
3S, N, D, 7            1   43.84   39.88   47.79   56.16
3S, N, D, 8            1   25.34   39.88   47.79   37.67
3S, S, D, 5            1   91.10   31.64   65.62   93.84
3S, S, H, 7            3   43.84   31.64   51.92   60.27
3S, S, H, 8            2   25.34   31.64   51.92   41.78
3S, S, S, 9            1    2.74   31.64   28.63   42.47
3SX, S, S, 9           1    0.00   54.89    9.73   35.39
4D, E, S, 10           1   36.99   29.00   45.21   62.79
4D, E, S, 11           2   17.81   29.00   45.21   43.61
4D, W, S, 10           1   36.99   29.79   57.19   50.00
4DX, E, S, 10          1    1.37    0.80   49.66   50.91
4SX, S, D, 8           1   93.15   87.06   58.38   47.72

DECLARER, Board 18|17

Contract           Count Overall     Bid    Play
2S, E, D, 10           1  100.00   89.73   60.27
3H, N, S, 10           3   30.14   28.21   51.93
3H, N, S, 9            1   27.40   28.21   49.19
3NT, N, S, 10          2   96.58   76.26   70.32
3NT, N, S, 9           1   35.62   76.26    9.36
3S, E, D, 7            1   74.66   79.94   44.72
3S, E, H, 8            1   76.71   79.94   46.77
4H, N, D, 10           2   65.75   52.51   63.24
4H, N, S, 10          40   65.75   52.51   63.24
4H, N, S, 11           2   99.32   52.51   96.80
4H, N, S, 8            8    6.16   52.51    3.65
4H, N, S, 9            8   17.12   52.51   14.61
4H, W, S, 8            1   74.66   74.66   50.00
4S, E, H, 6            1   67.12   77.61   39.51
4S, N, S, 10           1   65.75   65.75   50.00
4SX, E, H, 8           1   65.75   46.30   69.45

DEFENDER, Board 18|17

Contract           Count Overall     Bid    Lead Restdef
2S, E, D, 10           1    0.00   10.27   51.38   38.36
3H, N, S, 10           3   69.86   71.79   50.06   48.01
3H, N, S, 9            1   72.60   71.79   50.06   50.75
3NT, N, S, 10          2    3.42   23.74   50.00   29.68
3NT, N, S, 9           1   64.38   23.74   50.00   90.64
3S, E, D, 7            1   25.34   20.06   42.61   62.67
3S, E, H, 8            1   23.29   20.06   54.93   48.30
4H, N, D, 10           2   34.25   47.49   36.76   50.00
4H, N, S, 10          40   34.25   47.49   50.43   36.33
4H, N, S, 11           2    0.68   47.49   50.43    2.77
4H, N, S, 8            8   93.84   47.49   50.43   95.92
4H, N, S, 9            8   82.88   47.49   50.43   84.96
4H, W, S, 8            1   25.34   25.34   50.00   50.00
4S, E, H, 6            1   32.88   22.39   55.47   55.02
4S, N, S, 10           1   34.25   34.25   50.00   50.00
4SX, E, H, 8           1   34.25   53.70   52.47   28.08

DECLARER, Board 18|18

Contract           Count Overall     Bid    Play
2NT, W, H, 10          1   27.40   21.41   55.99
