DECLARER, Board 10|19

Contract           Count Overall     Bid    Play
1NT, E, S, 8           1   55.39   55.39   50.00
3SX, E, D, 9           1    0.62    2.56   51.75   46.32
4H, S, S, 8            1   93.03   93.03   48.80   51.20
4S, E, D, 10           3    4.48   65.37   27.18   11.93
4S, E, D, 9            1   91.80   65.37   27.18   99.25
4S, E, H, 9            3   91.80   65.37   70.98   55.45
4SX, E, H, 9           1   99.14   69.18   73.62   56.35

DECLARER, Board 15|29

Contract           Count Overall     Bid    Play
2C, W, C, 13           1    4.31    4.31   50.00
3NT, E, D, 11          4   18.25   23.51   44.75
3NT, E, D, 13          1   92.97   23.51  119.46
3NT, E, D, 8           1    2.15   23.51   28.65
3NT, E, D, 9           1    6.92   23.51   33.41
3NT, E, S, 11          1   18.25   23.51   44.75
3NT, W, C, 13          1   93.47   66.45   77.02
3NT, W, D, 10          1    8.88   66.45   -7.57
3NT, W, D, 11          1   18.88   66.45    2.43
3NT, W, D, 12          1   73.78   66.45   57.32
3NT, W, D, 13          5   93.47   66.45   77.02
3NT, W, D, 8           1    2.17   66.45  -14.29
4H, E, D, 12           1   48.98   48.98   50.00
4H, W, C, 11           1   11.19   54.19    7.00
4H, W, C, 12           9   49.16   54.19   44.97
4H, W, C, 13           1   79.80   54.19   75.62
4H, W, D, 12           7   49.16   54.19   44.97
4H, W, H, 12           6   49.16   54.19   44.97
4H, W, H, 13           1   79.80   54.19   75.62
4H, W, S, 13           4   79.80   54.19   75.62
4NT, E, D, 11          1   18.25   22.71   45.54

DEFENDER, Board 15|29

Contract           Count Overall     Bid    Lead Restdef
2C, W, C, 13           1   95.69   95.69   50.23   49.77
3NT, E, D, 11          4   81.75   76.49   49.40   55.85
3NT, E, D, 13          1    7.03   76.49   49.40  -18.86
3NT, E, D, 8           1   97.85   76.49   49.40   71.95
3NT, E, D, 9           1   93.08   76.49   49.40   67.19
3NT, E, S, 11          1   81.75   76.49   55.14   50.11
3NT, W, C, 13          1    6.53   33.55   22.57   50.41
3NT, W, D, 10          1   91.12   33.55   53.07  104.50
3NT, W, D, 11          1   81.12   33.55   53.07   94.50
3NT, W, D, 12          1   26.22   33.55   53.07   39.60
3NT, W, D, 13          5    6.53   33.55   53.07   19.91
3NT, W, D, 8           1   97.83   33.55   53.07  111.21
4H, E, D, 12           1   51.02   51.02   50.00   50.00
4H, W, C, 11           1   88.81   45.81   55.86   87.14
4H, W, C, 12           9   50.84   45.81   55.86   49.17
4H, W, C, 13           1   20.20   45.81   55.86   18.53
4H, W, D, 12           7   50.84   45.81   55.21   49.82
4H, W, H, 12           6   50.84   45.81   50.69   54.34
4H, W, H, 13           1   20.20   45.81   50.69   23.70
4H, W, S, 13           4   20.20   45.81   23.57   50.81
4NT, E, D, 11          1   81.75   77.29   49.37   55.09

DECLARER, Board 15|30

Contract           Count Overall     Bid    Play
5H, N, S, 13           1   48.98   48.91   50.07
5HX, N, S, 13          1   53.06   52.30   50.77
5HX, S, C, 12          1   51.79   51.79   50.00
5S, W, D, 11           2   65.96   66.40   49.56
5SX, E, D, 12          1   85.71   72.63   63.08
5SX, W, D, 11          3   74.49   79.44   45.05
5SX, W, D, 12          9   85.71   79.44   56.27
6DX, N, C, 12          2   65.31   65.31   50.00
6DX, S, C, 12          5   65.31   65.31   50.00
6H, N, C, 12           1   56.12   56.38   49.74
6H, S, C, 12           1   55.87   55.87   50.00
6HX, N, C, 12          4   85.71   89.03   46.68
6HX, N, S, 12          1   85.71   89.03   46.68
6HX, S, C, 12          9   85.46   85.46   50.00
6S, W, D, 11           1   64.47   78.46   36.01
6SX, E, H, 10          1   53.90   75.42   28.48
6SX, W, D, 10          1   54.36   77.99   26.37
6SX, W, D, 11          3   59.51   77.99   31.52
6SX, W, D, 12          2   96.94   77.99   68.95
7SX, W, D, 11          1   53.85   56.09   47.76

DEFENDER, Board 15|30

Contract           Count Overall     Bid    Lead Restdef
5H, N, S, 13           1   51.02   51.09   50.26   49.67
5HX, N, S, 13          1   46.94   47.70   49.91   49.32
5HX, S, C, 12          1   48.21   48.21   50.77   49.23
5S, W, D, 11           2   34.04   33.60   47.35   53.09
5SX, E, D, 12          1   14.29   27.37   35.90   51.02
5SX, W, D, 11          3   25.51   20.56   49.90   55.06
5SX, W, D, 12          9   14.29   20.56   49.90   43.83
6DX, N, C, 12          2   34.69   34.69   50.00   50.00
6DX, S, C, 12          5   34.69   34.69   50.00   50.00
6H, N, C, 12           1   43.88   43.62   50.26   50.00
6H, S, C, 12           1   44.13   44.13   49.74   50.26
6HX, N, C, 12          4   14.29   10.97   52.30   51.02
6HX, N, S, 12          1   14.29   10.97   43.45   59.86
6HX, S, C, 12          9   14.54   14.54   48.72   51.28
6S, W, D, 11           1   35.53   21.54   47.99   66.00
6SX, E, H, 10          1   46.10   24.58   70.32   51.21
6SX, W, D, 10          1   45.64   22.01   48.17   75.46
6SX, W, D, 11          3   40.49   22.01   48.17   70.32
6SX, W, D, 12          2    3.06   22.01   48.17   32.88
7SX, W, D, 11          1   46.15   43.91   48.06   54.17

DECLARER, Board 16|31

Contract           Count Overall     Bid    Play
1NT, N, S, 11          1   94.34   46.14   98.20
1NT, N, S, 5           1    5.99   46.14    9.85
1NT, N, S, 6           7   29.50   46.14   33.36
1NT, N, S, 8           1   70.14   46.14   74.00
1NT, N, S, 9           2   88.36   46.14   92.22
2H, S, D, 10           1   92.72   79.66   63.07
2H, S, S, 8            1   66.59   79.66   36.93
2SX, E, H, 9           1  100.00   96.24   53.76
3C, N, C, 10           1   78.43   71.02   57.41
3C, N, D, 10           1   78.43   71.02   57.41
3C, N, H, 10           1   78.43   71.02   57.41
3C, N, S, 10           2   78.43   71.02   57.41
3C, N, S, 11           1   88.13   71.02   67.11
3C, N, S, 9            2   66.59   71.02   45.57
3C, S, S, 10           2   78.39   62.24   66.16
3NT, S, S, 8           1   29.24   29.24   50.00
3S, E, C, 9            2   86.83   74.58   62.25
3S, E, H, 8            1   55.17   74.58   30.59
3S, E, H, 9            1   86.83   74.58   62.25
3S, E, S, 7            1   44.00   74.58   19.42
3S, E, S, 8            1   55.17   74.58   30.59
3S, E, S, 9            2   86.83   74.58   62.25
3S, W, C, 9            1   86.52   65.45   71.07
3S, W, H, 8            2   54.92   65.45   39.46
3SX, E, C, 8           1   43.62   75.85   17.77
3SX, E, H, 9           1   98.07   75.85   72.22
4C, N, S, 8            1    5.97   57.55   -1.58
4C, N, S, 9            1   29.75   57.55   22.21
4C, S, S, 8            1    5.74   54.17    1.56
4S, E, C, 9            2   54.20   48.63   55.57
4SX, E, C, 8           3    2.26   27.67   24.59
4SX, E, C, 9           3   42.65   27.67   64.99

DEFENDER, Board 16|31

Contract           Count Overall     Bid    Lead Restdef
1NT, N, S, 11          1    5.66   53.86   49.54    2.26
1NT, N, S, 5           1   94.01   53.86   49.54   90.61
1NT, N, S, 6           7   70.50   53.86   49.54   67.10
1NT, N, S, 8           1   29.86   53.86   49.54   26.45
1NT, N, S, 9           2   11.64   53.86   49.54    8.23
2H, S, D, 10           1    7.28   20.34   37.82   49.11
2H, S, S, 8            1   33.41   20.34   64.35   48.72
2SX, E, H, 9           1    0.00    3.76   47.24   49.00
3C, N, C, 10           1   21.57   28.98   43.47   49.12
3C, N, D, 10           1   21.57   28.98   43.47   49.12
3C, N, H, 10           1   21.57   28.98   43.47   49.12
3C, N, S, 10           2   21.57   28.98   53.96   38.63
3C, N, S, 11           1   11.87   28.98   53.96   28.93
3C, N, S, 9            2   33.41   28.98   53.96   50.47
3C, S, S, 10           2   21.61   37.76   50.33   33.51
3NT, S, S, 8           1   70.76   70.76   48.63   51.37
3S, E, C, 9            2   13.17   25.42   51.01   36.73
3S, E, H, 8            1   44.83   25.42   47.53   71.87
3S, E, H, 9            1   13.17   25.42   47.53   40.21
3S, E, S, 7            1   56.00   25.42   57.99   72.59
3S, E, S, 8            1   44.83   25.42   57.99   61.42
3S, E, S, 9            2   13.17   25.42   57.99   29.75
3S, W, C, 9            1   13.48   34.55   30.76   48.17
3S, W, H, 8            2   45.08   34.55   61.37   49.17
3SX, E, C, 8           1   56.38   24.15   47.93   84.30
3SX, E, H, 9           1    1.93   24.15   41.67   36.12
4C, N, S, 8            1   94.03   42.45   58.86   92.71
4C, N, S, 9            1   70.25   42.45   58.86   68.93
4C, S, S, 8            1   94.26   45.83   50.43   98.01
4S, E, C, 9            2   45.80   51.37   48.63   45.80
4SX, E, C, 8           3   97.74   72.33   49.65   75.76
4SX, E, C, 9           3   57.35   72.33   49.65   35.36

DECLARER, Board 16|32

Contract           Count Overall     Bid    Play
1NT, S, D, 7           4   19.10   36.45   32.65
1NT, S, D, 8           7   37.79   36.45   51.34
1NT, S, D, 9           2   66.47   36.45   80.02
2H, S, D, 10           1   76.04   64.38   61.66
2S, E, C, 7            2   73.95   82.70   41.25
2S, E, H, 8            1   94.56   82.70   61.86
2SX, E, C, 8           2   98.64   69.66   78.98
2SX, E, S, 8           1   98.64   69.66   78.98
3H, N, C, 9            1   55.62   64.02   41.60
3H, N, D, 10           1   76.02   64.02   62.00
3H, N, H, 9            1   55.62   64.02   41.60
3H, N, S, 10           5   76.02   64.02   62.00
3H, N, S, 9            3   55.62   64.02   41.60
3H, S, H, 10           2   76.04   64.38   61.66
3H, S, S, 9            3   55.63   64.38   41.25
3HX, N, D, 9           1   96.95   97.29   49.65
3S, E, C, 7            1   13.75   53.01   10.74
3S, E, C, 8            2   73.02   53.01   70.01
3S, E, S, 8            2   73.02   53.01   70.01
3SX, E, H, 6           1    1.02    9.92   41.10
3SX, W, C, 6           1    0.09    0.09   50.00
4H, N, S, 10           1   92.19   44.87   97.32
4H, N, S, 9            3   11.75   44.87   16.88
4H, S, S, 9            1   11.76   46.24   15.52
4HX, N, S, 9           1    8.16   44.72   13.44

DEFENDER, Board 16|32

Contract           Count Overall     Bid    Lead Restdef
1NT, S, D, 7           4   80.90   63.55   44.85   72.50
1NT, S, D, 8           7   62.21   63.55   44.85   53.81
1NT, S, D, 9           2   33.53   63.55   44.85   25.13
2H, S, D, 10           1   23.96   35.62   32.75   55.59
2S, E, C, 7            2   26.05   17.30   49.76   58.99
2S, E, H, 8            1    5.44   17.30   81.68    6.46
2SX, E, C, 8           2    1.36   30.34   60.18   10.84
2SX, E, S, 8           1    1.36   30.34   21.70   49.32
3H, N, C, 9            1   44.38   35.98   53.81   54.59
3H, N, D, 10           1   23.98   35.98   43.10   44.90
3H, N, H, 9            1   44.38   35.98   53.81   54.59
3H, N, S, 10           5   23.98   35.98   43.92   44.07
3H, N, S, 9            3   44.38   35.98   43.92   64.48
3H, S, H, 10           2   23.96   35.62   32.75   55.59
3H, S, S, 9            3   44.37   35.62   54.17   54.57
3HX, N, D, 9           1    3.05    2.71   51.34   49.01
3S, E, C, 7            1   86.25   46.99   60.44   78.82
3S, E, C, 8            2   26.98   46.99   60.44   19.55
3S, E, S, 8            2   26.98   46.99   34.64   45.35
3SX, E, H, 6           1   98.98   90.08   55.33   53.57
3SX, W, C, 6           1   99.91   99.91   49.06   50.94
4H, N, S, 10           1    7.81   55.13   44.40    8.28
4H, N, S, 9            3   88.25   55.13   44.40   88.72
4H, S, S, 9            1   88.24   53.76   82.97   51.50
4HX, N, S, 9           1   91.84   55.28   46.02   90.54

DECLARER, Board 17|1

Contract           Count Overall     Bid    Play
2S, E, H, 8            1  100.00   87.60   62.40
3H, N, H, 10           2   35.77   33.72   52.05
3H, S, D, 10           1   35.73   32.94   52.79
3H, S, D, 11           1   47.00   32.94   64.06
3H, S, D, 9            4   21.32   32.94   38.37
3H, S, S, 10           7   35.73   32.94   52.79
3NT, N, S, 8           1    6.46    6.46   50.00
3NT, S, S, 8           1    6.46    6.46   50.00
3S, E, H, 7            1   83.88   82.01   51.87
3SX, E, H, 6           1    4.50   41.36   13.14
3SX, E, H, 7           2   49.34   41.36   57.98
4H, N, C, 10           3   72.74   63.39   59.34
4H, N, D, 10           2   72.74   63.39   59.34
4H, N, D, 9            1    7.34   63.39   -6.06
4H, N, H, 10           5   72.74   63.39   59.34
4H, N, H, 9            1    7.34   63.39   -6.06
4H, S, C, 10           1   72.69   58.89   63.80
4H, S, D, 10           2   72.69   58.89   63.80
4H, S, D, 9            1    7.26   58.89   -1.64
4H, S, H, 9            1    7.26   58.89   -1.64
4H, S, S, 10           8   72.69   58.89   63.80
4HX, S, D, 10          1   98.83   76.94   71.90
4SX, E, H, 6           1    0.29    9.10   41.19
4SX, E, H, 7           1    3.63    9.10   44.53

DEFENDER, Board 17|1

Contract           Count Overall     Bid    Lead Restdef
2S, E, H, 8            1    0.00   12.40   49.68   37.92
3H, N, H, 10           2   64.23   66.28   51.83   46.11
3H, S, D, 10           1   64.27   67.06   55.29   41.92
3H, S, D, 11           1   53.00   67.06   55.29   30.65
3H, S, D, 9            4   78.68   67.06   55.29   56.34
3H, S, S, 10           7   64.27   67.06   49.27   47.94
3NT, N, S, 8           1   93.54   93.54   49.32   50.68
3NT, S, S, 8           1   93.54   93.54   49.32   50.68
3S, E, H, 7            1   16.12   17.99   49.03   49.10
3SX, E, H, 6           1   95.50   58.64   47.92   88.94
3SX, E, H, 7           2   50.66   58.64   47.92   44.10
4H, N, C, 10           3   27.26   36.61   41.96   48.69
4H, N, D, 10           2   27.26   36.61   63.39   27.26
4H, N, D, 9            1   92.66   36.61   63.39   92.66
4H, N, H, 10           5   27.26   36.61   50.00   40.66
4H, N, H, 9            1   92.66   36.61   50.00  106.06
4H, S, C, 10           1   27.31   41.11   37.46   48.74
4H, S, D, 10           2   27.31   41.11   67.55   18.65
4H, S, D, 9            1   92.74   41.11   67.55   84.09
4H, S, H, 9            1   92.74   41.11  101.75   49.89
4H, S, S, 10           8   27.31   41.11   37.46   48.74
4HX, S, D, 10          1    1.17   23.06   76.95    1.15
4SX, E, H, 6           1   99.71   90.90   48.75   60.06
4SX, E, H, 7           1   96.37   90.90   48.75   56.72

DECLARER, Board 17|2

Contract           Count Overall     Bid    Play
1NT, E, H, 8           1   16.14   33.83   32.32
1NT, E, S, 10          1   45.92   33.83   62.09
1NT, E, S, 9          13   30.37   33.83   46.54
2NT, E, S, 10          1   45.92   33.83   62.09
2NT, E, S, 9           1   30.37   33.83   46.54
3D, E, D, 9            1    8.61    9.48   49.13
3D, E, H, 9            1    8.61    9.48   49.13
3D, E, S, 10           1   15.56    9.48   56.08
3D, E, S, 9            4    8.61    9.48   49.13
3NT, E, C, 10          2   93.59   74.34   69.24
3NT, E, D, 10          1   93.59   74.34   69.24
3NT, E, D, 9           2   70.26   74.34   45.92
3NT, E, H, 10          3   93.59   74.34   69.24
3NT, E, H, 9           3   70.26   74.34   45.92
3NT, E, S, 10          1   93.59   74.34   69.24
3NT, E, S, 11          1   99.42   74.34   75.08
3NT, E, S, 9          12   70.26   74.34   45.92
5D, E, S, 9            1    0.00    0.08   49.92

DEFENDER, Board 17|2

Contract           Count Overall     Bid    Lead Restdef
1NT, E, H, 8           1   83.86   66.17   47.67   70.01
1NT, E, S, 10          1   54.08   66.17   49.95   37.96
1NT, E, S, 9          13   69.63   66.17   49.95   53.51
2NT, E, S, 10          1   54.08   66.17   49.95   37.96
2NT, E, S, 9           1   69.63   66.17   49.95   53.51
3D, E, D, 9            1   91.39   90.52   52.34   48.53
3D, E, H, 9            1   91.39   90.52   52.34   48.53
3D, E, S, 10           1   84.44   90.52   50.81   43.11
3D, E, S, 9            4   91.39   90.52   50.81   50.06
3NT, E, C, 10          2    6.41   25.66   32.50   48.25
3NT, E, D, 10          1    6.41   25.66   48.83   31.92
3NT, E, D, 9           2   29.74   25.66   48.83   55.25
3NT, E, H, 10          3    6.41   25.66   55.83   24.92
3NT, E, H, 9           3   29.74   25.66   55.83   48.24
3NT, E, S, 10          1    6.41   25.66   53.46   27.30
3NT, E, S, 11          1    0.58   25.66   53.46   21.47
3NT, E, S, 9          12   29.74   25.66   53.46   50.62
5D, E, S, 9            1  100.00   99.92   49.74   50.33

DECLARER, Board 18|3

Contract           Count Overall     Bid    Play
2H, N, D, 9            1   87.63   80.69   56.95
2H, N, S, 8            1   77.21   80.69   46.53
2H, S, S, 8            7   76.94   77.69   49.26
2H, S, S, 9            1   87.37   77.69   59.68
2HX, S, S, 8           1   98.37   98.40   49.97
3H, S, C, 9            1   87.37   52.27   85.09
3H, S, S, 8           16   49.57   52.27   47.30
3NT, N, C, 10          2   94.49   85.17   59.32
3NT, N, C, 9           1   92.04   85.17   56.88
3NT, N, D, 8           1   50.32   85.17   15.15
3NTX, N, C, 10         1  100.00   83.14   66.86
4H, N, S, 8            1   15.36   26.52   38.85
4H, S, C, 8            1   15.10   17.49   47.61
4H, S, S, 8           14   15.10   17.49   47.61
4H, S, S, 9            1   48.55   17.49   81.07

DEFENDER, Board 18|3

Contract           Count Overall     Bid    Lead Restdef
2H, N, D, 9            1   12.37   19.31   42.93   50.12
2H, N, S, 8            1   22.79   19.31   54.15   49.32
2H, S, S, 8            7   23.06   22.31   50.60   50.15
2H, S, S, 9            1   12.63   22.31   50.60   39.73
2HX, S, S, 8           1    1.63    1.60   50.44   49.59
3H, S, C, 9            1   12.63   47.73   33.39   31.51
3H, S, S, 8           16   50.43   47.73   50.38   52.32
3NT, N, C, 10          2    5.51   14.83   41.03   49.64
3NT, N, C, 9           1    7.96   14.83   41.03   52.09
3NT, N, D, 8           1   49.68   14.83   85.17   49.68
3NTX, N, C, 10         1    0.00   16.86   33.64   49.50
4H, N, S, 8            1   84.64   73.48   61.21   49.94
4H, S, C, 8            1   84.90   82.51   34.83   67.56
4H, S, S, 8           14   84.90   82.51   50.45   51.94
4H, S, S, 9            1   51.45   82.51   50.45   18.49

DECLARER, Board 18|4

Contract           Count Overall     Bid    Play
3DX, S, H, 8           1   53.52   64.05   39.48
3DX, S, H, 9           1   99.00   64.05   84.96
3NTX, E, D, 7          1    3.48   32.63   20.85
3NTX, E, D, 8          1   14.98   32.63   32.35
3NTX, N, S, 5          1    2.38    2.38   50.00
4DX, S, S, 8           1   43.09   41.84   51.25
4H, E, D, 6            1    5.85    5.85   50.00
4HX, N, H, 9           1   52.95   50.35   52.61
4HX, S, C, 9           1   53.29   53.29   50.00
4NT, E, D, 9           1   31.25   18.31   62.94
4S, E, D, 10           1   70.89   45.14   75.75
4S, E, D, 9            2   32.27   45.14   37.13
4S, E, H, 10           1   70.89   45.14   75.75
4S, W, D, 10           8   71.14   53.62   67.52
4S, W, D, 9            2   32.47   53.62   28.85
4S, W, H, 10           1   71.14   53.62   67.52
4SX, E, S, 9           1   15.32   37.23   28.09
4SX, W, D, 10          1   81.29   52.80   78.50
5C, W, H, 10           1   31.93   31.93   50.00
5DX, S, H, 6           1    0.57   20.30   30.27
5DX, S, H, 8           3   11.11   20.30   40.81
5DX, S, H, 9           1   42.18   20.30   71.89
5DX, S, S, 9           1   42.18   20.30   71.89
5HX, N, S, 10          1   52.39   28.86   73.52
5HX, N, S, 7           1    3.29   28.86   24.42
5HX, N, S, 8           3   11.34   28.86   32.47
5HX, N, S, 9           3   42.52   28.86   63.66
5S, E, C, 9            1   15.32   20.63   44.69
5S, W, D, 9            4   15.51   24.31   41.20
5SX, W, D, 10          1   14.55    9.66   54.89
5SX, W, D, 7           1    0.11    9.66   40.45
5SX, W, D, 9           1    3.34    9.66   43.68

DEFENDER, Board 18|4

Contract           Count Overall     Bid    Lead Restdef
3DX, S, H, 8           1   46.48   35.95   51.22   59.31
3DX, S, H, 9           1    1.00   35.95   51.22   13.82
3NTX, E, D, 7          1   96.52   67.37   48.48   80.66
3NTX, E, D, 8          1   85.02   67.37   48.48   69.17
3NTX, N, S, 5          1   97.62   97.62   49.32   50.68
4DX, S, S, 8           1   56.91   58.16   38.78   59.97
4H, E, D, 6            1   94.15   94.15   47.68   52.32
4HX, N, H, 9           1   47.05   49.65   42.18   55.21
4HX, S, C, 9           1   46.71   46.71   45.13   54.87
4NT, E, D, 9           1   68.75   81.69   48.65   38.41
4S, E, D, 10           1   29.11   54.86   50.93   23.33
4S, E, D, 9            2   67.73   54.86   50.93   61.95
4S, E, H, 10           1   29.11   54.86   25.76   48.50
4S, W, D, 10           8   28.86   46.38   52.22   30.26
4S, W, D, 9            2   67.53   46.38   52.22   68.94
4S, W, H, 10           1   28.86   46.38   34.23   48.25
4SX, E, S, 9           1   84.68   62.77   69.88   52.03
4SX, W, D, 10          1   18.71   47.20   50.59   20.92
5C, W, H, 10           1   68.07   68.07   50.30   49.70
5DX, S, H, 6           1   99.43   79.70   50.18   69.55
5DX, S, H, 8           3   88.89   79.70   50.18   59.01
5DX, S, H, 9           1   57.82   79.70   50.18   27.93
5DX, S, S, 9           1   57.82   79.70   40.70   37.41
5HX, N, S, 10          1   47.61   71.14   49.02   27.46
5HX, N, S, 7           1   96.71   71.14   49.02   76.56
5HX, N, S, 8           3   88.66   71.14   49.02   68.51
5HX, N, S, 9           3   57.48   71.14   49.02   37.32
5S, E, C, 9            1   84.68   79.37   53.28   52.03
5S, W, D, 9            4   84.49   75.69   49.54   59.26
5SX, W, D, 10          1   85.45   90.34   48.04   47.07
5SX, W, D, 7           1   99.89   90.34   48.04   61.51
5SX, W, D, 9           1   96.66   90.34   48.04   58.28

DECLARER, Board 19|5

Contract           Count Overall     Bid    Play
3NT, N, D, 9           1    5.06   51.84    3.22
3NT, N, H, 10         19   39.05   51.84   37.21
3NT, N, H, 11         12   85.01   51.84   83.17
3NT, N, S, 10         10   39.05   51.84   37.21
3NT, N, S, 11          2   85.01   51.84   83.17
3NT, N, S, 9           1    5.06   51.84    3.22
3NT, S, H, 10          2   38.78   41.84   46.94
3NT, S, H, 11          1   84.95   41.84   93.11
3NT, S, S, 9           1    4.85   41.84   13.01
5D, N, H, 10           1    0.00    0.00   50.00

DEFENDER, Board 19|5

Contract           Count Overall     Bid    Lead Restdef
3NT, N, D, 9           1   94.94   48.16   97.76   49.02
3NT, N, H, 10         19   60.95   48.16   44.89   67.90
3NT, N, H, 11         12   14.99   48.16   44.89   21.93
3NT, N, S, 10         10   60.95   48.16   58.51   54.28
3NT, N, S, 11          2   14.99   48.16   58.51    8.32
3NT, N, S, 9           1   94.94   48.16   58.51   88.27
3NT, S, H, 10          2   61.22   58.16   37.41   65.65
3NT, S, H, 11          1   15.05   58.16   37.41   19.47
3NT, S, S, 9           1   95.15   58.16   87.76   49.23
5D, N, H, 10           1  100.00  100.00   50.00   50.00

DECLARER, Board 19|6

Contract           Count Overall     Bid    Play
2S, W, D, 9            1   83.67   83.67   50.00
3NT, E, C, 10          2   93.78   47.67   96.11
3NT, E, C, 11          1   98.69   47.67  101.02
3NT, E, C, 8           1   70.15   47.67   72.48
3NT, E, H, 10          1   93.78   47.67   96.11
3NT, E, H, 6          12   12.96   47.67   15.29
3NT, E, H, 7          14   41.48   47.67   43.81
3NT, E, H, 8           8   70.15   47.67   72.48
3NT, E, H, 9           2   86.92   47.67   89.25
3NT, E, S, 9           1   86.92   47.67   89.25
3NT, W, C, 10          1   93.83   64.89   78.95
3NT, W, H, 7           2   42.07   64.89   27.18
3NT, W, H, 8           3   70.45   64.89   55.56
3NTX, E, H, 7          1    0.00   24.84   25.16

DEFENDER, Board 19|6

Contract           Count Overall     Bid    Lead Restdef
2S, W, D, 9            1   16.33   16.33   50.00   50.00
3NT, E, C, 10          2    6.22   52.33    7.62   46.27
3NT, E, C, 11          1    1.31   52.33    7.62   41.36
3NT, E, C, 8           1   29.85   52.33    7.62   69.90
3NT, E, H, 10          1    6.22   52.33   55.03   -1.14
3NT, E, H, 6          12   87.04   52.33   55.03   79.69
3NT, E, H, 7          14   58.52   52.33   55.03   51.16
3NT, E, H, 8           8   29.85   52.33   55.03   22.50
3NT, E, H, 9           2   13.08   52.33   55.03    5.72
3NT, E, S, 9           1   13.08   52.33    9.92   50.83
3NT, W, C, 10          1    6.17   35.11   19.99   51.06
3NT, W, H, 7           2   57.93   35.11   55.91   66.91
3NT, W, H, 8           3   29.55   35.11   55.91   38.53
3NTX, E, H, 7          1  100.00   75.16   58.14   66.70

DECLARER, Board 1|1

Contract           Count Overall     Bid    Play
3NT, N, D, 10         14   76.00   49.73   76.26
3NT, N, D, 9          21   29.99   49.73   30.26
3NT, N, H, 9           2   29.99   49.73   30.26
3NT, N, S, 10          2   76.00   49.73   76.26
3NT, N, S, 11          3   97.01   49.73   97.27
3NT, N, S, 7           1    1.00   49.73    1.26
3NT, N, S, 9           3   29.99   49.73   30.26
3NT, S, C, 9           1   30.10   53.06   27.04
3NT, S, D, 10          1   76.02   53.06   72.96
3NT, S, D, 9           1   30.10   53.06   27.04
3NT, S, S, 10          1   76.02   53.06   72.96

DEFENDER, Board 1|1

Contract           Count Overall     Bid    Lead Restdef
3NT, N, D, 10         14   24.00   50.27   51.37   22.37
3NT, N, D, 9          21   70.01   50.27   51.37   68.38
3NT, N, H, 9           2   70.01   50.27   70.14   49.60
3NT, N, S, 10          2   24.00   50.27   40.21   33.53
3NT, N, S, 11          3    2.99   50.27   40.21   12.52
3NT, N, S, 7           1   99.00   50.27   40.21  108.53
3NT, N, S, 9           3   70.01   50.27   40.21   79.53
3NT, S, C, 9           1   69.90   46.94   73.47   49.49
3NT, S, D, 10          1   23.98   46.94   50.00   27.04
3NT, S, D, 9           1   69.90   46.94   50.00   72.96
3NT, S, S, 10          1   23.98   46.94   26.53   50.51

DECLARER, Board 1|2

Contract           Count Overall     Bid    Play
1HX, E, D, 7           1   59.75   59.75   50.00
1NT, E, H, 10          1   60.77   39.96   70.81
1NT, E, H, 8           5   35.83   39.96   45.87
1NT, E, H, 9           5   51.47   39.96   61.52
1NT, E, S, 7           1    8.16   39.96   18.21
1NT, E, S, 8           1   35.83   39.96   45.87
1NTX, N, S, 4          1    0.74    0.74   50.00
2H, S, S, 6            4   29.02   45.83   33.20
2H, S, S, 7            2   89.51   45.83   93.69
2HX, N, S, 7           1   28.74   28.74   50.00
2HX, S, C, 7           1   28.00   15.31   62.69
2HX, S, S, 6           8   10.43   15.31   45.12
2HX, S, S, 7           1   28.00   15.31   62.69
2NT, E, H, 5           1    1.30   39.74   11.57
2NT, E, H, 8           1   35.83   39.74   46.09
2NT, E, H, 9           2   51.47   39.74   61.74
2S, E, H, 8            8   19.73   22.35   47.38
2S, E, H, 9            1   43.31   22.35   70.96
3C, E, H, 7            1    2.89    3.88   49.01
3CX, E, H, 8           1    1.87    0.94   50.94
3H, S, S, 7            1   28.00   22.03   55.98
3HX, S, S, 6           1    1.02    3.35   47.67
3NT, E, H, 8           1    5.73   38.86   16.87

DEFENDER, Board 1|2

Contract           Count Overall     Bid    Lead Restdef
1HX, E, D, 7           1   40.25   40.25   48.53   51.47
1NT, E, H, 10          1   39.23   60.04   46.53   32.66
1NT, E, H, 8           5   64.17   60.04   46.53   57.60
1NT, E, H, 9           5   48.53   60.04   46.53   41.96
1NT, E, S, 7           1   91.84   60.04   67.51   64.29
1NT, E, S, 8           1   64.17   60.04   67.51   36.62
1NTX, N, S, 4          1   99.26   99.26   49.72   50.28
2H, S, S, 6            4   70.98   54.17   53.87   62.93
2H, S, S, 7            2   10.49   54.17   53.87    2.44
2HX, N, S, 7           1   71.26   71.26   51.19   48.81
2HX, S, C, 7           1   72.00   84.69   37.76   49.55
2HX, S, S, 6           8   89.57   84.69   50.25   54.64
2HX, S, S, 7           1   72.00   84.69   50.25   37.06
2NT, E, H, 5           1   98.70   60.26   46.50   91.94
2NT, E, H, 8           1   64.17   60.26   46.50   57.41
2NT, E, H, 9           2   48.53   60.26   46.50   41.77
2S, E, H, 8            8   80.27   77.65   48.31   54.31
2S, E, H, 9            1   56.69   77.65   48.31   30.73
3C, E, H, 7            1   97.11   96.12   49.29   51.70
