DECLARER, Board 10|3

Contract           Count Overall     Bid    Play
1NT, E, D, 8           1    9.67   36.86   22.81
2NT, W, S, 11          1   43.28   62.37   48.46   32.44
2NT, W, S, 8           1   63.85   62.37   48.46   53.02
3H, E, H, 10           1   51.58   51.58   51.06   48.94
3H, W, D, 10          10   51.63   52.28   50.94   48.41
3NT, E, C, 8           1   82.81   69.34   63.12   50.35
3NT, E, D, 8           1   82.81   69.34   35.05   78.42
3NT, E, D, 9           1   28.92   69.34   35.05   24.54
3NT, E, S, 8           1   82.81   69.34   63.12   50.35
3NT, W, C, 9           1   28.69   55.62   20.70   52.37
3NT, W, D, 8          11   82.60   55.62   47.55   79.44
3NT, W, D, 9          12   28.69   55.62   47.55   25.52
3NT, W, H, 9           1   28.69   55.62   20.70   52.37
3NT, W, S, 8           6   82.60   55.62   57.36   69.62
3NT, W, S, 9           2   28.69   55.62   57.36   15.71
4H, E, C, 10           2    7.47    7.47   47.80   52.20
4H, W, D, 10           5    7.52   12.19   47.90   47.43
4H, W, D, 9            1   82.21   12.19   47.90  122.12

DECLARER, Board 15|13

Contract           Count Overall     Bid    Play
1NT, W, D, 4           1   11.59   37.06   24.53
1NT, W, D, 5           1   17.92   37.06   30.86
1NT, W, D, 7           2   59.37   37.06   72.31
2C, E, C, 10           1   88.31   72.34   65.97
2C, E, C, 8            1   60.35   72.34   38.01
2C, E, D, 8            1   60.35   72.34   38.01
2C, E, D, 9            1   79.00   72.34   56.66
2C, E, H, 8            1   60.35   72.34   38.01
2C, E, H, 9            3   79.00   72.34   56.66
2H, N, S, 7            1   33.57   66.99   16.57
2H, N, S, 9            3   71.59   66.99   54.60
2HX, N, H, 8           1   93.75   90.66   53.09
2S, E, C, 10           1   93.20   52.73   90.47
2S, E, C, 9            1   91.01   52.73   88.28
2S, E, D, 6            1   18.43   52.73   15.70
2S, E, D, 7            2   45.81   52.73   43.08
2S, E, D, 9            1   91.01   52.73   88.28
2S, E, H, 6            1   18.43   52.73   15.70
2S, E, H, 7            3   45.81   52.73   43.08
3C, E, D, 8            2   46.28   66.98   29.30
3C, E, D, 9            2   79.00   66.98   62.02
3C, E, H, 9            6   79.00   66.98   62.02
3H, N, S, 8            4   33.18   52.96   30.23
3H, N, S, 9            3   71.59   52.96   68.63
3HX, N, S, 9           1   95.50   55.11   90.39
3HX, S, D, 9           2   96.18   97.26   48.92
3HX, S, S, 10          1   99.42   97.26   52.16
3S, E, H, 7            1   17.77   35.25   32.53
4C, E, D, 8            2   18.24   37.12   31.12
4C, W, H, 8            1   17.70   17.70   50.00
4H, N, S, 9            1   32.36   19.65   62.72
4HX, N, S, 8           1    0.64    1.77   48.86
4HX, N, S, 9           1    2.72    1.77   50.95
4S, E, H, 7            1   11.01   23.72   37.28
4S, W, S, 6            1    8.04    8.04   50.00
5C, E, D, 8            1   11.48   16.46   45.02

DEFENDER, Board 15|13

Contract           Count Overall     Bid    Lead Restdef
1NT, W, D, 4           1   88.41   62.94   51.54   73.93
1NT, W, D, 5           1   82.08   62.94   51.54   67.61
1NT, W, D, 7           2   40.63   62.94   51.54   26.15
2C, E, C, 10           1   11.69   27.66   49.53   34.49
2C, E, C, 8            1   39.65   27.66   49.53   62.45
2C, E, D, 8            1   39.65   27.66   59.47   52.51
2C, E, D, 9            1   21.00   27.66   59.47   33.87
2C, E, H, 8            1   39.65   27.66   45.06   66.93
2C, E, H, 9            3   21.00   27.66   45.06   48.28
2H, N, S, 7            1   66.43   33.01   53.38   80.05
2H, N, S, 9            3   28.41   33.01   53.38   42.02
2HX, N, H, 8           1    6.25    9.34   47.68   49.23
2S, E, C, 10           1    6.80   47.27    7.55   51.97
2S, E, C, 9            1    8.99   47.27    7.55   54.17
2S, E, D, 6            1   81.57   47.27   52.07   82.23
2S, E, D, 7            2   54.19   47.27   52.07   54.85
2S, E, D, 9            1    8.99   47.27   52.07    9.65
2S, E, H, 6            1   81.57   47.27   62.67   71.63
2S, E, H, 7            3   54.19   47.27   62.67   44.25
3C, E, D, 8            2   53.72   33.02   61.13   59.57
3C, E, D, 9            2   21.00   33.02   61.13   26.85
3C, E, H, 9            6   21.00   33.02   40.75   47.23
3H, N, S, 8            4   66.82   47.04   50.33   69.45
3H, N, S, 9            3   28.41   47.04   50.33   31.04
3HX, N, S, 9           1    4.50   44.89   46.64   12.98
3HX, S, D, 9           2    3.82    2.74   50.77   50.31
3HX, S, S, 10          1    0.58    2.74   47.26   50.58
3S, E, H, 7            1   82.23   64.75   65.66   51.82
4C, E, D, 8            2   81.76   62.88   58.47   60.41
4C, W, H, 8            1   82.30   82.30   46.65   53.35
4H, N, S, 9            1   67.64   80.35   47.37   39.92
4HX, N, S, 8           1   99.36   98.23   50.72   50.41
4HX, N, S, 9           1   97.28   98.23   50.72   48.33
4S, E, H, 7            1   88.99   76.28   62.03   50.69
4S, W, S, 6            1   91.96   91.96   49.27   50.73
5C, E, D, 8            1   88.52   83.54   51.25   53.73

DECLARER, Board 15|14

Contract           Count Overall     Bid    Play
1NT, S, D, 9           1   15.76   15.97   49.78
1NT, S, H, 9           1   15.76   15.97   49.78
2NT, N, D, 10          1   20.49   16.54   53.95
2NT, S, D, 8           1   11.43   15.97   45.46
2NT, S, D, 9           1   15.76   15.97   49.78
2NT, S, H, 8           1   11.43   15.97   45.46
2NT, S, H, 9           1   15.76   15.97   49.78
3NT, N, D, 9           1   53.97   58.03   45.93
3NT, N, H, 8           1    5.27   58.03   -2.76
3NT, N, H, 9           1   53.97   58.03   45.93
3NT, N, S, 10          1   92.55   58.03   84.52
3NT, N, S, 9           2   53.97   58.03   45.93
3NT, S, D, 10          4   92.44   54.21   88.23
3NT, S, D, 8           1    5.29   54.21    1.08
3NT, S, D, 9          13   53.87   54.21   49.67
3NT, S, H, 10          3   92.44   54.21   88.23
3NT, S, H, 8           3    5.29   54.21    1.08
3NT, S, H, 9          20   53.87   54.21   49.67
3NT, S, S, 10          1   92.44   54.21   88.23

DEFENDER, Board 15|14

Contract           Count Overall     Bid    Lead Restdef
1NT, S, D, 9           1   84.24   84.03   50.73   49.49
1NT, S, H, 9           1   84.24   84.03   51.33   48.88
2NT, N, D, 10          1   79.51   83.46   49.44   46.61
2NT, S, D, 8           1   88.57   84.03   50.73   53.81
2NT, S, D, 9           1   84.24   84.03   50.73   49.49
2NT, S, H, 8           1   88.57   84.03   51.33   53.21
2NT, S, H, 9           1   84.24   84.03   51.33   48.88
3NT, N, D, 9           1   46.03   41.97   35.23   68.84
3NT, N, H, 8           1   94.73   41.97   79.96   72.80
3NT, N, H, 9           1   46.03   41.97   79.96   24.10
3NT, N, S, 10          1    7.45   41.97   41.95   23.53
3NT, N, S, 9           2   46.03   41.97   41.95   62.12
3NT, S, D, 10          4    7.56   45.79   48.57   13.20
3NT, S, D, 8           1   94.71   45.79   48.57  100.35
3NT, S, D, 9          13   46.13   45.79   48.57   51.76
3NT, S, H, 10          3    7.56   45.79   54.18    7.59
3NT, S, H, 8           3   94.71   45.79   54.18   94.74
3NT, S, H, 9          20   46.13   45.79   54.18   46.16
3NT, S, S, 10          1    7.56   45.79   11.23   50.54

DECLARER, Board 16|15

Contract           Count Overall     Bid    Play
2S, N, D, 10           1   39.31   35.19   54.12
2S, S, D, 10           1   39.81   44.04   45.77
2S, S, D, 11           1   52.52   44.04   58.49
2S, S, D, 12           1   61.50   44.04   67.46
2S, S, D, 9            1   26.97   44.04   32.93
3C, N, D, 10           1   20.77   33.13   37.64
3C, N, D, 12           1   39.31   33.13   56.18
3D, W, C, 9            1   95.00   95.00   50.00
3HX, E, S, 9           1  100.00   95.69   54.31
3NT, N, H, 13          1   98.39   50.79   97.61
3NT, S, D, 10          1   77.33   77.33   50.00
3S, N, D, 9            1   26.94   35.19   41.75
3S, N, H, 10           1   39.31   35.19   54.12
3S, S, D, 10           4   39.81   43.84   45.96
3S, S, D, 11           6   52.52   43.84   58.68
3S, S, D, 12           2   61.50   43.84   67.66
3S, S, D, 9            3   26.97   43.84   33.13
3S, S, H, 10           1   39.81   43.84   45.96
3S, S, S, 11           1   52.52   43.84   58.68
4NT, N, H, 7           1    1.34   49.86    1.47
4S, S, C, 12           1   94.08   63.17   80.91
4S, S, D, 10           3   72.80   63.17   59.63
4S, S, D, 11           7   84.65   63.17   71.49
4S, S, D, 12           3   94.08   63.17   80.91
4S, S, D, 8            1    3.60   63.17   -9.57
4S, S, D, 9            6   11.73   63.17   -1.43
5H, E, S, 8            1   68.27   78.48   39.79
5H, E, S, 9            1   81.88   78.48   53.40
5HX, E, S, 9           1   33.01   32.79   50.22
5HX, W, H, 9           1   33.23   33.23   50.00
5S, S, D, 9            1    3.35   48.11    5.24
6C, N, D, 12           1  100.00   67.78   82.22

DEFENDER, Board 16|15

Contract           Count Overall     Bid    Lead Restdef
2S, N, D, 10           1   60.69   64.81   51.85   44.02
2S, S, D, 10           1   60.19   55.96   49.13   55.10
2S, S, D, 11           1   47.48   55.96   49.13   42.38
2S, S, D, 12           1   38.50   55.96   49.13   33.40
2S, S, D, 9            1   73.03   55.96   49.13   67.93
3C, N, D, 10           1   79.23   66.87   49.21   63.15
3C, N, D, 12           1   60.69   66.87   49.21   44.61
3D, W, C, 9            1    5.00    5.00   52.02   47.98
3HX, E, S, 9           1    0.00    4.31   50.51   45.18
3NT, N, H, 13          1    1.61   49.21   49.47    2.92
3NT, S, D, 10          1   22.67   22.67   50.14   49.86
3S, N, D, 9            1   73.06   64.81   51.85   56.39
3S, N, H, 10           1   60.69   64.81   44.84   51.04
3S, S, D, 10           4   60.19   56.16   49.13   54.91
3S, S, D, 11           6   47.48   56.16   49.13   42.19
3S, S, D, 12           2   38.50   56.16   49.13   33.22
3S, S, D, 9            3   73.03   56.16   49.13   67.75
3S, S, H, 10           1   60.19   56.16   53.49   50.54
3S, S, S, 11           1   47.48   56.16   38.58   52.74
4NT, N, H, 7           1   98.66   50.14   49.86   98.66
4S, S, C, 12           1    5.92   36.83   19.31   49.78
4S, S, D, 10           3   27.20   36.83   51.15   39.22
4S, S, D, 11           7   15.35   36.83   51.15   27.37
4S, S, D, 12           3    5.92   36.83   51.15   17.94
4S, S, D, 8            1   96.40   36.83   51.15  108.42
4S, S, D, 9            6   88.27   36.83   51.15  100.28
5H, E, S, 8            1   31.73   21.52   50.85   59.36
5H, E, S, 9            1   18.12   21.52   50.85   45.75
5HX, E, S, 9           1   66.99   67.21   52.44   47.34
5HX, W, H, 9           1   66.77   66.77   52.53   47.47
5S, S, D, 9            1   96.65   51.89   50.68   94.08
6C, N, D, 12           1    0.00   32.22   49.65   18.13

DECLARER, Board 16|16

Contract           Count Overall     Bid    Play
3NT, N, D, 10          2   66.23   76.14   40.09
3NT, N, H, 10          3   66.23   76.14   40.09
3NT, N, H, 11          3   83.86   76.14   57.72
3NT, N, H, 12          1   94.82   76.14   68.68
3NT, N, S, 11          1   83.86   76.14   57.72
3NT, S, D, 10          1   66.57   88.50   28.07
3NT, S, D, 11          2   84.60   88.50   46.10
3NT, S, D, 12          5   95.22   88.50   56.73
3NT, S, H, 11          1   84.60   88.50   46.10
4S, N, C, 10           2   35.70   37.08   48.63
4S, N, C, 11           1   73.82   37.08   86.74
4S, N, D, 10           6   35.70   37.08   48.63
4S, N, D, 9            2    6.75   37.08   19.68
4S, N, H, 10           5   35.70   37.08   48.63
4S, N, H, 11           1   73.82   37.08   86.74
4S, N, H, 9            1    6.75   37.08   19.68
4S, N, S, 11           1   73.82   37.08   86.74
4S, S, C, 10           3   35.61   32.75   52.86
4S, S, D, 10           8   35.61   32.75   52.86
4S, S, D, 11           1   73.73   32.75   90.98
4S, S, D, 9            2    6.70   32.75   23.95
4S, S, H, 10           4   35.61   32.75   52.86
4S, S, H, 8            1    0.96   32.75   18.21
5S, N, H, 10           1    6.01   15.41   40.60

DEFENDER, Board 16|16

Contract           Count Overall     Bid    Lead Restdef
3NT, N, D, 10          2   33.77   23.86   60.35   49.56
3NT, N, H, 10          3   33.77   23.86   48.20   61.72
3NT, N, H, 11          3   16.14   23.86   48.20   44.09
3NT, N, H, 12          1    5.18   23.86   48.20   33.12
3NT, N, S, 11          1   16.14   23.86   41.93   50.35
3NT, S, D, 10          1   33.43   11.50   49.46   72.47
3NT, S, D, 11          2   15.40   11.50   49.46   54.43
3NT, S, D, 12          5    4.78   11.50   49.46   43.81
3NT, S, H, 11          1   15.40   11.50   54.29   49.61
4S, N, C, 10           2   64.30   62.92   38.25   63.13
4S, N, C, 11           1   26.18   62.92   38.25   25.01
4S, N, D, 10           6   64.30   62.92   58.57   42.81
4S, N, D, 9            2   93.25   62.92   58.57   71.75
4S, N, H, 10           5   64.30   62.92   50.02   51.36
4S, N, H, 11           1   26.18   62.92   50.02   13.25
4S, N, H, 9            1   93.25   62.92   50.02   80.31
4S, N, S, 11           1   26.18   62.92   12.52   50.75
4S, S, C, 10           3   64.39   67.25   46.78   50.36
4S, S, D, 10           8   64.39   67.25   48.70   48.44
4S, S, D, 11           1   26.27   67.25   48.70   10.32
4S, S, D, 9            2   93.30   67.25   48.70   77.35
4S, S, H, 10           4   64.39   67.25   53.98   43.16
4S, S, H, 8            1   99.04   67.25   53.98   77.81
5S, N, H, 10           1   93.99   84.59   51.48   57.92

DECLARER, Board 17|17

Contract           Count Overall     Bid    Play
2D, E, S, 7            1   29.66   29.66   50.00
2H, N, D, 9            1   84.63   77.64   56.99
3C, N, D, 9            1   77.74   77.74   50.00
3C, S, S, 8            1   56.76   74.64   32.12
3C, S, S, 9            4   77.61   74.64   52.98
3D, N, S, 7            1   31.63   50.62   31.01
3D, N, S, 8            3   55.80   50.62   55.18
3DX, N, D, 7           1    5.61   25.36   30.26
3DX, N, D, 8           1   30.74   25.36   55.38
3DX, N, H, 8           1   30.74   25.36   55.38
3DX, N, S, 8           2   30.74   25.36   55.38
3DXX, N, H, 8          1   10.40    8.28   52.12
3H, N, D, 7            1   31.60   71.37   10.23
3H, N, D, 9            1   84.63   71.37   63.26
3H, S, S, 7            1   31.38   51.14   30.24
3H, S, S, 9            1   84.15   51.14   83.02
3HX, S, S, 7           1    5.36   35.89   19.47
3HX, S, S, 8           1   30.80   35.89   44.92
3HX, S, S, 9           1   99.36   35.89  113.47
3NT, N, D, 5           1   11.37   50.32   11.05
3NT, N, D, 8           4   55.88   50.32   55.56
3NT, N, S, 8           3   55.88   50.32   55.56
3SX, E, H, 8           1   27.87   27.87   50.00
3SX, W, C, 7           2    8.04    7.29   50.75
3SX, W, H, 7           3    8.04    7.29   50.75
3SX, W, S, 7           1    8.04    7.29   50.75
4C, S, S, 9            1   55.87   52.41   53.45
4D, N, S, 8            2   30.74   27.79   52.95
4DX, N, S, 8           1    4.72    4.06   50.66
4H, N, S, 9            1   55.77   46.07   59.70
4H, S, S, 6            2   11.35   30.26   31.09
4H, S, S, 8            4   30.80   30.26   50.54
4H, S, S, 9            1   55.29   30.26   75.03
4HX, S, S, 7           1    1.40    8.85   42.56
4HX, S, S, 8           1    4.78    8.85   45.94
4SX, W, C, 6           1    0.00    1.64   48.36
5C, S, S, 9            1   30.80   28.84   51.96
5D, N, S, 7            1   11.29   15.07   46.22

DEFENDER, Board 17|17

Contract           Count Overall     Bid    Lead Restdef
2D, E, S, 7            1   70.34   70.34   49.30   50.70
2H, N, D, 9            1   15.37   22.36   52.94   40.07
3C, N, D, 9            1   22.26   22.26   50.96   49.04
3C, S, S, 8            1   43.24   25.36   50.78   67.09
3C, S, S, 9            4   22.39   25.36   50.78   46.24
3D, N, S, 7            1   68.37   49.38   49.55   69.44
3D, N, S, 8            3   44.20   49.38   49.55   45.27
3DX, N, D, 7           1   94.39   74.64   57.94   61.80
3DX, N, D, 8           1   69.26   74.64   57.94   36.67
3DX, N, H, 8           1   69.26   74.64   45.00   49.62
3DX, N, S, 8           2   69.26   74.64   50.18   44.44
3DXX, N, H, 8          1   89.60   91.72   45.78   52.10
3H, N, D, 7            1   68.40   28.63   55.30   84.47
3H, N, D, 9            1   15.37   28.63   55.30   31.44
3H, S, S, 7            1   68.62   48.86   50.03   69.73
3H, S, S, 9            1   15.85   48.86   50.03   16.95
3HX, S, S, 7           1   94.64   64.11   50.87   79.66
3HX, S, S, 8           1   69.20   64.11   50.87   54.21
3HX, S, S, 9           1    0.64   64.11   50.87  -14.35
3NT, N, D, 5           1   88.63   49.68   52.82   86.13
3NT, N, D, 8           4   44.12   49.68   52.82   41.62
3NT, N, S, 8           3   44.12   49.68   44.07   50.37
3SX, E, H, 8           1   72.13   72.13   49.30   50.70
3SX, W, C, 7           2   91.96   92.71   50.76   48.49
3SX, W, H, 7           3   91.96   92.71   49.25   50.00
3SX, W, S, 7           1   91.96   92.71   49.25   50.00
4C, S, S, 9            1   44.13   47.59   49.86   46.68
4D, N, S, 8            2   69.26   72.21   50.00   47.05
4DX, N, S, 8           1   95.28   95.94   50.49   48.85
4H, N, S, 9            1   44.23   53.93   39.82   50.48
4H, S, S, 6            2   88.65   69.74   49.65   69.26
4H, S, S, 8            4   69.20   69.74   49.65   49.81
4H, S, S, 9            1   44.71   69.74   49.65   25.32
4HX, S, S, 7           1   98.60   91.15   50.43   57.02
4HX, S, S, 8           1   95.22   91.15   50.43   53.64
4SX, W, C, 6           1  100.00   98.36   49.30   52.34
5C, S, S, 9            1   69.20   71.16   50.31   47.72
5D, N, S, 7            1   88.71   84.93   48.54   55.25

DECLARER, Board 17|18

Contract           Count Overall     Bid    Play
1H, E, D, 9            1   50.62   40.15   60.47
1NT, E, D, 8           1   25.32   41.70   33.63
1NT, W, D, 9           1   74.50   45.03   79.47
1NT, W, S, 8           1   25.38   45.03   30.35
1NT, W, S, 9           1   74.50   45.03   79.47
2H, E, C, 8            6   15.02   40.15   24.87
2H, E, C, 9           16   50.62   40.15   60.47
2H, E, D, 9            2   50.62   40.15   60.47
2H, E, S, 8            1   15.02   40.15   24.87
2H, W, C, 9            1   50.88   50.88   50.00
2NT, E, C, 9           1   74.44   41.70   82.75
2NT, E, D, 8           2   25.32   41.70   33.63
2NTX, S, H, 4          1    1.46   11.38   40.08
2NTX, S, H, 6          1   11.40   11.38   50.02
2NTX, S, H, 7          1   21.29   11.38   59.90
2SX, N, C, 6           1   11.40   11.40   50.00
3C, N, H, 6            1   20.12   20.12   50.00
3CX, S, C, 7           1   11.23    9.82   51.40
3CX, S, H, 6           1    4.21    9.82   44.39
3CX, S, H, 7           3   11.23    9.82   51.40
3DX, N, C, 5           1    0.88    0.88   50.00
3H, E, C, 8            3    4.03   36.92   17.11
3H, E, C, 9            5   50.62   36.92   63.70
3HX, W, C, 9           1   94.74   94.74   50.00
3NT, E, C, 9           1   81.46   29.62  101.84
3NT, E, D, 8           1    3.70   29.62   24.08
3NT, W, S, 8           2    3.76   34.86   18.90

DEFENDER, Board 17|18

Contract           Count Overall     Bid    Lead Restdef
1H, E, D, 9            1   49.38   59.85   39.27   50.26
1NT, E, D, 8           1   74.68   58.30   66.26   50.12
1NT, W, D, 9           1   25.50   54.97   19.59   50.94
1NT, W, S, 8           1   74.62   54.97   57.09   62.56
1NT, W, S, 9           1   25.50   54.97   57.09   13.44
2H, E, C, 8            6   84.98   59.85   49.80   75.33
2H, E, C, 9           16   49.38   59.85   49.80   39.73
2H, E, D, 9            2   49.38   59.85   39.27   50.26
2H, E, S, 8            1   84.98   59.85   74.36   50.77
2H, W, C, 9            1   49.12   49.12   50.00   50.00
2NT, E, C, 9           1   25.56   58.30   16.26   50.99
2NT, E, D, 8           2   74.68   58.30   66.26   50.12
2NTX, S, H, 4          1   98.54   88.62   50.27   59.65
2NTX, S, H, 6          1   88.60   88.62   50.27   49.71
2NTX, S, H, 7          1   78.71   88.62   50.27   39.82
2SX, N, C, 6           1   88.60   88.60   50.00   50.00
3C, N, H, 6            1   79.88   79.88   50.82   49.18
3CX, S, C, 7           1   88.77   90.18   48.42   50.18
3CX, S, H, 6           1   95.79   90.18   50.39   55.22
3CX, S, H, 7           3   88.77   90.18   50.39   48.20
3DX, N, C, 5           1   99.12   99.12   50.00   50.00
3H, E, C, 8            3   95.97   63.08   49.99   82.90
3H, E, C, 9            5   49.38   63.08   49.99   36.31
3HX, W, C, 9           1    5.26    5.26   50.00   50.00
3NT, E, C, 9           1   18.54   70.38   -2.83   50.99
3NT, E, D, 8           1   96.30   70.38   75.24   50.68
3NT, W, S, 8           2   96.24   65.14   60.96   70.14

DECLARER, Board 18|19

Contract           Count Overall     Bid    Play
1NT, E, S, 7           1   82.28   86.34   45.93
2H, N, C, 7            1   25.30   57.57   17.72
2H, N, C, 9            3   62.45   57.57   54.88
2NT, E, H, 8           1   98.54   75.43   73.11
2NT, W, H, 8           1   98.62   37.82  110.79
2S, N, D, 9            1   62.58   62.58   50.00
2S, S, D, 8            1   34.89   27.25   57.63
2S, S, H, 7            2   24.71   27.25   47.46
2SX, S, D, 7           1   12.26   33.23   29.03
3C, W, H, 9            1   95.84   95.84   50.00
3C, W, S, 9            2   95.84   95.84   50.00
3H, N, C, 7            2   12.85   55.77    7.08
3H, N, C, 8            2   25.16   55.77   19.40
3H, N, C, 9           23   62.45   55.77   56.68
3H, N, D, 9            1   62.45   55.77   56.68
3H, N, S, 9            2   62.45   55.77   56.68
3H, S, C, 8            1   24.05   18.26   55.79
3H, S, D, 7            1   12.48   18.26   44.21
3HX, N, C, 9           2   99.26   85.00   64.26
3NT, E, H, 7           2    9.04   23.49   35.55
3NT, W, H, 5           1    4.58   25.65   28.93
3NT, W, H, 6           1    5.45   25.65   29.80
4C, E, H, 8            1    9.26   38.16   21.09
4CX, E, S, 9           1    8.38    5.67   52.70
4H, N, C, 8            1   12.71   21.65   41.07
4HX, N, C, 9           1   11.90   10.10   51.80
4HX, N, S, 9           1   11.90   10.10   51.80

DEFENDER, Board 18|19

Contract           Count Overall     Bid    Lead Restdef
1NT, E, S, 7           1   17.72   13.66   57.40   46.67
2H, N, C, 7            1   74.70   42.43   52.24   80.04
2H, N, C, 9            3   37.55   42.43   52.24   42.89
2NT, E, H, 8           1    1.46   24.57   47.56   29.32
2NT, W, H, 8           1    1.38   62.18   49.81  -10.61
2S, N, D, 9            1   37.42   37.42   52.06   47.94
2S, S, D, 8            1   65.11   72.75   46.99   45.38
2S, S, H, 7            2   75.29   72.75   50.06   52.49
2SX, S, D, 7           1   87.74   66.77   27.94   93.04
3C, W, H, 9            1    4.16    4.16   51.10   48.90
3C, W, S, 9            2    4.16    4.16   51.10   48.90
3H, N, C, 7            2   87.15   44.23   52.08   90.84
3H, N, C, 8            2   74.84   44.23   52.08   78.52
3H, N, C, 9           23   37.55   44.23   52.08   41.23
3H, N, D, 9            1   37.55   44.23   45.24   48.08
3H, N, S, 9            2   37.55   44.23   45.24   48.08
3H, S, C, 8            1   75.95   81.74   41.07   53.14
3H, S, D, 7            1   87.52   81.74   54.23   51.56
3HX, N, C, 9           2    0.74   15.00   51.67   34.08
3NT, E, H, 7           2   90.96   76.51   44.64   69.81
3NT, W, H, 5           1   95.42   74.35   50.31   70.76
3NT, W, H, 6           1   94.55   74.35   50.31   69.88
4C, E, H, 8            1   90.74   61.84   78.51   50.39
4CX, E, S, 9           1   91.62   94.33   46.02   51.27
4H, N, C, 8            1   87.29   78.35   47.91   61.02
4HX, N, C, 9           1   88.10   89.90   48.47   49.73
4HX, N, S, 9           1   88.10   89.90   46.07   52.13

DECLARER, Board 18|20

Contract           Count Overall     Bid    Play
3NT, E, S, 12          1    9.97    9.91   50.07
4C, W, D, 11           1    6.52    6.52   50.00
4NT, W, D, 12          2   10.04   10.09   49.95
6NT, E, C, 12          1   55.08   52.93   52.16
6NT, E, D, 12          5   55.08   52.93   52.16
6NT, E, H, 12          4   55.08   52.93   52.16
6NT, E, S, 11          1    3.28   52.93    0.35
6NT, E, S, 12         12   55.08   52.93   52.16
6NT, W, C, 13          2   98.30   56.19   92.11
6NT, W, D, 11          1    3.29   56.19   -2.90
6NT, W, D, 12         21   55.15   56.19   48.96
6NT, W, H, 12          1   55.15   56.19   48.96
6NT, W, S, 12          4   55.15   56.19   48.96
7NT, W, D, 12          2    2.46    8.30   44.17

DEFENDER, Board 18|20

Contract           Count Overall     Bid    Lead Restdef
3NT, E, S, 12          1   90.03   90.09   49.52   50.42
4C, W, D, 11           1   93.48   93.48   49.50   50.50
4NT, W, D, 12          2   89.96   89.91   49.64   50.42
6NT, E, C, 12          1   44.92   47.07   47.66   50.18
6NT, E, D, 12          5   44.92   47.07   47.66   50.18
6NT, E, H, 12          4   44.92   47.07   47.66   50.18
6NT, E, S, 11          1   96.72   47.07   51.42   98.23
6NT, E, S, 12         12   44.92   47.07   51.42   46.42
6NT, W, C, 13          2    1.70   43.81    7.07   50.82
6NT, W, D, 11          1   96.71   43.81   52.95   99.95
6NT, W, D, 12         21   44.85   43.81   52.95   48.09
6NT, W, H, 12          1   44.85   43.81   50.93   50.12
6NT, W, S, 12          4   44.85   43.81   50.93   50.12
7NT, W, D, 12          2   97.54   91.70   55.77   50.07

DECLARER, Board 19|21

Contract           Count Overall     Bid    Play
2CX, N, C, 4           1    0.88    0.88   50.00
2CX, N, S, 4           1    0.88    0.88   50.00
3NT, W, C, 10          1   18.64    7.77   60.87
3NT, W, C, 7           1    0.91    7.77   43.14
3NT, W, C, 8           1    4.23    7.77   46.46
3NT, W, C, 9           1    7.30    7.77   49.53
4H, W, C, 10           2   13.70   22.97   40.73
4H, W, C, 11           1   41.52   22.97   68.55
4S, E, C, 10           3   14.22   55.58    8.65
4S, E, C, 11          11   42.42   55.58   36.84
4S, E, C, 12           9   77.82   55.58   72.24
4S, E, D, 12           1   77.82   55.58   72.24
4S, E, H, 11           8   42.42   55.58   36.84
4S, E, H, 12           5   77.82   55.58   72.24
4S, E, S, 12           1   77.82   55.58   72.24
4S, W, C, 11           3   42.11   45.35   46.76
4S, W, D, 11           1   42.11   45.35   46.76
4S, W, H, 11           1   42.11   45.35   46.76
4S, W, S, 10           1   14.16   45.35   18.81
4S, W, S, 13           1   92.73   45.35   97.39
6S, E, C, 11           1    4.32   43.11   11.22
6S, E, C, 12           1   95.36   43.11  102.26
6S, E, D, 11           1    4.32   43.11   11.22
6S, E, H, 12           1   95.36   43.11  102.26

DEFENDER, Board 19|21

Contract           Count Overall     Bid    Lead Restdef
2CX, N, C, 4           1   99.12   99.12   50.00   50.00
2CX, N, S, 4           1   99.12   99.12   50.00   50.00
3NT, W, C, 10          1   81.36   92.23   50.31   38.82
3NT, W, C, 7           1   99.09   92.23   50.31   56.55
3NT, W, C, 8           1   95.77   92.23   50.31   53.23
3NT, W, C, 9           1   92.70   92.23   50.31   50.16
4H, W, C, 10           2   86.30   77.03   50.17   59.11
4H, W, C, 11           1   58.48   77.03   50.17   31.29
4S, E, C, 10           3   85.78   44.42   52.56   88.79
4S, E, C, 11          11   57.58   44.42   52.56   60.60
4S, E, C, 12           9   22.18   44.42   52.56   25.20
4S, E, D, 12           1   22.18   44.42   45.49   32.27
4S, E, H, 11           8   57.58   44.42   48.06   65.10
4S, E, H, 12           5   22.18   44.42   48.06   29.70
4S, E, S, 12           1   22.18   44.42   27.51   50.25
4S, W, C, 11           3   57.89   54.65   53.24   50.00
4S, W, D, 11           1   57.89   54.65   53.24   50.00
4S, W, H, 11           1   57.89   54.65   53.24   50.00
4S, W, S, 10           1   85.84   54.65   42.28   88.91
4S, W, S, 13           1    7.27   54.65   42.28   10.34
6S, E, C, 11           1   95.68   56.89   53.18   85.61
6S, E, C, 12           1    4.64   56.89   53.18   -5.43
6S, E, D, 11           1   95.68   56.89   43.55   95.24
6S, E, H, 12           1    4.64   56.89   50.13   -2.38

DECLARER, Board 19|22

Contract           Count Overall     Bid    Play
2C, E, C, 3            1    0.88    0.88   50.00
