DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
1NT, N, D, 6           5   -0.56   -0.56   -0.00
3NT, N, C, 11          4   -1.08   -0.39   -0.10   -0.59
3NT, N, C, 9           1    0.79   -0.39   -0.10    1.28
3NT, N, D, 10          2   -0.13   -0.39    0.26    0.00
3NT, N, H, 10          1   -0.13   -0.39    0.26    0.00
3NT, S, C, 10         15   -0.13   -0.59    0.01    0.45
3NT, S, C, 11         30   -1.08   -0.59    0.01   -0.50
3NT, S, C, 12          5   -2.01   -0.59    0.01   -1.44
3NT, S, C, 13          1   -2.91   -0.59    0.01   -2.33
3NT, S, C, 7           1   10.48   -0.59    0.01   11.06
3NT, S, C, 9           5    0.79   -0.59    0.01    1.37
3NT, S, D, 11          1   -1.08   -0.59   -0.49    0.00
4S, N, C, 9            1    9.96    4.45    5.51    0.00
4S, N, H, 11           1   -1.06    4.45   -5.51    0.00
4S, S, D, 9            1    9.96    9.96    0.00    0.00

DECLARER, Board 12|4

Contract           Count Overall     Bid    Play
1NT, N, C, 9           1   -6.92   -6.53   -0.39
1NT, S, C, 8           1   -7.27   -6.89   -0.39
1NT, S, D, 8           1   -7.27   -6.89   -0.39
3C, N, C, 10           1   -7.27   -7.27   -0.00
3D, N, C, 10           3   -7.27   -7.05   -0.22
3D, N, C, 11           5   -6.92   -7.05    0.13
3NT, E, S, 8           1    8.06    8.06   -0.00
3NT, N, C, 10          2    3.36    2.96    0.41
3NT, N, C, 9           6    2.53    2.96   -0.42
3NT, N, D, 10          1    3.36    2.96    0.41
3NT, N, D, 9           2    2.53    2.96   -0.42
3NT, N, H, 10          1    3.36    2.96    0.41
3NT, N, H, 11          1    4.29    2.96    1.33
3NT, N, H, 9           4    2.53    2.96   -0.42
3NT, N, S, 10          5    3.36    2.96    0.41
3NT, N, S, 11          2    4.29    2.96    1.33
3NT, N, S, 9           5    2.53    2.96   -0.42
3NT, S, C, 10          5    3.36   -0.34    3.71
3NT, S, C, 8           3  -10.08   -0.34   -9.73
3NT, S, C, 9           7    2.53   -0.34    2.88
3NT, S, H, 8           3  -10.08   -0.34   -9.73
3NT, S, H, 9          14    2.53   -0.34    2.88
3NT, S, S, 8           1  -10.08   -0.34   -9.73
3NT, S, S, 9           3    2.53   -0.34    2.88

DEFENDER, Board 12|4

Contract           Count Overall     Bid    Lead Restdef
1NT, N, C, 9           1    6.92    6.53    0.19    0.20
1NT, S, C, 8           1    7.27    6.89   -0.16    0.54
1NT, S, D, 8           1    7.27    6.89    0.39    0.00
3C, N, C, 10           1    7.27    7.27    0.00    0.00
3D, N, C, 10           3    7.27    7.05    0.00    0.22
3D, N, C, 11           5    6.92    7.05    0.00   -0.13
3NT, E, S, 8           1   -8.06   -8.06    0.00    0.00
3NT, N, C, 10          2   -3.36   -2.96    0.24   -0.65
3NT, N, C, 9           6   -2.53   -2.96    0.24    0.18
3NT, N, D, 10          1   -3.36   -2.96    0.15   -0.55
3NT, N, D, 9           2   -2.53   -2.96    0.15    0.28
3NT, N, H, 10          1   -3.36   -2.96   -0.01   -0.40
3NT, N, H, 11          1   -4.29   -2.96   -0.01   -1.32
3NT, N, H, 9           4   -2.53   -2.96   -0.01    0.43
3NT, N, S, 10          5   -3.36   -2.96   -0.21   -0.19
3NT, N, S, 11          2   -4.29   -2.96   -0.21   -1.11
3NT, N, S, 9           5   -2.53   -2.96   -0.21    0.64
3NT, S, C, 10          5   -3.36    0.34    0.02   -3.72
3NT, S, C, 8           3   10.08    0.34    0.02    9.72
3NT, S, C, 9           7   -2.53    0.34    0.02   -2.89
3NT, S, H, 8           3   10.08    0.34   -0.65   10.39
3NT, S, H, 9          14   -2.53    0.34   -0.65   -2.23
3NT, S, S, 8           1   10.08    0.34    0.28    9.46
3NT, S, S, 9           3   -2.53    0.34    0.28   -3.15

DECLARER, Board 12|5

Contract           Count Overall     Bid    Play
4SX, E, D, 7           1   13.36   11.92    1.44
5H, N, C, 13           1  -12.06  -12.06   -0.00
5H, N, S, 13           2  -12.06  -12.06   -0.00
6H, N, C, 12           2   -1.42   -0.72   -0.69
6H, N, C, 13           5   -0.65   -0.72    0.07
6H, N, D, 12           1   -1.42   -0.72   -0.69
6H, N, D, 13           5   -0.65   -0.72    0.07
6H, N, H, 13           1   -0.65   -0.72    0.07
6H, N, S, 12           1   -1.42   -0.72   -0.69
6H, N, S, 13          32   -0.65   -0.72    0.07
6H, S, S, 13           2   -0.65   -0.65   -0.00
6S, N, S, 13           1   -0.65   -0.65   -0.00
6SX, E, C, 7           1    7.39    4.75    2.64
6SX, E, D, 8           1   11.06    4.75    6.31
6SX, W, C, 6           2    2.17    0.91    1.26
6SX, W, H, 6           2    2.17    0.91    1.26
6SX, W, S, 4           1   -9.09    0.91  -10.00
6SX, W, S, 5           1   -4.26    0.91   -5.17
7H, N, D, 13           3   11.53    8.82    2.71
7H, N, S, 12           2  -16.97    8.82  -25.79
7H, N, S, 13           8   11.53    8.82    2.71
7SX, E, H, 5           1   -9.09   -0.32   -8.77
7SX, E, H, 6           1   -4.26   -0.32   -3.94
7SX, W, H, 8           1    7.39   -4.39   11.78

DEFENDER, Board 12|5

Contract           Count Overall     Bid    Lead Restdef
4SX, E, D, 7           1  -13.36  -11.92   -1.97    0.53
5H, N, C, 13           1   12.06   12.06   -0.01    0.01
5H, N, S, 13           2   12.06   12.06    0.00    0.00
6H, N, C, 12           2    1.42    0.72    0.12    0.57
6H, N, C, 13           5    0.65    0.72    0.12   -0.19
6H, N, D, 12           1    1.42    0.72    0.01    0.68
6H, N, D, 13           5    0.65    0.72    0.01   -0.09
6H, N, H, 13           1    0.65    0.72   -0.07    0.00
6H, N, S, 12           1    1.42    0.72   -0.02    0.72
6H, N, S, 13          32    0.65    0.72   -0.02   -0.05
6H, S, S, 13           2    0.65    0.65    0.00    0.00
6S, N, S, 13           1    0.65    0.65    0.00    0.00
6SX, E, C, 7           1   -7.39   -4.75   -2.64    0.00
6SX, E, D, 8           1  -11.06   -4.75   -4.48   -1.84
6SX, W, C, 6           2   -2.17   -0.91   -1.26    0.00
6SX, W, H, 6           2   -2.17   -0.91   -4.22    2.97
6SX, W, S, 4           1    9.09   -0.91    7.59    2.42
6SX, W, S, 5           1    4.26   -0.91    7.59   -2.42
7H, N, D, 13           3  -11.53   -8.82    0.45   -3.17
7H, N, S, 12           2   16.97   -8.82   -0.81   26.61
7H, N, S, 13           8  -11.53   -8.82   -0.81   -1.90
7SX, E, H, 5           1    9.09    0.32    6.35    2.42
7SX, E, H, 6           1    4.26    0.32    6.35   -2.42
7SX, W, H, 8           1   -7.39    4.39   -4.01   -7.77

DECLARER, Board 12|6

Contract           Count Overall     Bid    Play
1D, N, D, 5            1   -2.94   -2.94   -0.00
1NT, E, S, 8           1    3.77    2.97    0.79
1NT, W, D, 6           1   -1.38    3.12   -4.50
1NT, W, D, 9           1    4.08    3.12    0.96
1S, W, S, 7            1    2.82    0.72    2.10
2CX, S, H, 5           1  -10.00  -10.00   -0.00
2D, E, H, 8            1    2.88    2.88   -0.00
2D, N, D, 5            1   -4.08   -4.08   -0.00
2D, W, D, 7            1   -1.38    1.82   -3.19
2HX, N, C, 6           1   -7.16   -3.73   -3.42
2HX, N, C, 8           1    9.16   -3.73   12.89
2HX, N, D, 6           1   -7.16   -3.73   -3.42
2HX, N, D, 7           1   -2.94   -3.73    0.80
2HX, N, S, 6           1   -7.16   -3.73   -3.42
2HX, S, H, 5           1  -10.00  -10.00   -0.00
2NT, E, H, 6           1   -3.86    1.63   -5.49
2NT, E, H, 7           1   -1.38    1.63   -3.01
2NT, E, H, 8           2    3.77    1.63    2.13
2NT, E, H, 9           1    4.08    1.63    2.45
2NT, E, S, 8           4    3.77    1.63    2.13
2S, E, D, 7            1   -1.38    0.86   -2.24
2S, W, D, 6            1   -3.86   -2.62   -1.24
3C, E, C, 8            2   -1.38   -1.38   -0.00
3D, E, D, 8            2   -1.38   -1.38   -0.00
3D, E, H, 8            1   -1.38   -1.38   -0.00
3D, W, D, 8            1   -1.38   -2.00    0.62
3D, W, H, 8            2   -1.38   -2.00    0.62
3HX, N, C, 6           1  -10.00   -8.35   -1.65
3NT, E, D, 7           3   -3.86   -1.22   -2.64
3NT, E, D, 8           2   -1.38   -1.22   -0.16
3NT, E, H, 5           1   -7.68   -1.22   -6.46
3NT, E, H, 7           3   -3.86   -1.22   -2.64
3NT, E, H, 8           5   -1.38   -1.22   -0.16
3NT, E, H, 9           4   10.94   -1.22   12.15
3NT, E, S, 6           3   -5.90   -1.22   -4.68
3NT, E, S, 7           3   -3.86   -1.22   -2.64
3NT, E, S, 8           6   -1.38   -1.22   -0.16
3NT, W, D, 8           2   -1.38    1.50   -2.87
3NT, W, D, 9           1   10.94    1.50    9.44
3NT, W, H, 8           2   -1.38    1.50   -2.87
3NTX, E, D, 7          1   -9.39   -4.53   -4.86
3NTX, E, D, 8          1   -3.86   -4.53    0.67
3NTX, E, H, 7          1   -9.39   -4.53   -4.86
3NTX, E, H, 8          2   -3.86   -4.53    0.67
3NTX, E, S, 8          2   -3.86   -4.53    0.67
3S, E, D, 8            1   -1.38   -2.62    1.24

DEFENDER, Board 12|6

Contract           Count Overall     Bid    Lead Restdef
1D, N, D, 5            1    2.94    2.94    0.00    0.00
1NT, E, S, 8           1   -3.77   -2.97    0.16   -0.95
1NT, W, D, 6           1    1.38   -3.12    0.26    4.24
1NT, W, D, 9           1   -4.08   -3.12    0.26   -1.22
1S, W, S, 7            1   -2.82   -0.72   -2.10    0.00
2CX, S, H, 5           1   10.00   10.00    0.00    0.00
2D, E, H, 8            1   -2.88   -2.88    0.00    0.00
2D, N, D, 5            1    4.08    4.08    0.00    0.00
2D, W, D, 7            1    1.38   -1.82    1.06    2.13
2HX, N, C, 6           1    7.16    3.73   -2.02    5.44
2HX, N, C, 8           1   -9.16    3.73   -2.02  -10.87
2HX, N, D, 6           1    7.16    3.73    1.31    2.11
2HX, N, D, 7           1    2.94    3.73    1.31   -2.11
2HX, N, S, 6           1    7.16    3.73    3.42    0.00
2HX, S, H, 5           1   10.00   10.00    0.00    0.00
2NT, E, H, 6           1    3.86   -1.63   -0.16    5.65
2NT, E, H, 7           1    1.38   -1.63   -0.16    3.17
2NT, E, H, 8           2   -3.77   -1.63   -0.16   -1.97
2NT, E, H, 9           1   -4.08   -1.63   -0.16   -2.29
2NT, E, S, 8           4   -3.77   -1.63   -0.12   -2.02
2S, E, D, 7            1    1.38   -0.86    0.00    2.24
2S, W, D, 6            1    3.86    2.62    1.24    0.00
3C, E, C, 8            2    1.38    1.38    0.00    0.00
3D, E, D, 8            2    1.38    1.38    0.00    0.00
3D, E, H, 8            1    1.38    1.38    0.00    0.00
3D, W, D, 8            1    1.38    2.00    0.62   -1.24
3D, W, H, 8            2    1.38    2.00   -0.62    0.00
3HX, N, C, 6           1   10.00    8.35   -0.70    2.35
3NT, E, D, 7           3    3.86    1.22    1.58    1.06
3NT, E, D, 8           2    1.38    1.22    1.58   -1.42
3NT, E, H, 5           1    7.68    1.22   -1.67    8.12
3NT, E, H, 7           3    3.86    1.22   -1.67    4.31
3NT, E, H, 8           5    1.38    1.22   -1.67    1.83
3NT, E, H, 9           4  -10.94    1.22   -1.67  -10.49
3NT, E, S, 6           3    5.90    1.22    1.26    3.41
3NT, E, S, 7           3    3.86    1.22    1.26    1.38
3NT, E, S, 8           6    1.38    1.22    1.26   -1.11
3NT, W, D, 8           2    1.38   -1.50   -1.15    4.02
3NT, W, D, 9           1  -10.94   -1.50   -1.15   -8.29
3NT, W, H, 8           2    1.38   -1.50    2.87    0.00
3NTX, E, D, 7          1    9.39    4.53    2.49    2.37
3NTX, E, D, 8          1    3.86    4.53    2.49   -3.16
3NTX, E, H, 7          1    9.39    4.53   -2.26    7.12
3NTX, E, H, 8          2    3.86    4.53   -2.26    1.59
3NTX, E, S, 8          2    3.86    4.53    1.58   -2.25
3S, E, D, 8            1    1.38    2.62    0.00   -1.24

DECLARER, Board 12|7

Contract           Count Overall     Bid    Play
2NT, N, D, 8           1   -8.83   -8.32   -0.51
3NT, N, C, 10          5    1.75    0.26    1.49
3NT, N, C, 11          1    2.75    0.26    2.49
3NT, N, C, 9           7    0.83    0.26    0.57
3NT, N, D, 10          2    1.75    0.26    1.49
3NT, N, D, 11          3    2.75    0.26    2.49
3NT, N, D, 8           4  -11.09    0.26  -11.36
3NT, N, D, 9          36    0.83    0.26    0.57
3NT, N, H, 11          1    2.75    0.26    2.49
3NT, N, H, 9           1    0.83    0.26    0.57
3NT, N, S, 10          4    1.75    0.26    1.49
3NT, N, S, 11          1    2.75    0.26    2.49
3NT, N, S, 9           1    0.83    0.26    0.57
3NT, S, C, 11          1    2.75   -2.28    5.03
3NT, S, D, 8           1  -11.09   -2.28   -8.81
3NT, S, D, 9           2    0.83   -2.28    3.11
3NT, S, H, 10          3    1.75   -2.28    4.03
3NT, S, H, 8           2  -11.09   -2.28   -8.81
3NT, S, H, 9           1    0.83   -2.28    3.11
4S, N, D, 11           1    2.75    2.75   -0.00

DEFENDER, Board 12|7

Contract           Count Overall     Bid    Lead Restdef
2NT, N, D, 8           1    8.83    8.32    0.13    0.37
3NT, N, C, 10          5   -1.75   -0.26   -1.07   -0.42
3NT, N, C, 11          1   -2.75   -0.26   -1.07   -1.42
3NT, N, C, 9           7   -0.83   -0.26   -1.07    0.50
3NT, N, D, 10          2   -1.75   -0.26    0.56   -2.05
3NT, N, D, 11          3   -2.75   -0.26    0.56   -3.05
3NT, N, D, 8           4   11.09   -0.26    0.56   10.79
3NT, N, D, 9          36   -0.83   -0.26    0.56   -1.13
3NT, N, H, 11          1   -2.75   -0.26   -1.53   -0.96
3NT, N, H, 9           1   -0.83   -0.26   -1.53    0.96
3NT, N, S, 10          4   -1.75   -0.26   -1.50    0.01
3NT, N, S, 11          1   -2.75   -0.26   -1.50   -0.99
3NT, N, S, 9           1   -0.83   -0.26   -1.50    0.94
3NT, S, C, 11          1   -2.75    2.28   -5.03    0.00
3NT, S, D, 8           1   11.09    2.28    0.87    7.95
3NT, S, D, 9           2   -0.83    2.28    0.87   -3.97
3NT, S, H, 10          3   -1.75    2.28    0.41   -4.44
3NT, S, H, 8           2   11.09    2.28    0.41    8.41
3NT, S, H, 9           1   -0.83    2.28    0.41   -3.51
4S, N, D, 11           1   -2.75   -2.75    0.00    0.00

DECLARER, Board 12|8

Contract           Count Overall     Bid    Play
1D, N, D, 8            1   -0.60   -0.60   -0.00
1H, N, C, 7            1   -0.75    0.16   -0.91
1H, N, C, 8            1    0.08    0.16   -0.08
1H, N, C, 9            1    1.09    0.16    0.93
1H, N, D, 8            4    0.08    0.16   -0.08
1H, N, H, 8            1    0.08    0.16   -0.08
1NT, E, C, 5           1    0.16    1.52   -1.36
1NT, E, C, 6           1    1.68    1.52    0.16
1NT, E, H, 5           1    0.16    1.52   -1.36
1NT, E, H, 6           2    1.68    1.52    0.16
1NT, E, H, 7           1    4.99    1.52    3.47
1NT, E, S, 6           1    1.68    1.52    0.16
1NT, N, C, 8           1    0.25    0.40   -0.15
1NT, N, C, 9           1    1.17    0.40    0.77
1NT, N, D, 7           1   -0.60    0.40   -1.00
1NT, N, D, 8           1    0.25    0.40   -0.15
1NT, N, D, 9           1    1.17    0.40    0.77
1NT, N, H, 7           1   -0.60    0.40   -1.00
1NT, S, D, 8           1    0.25   -0.51    0.76
1NT, S, S, 6           1   -4.12   -0.51   -3.61
1NT, S, S, 7           2   -0.60   -0.51   -0.09
1NT, S, S, 8           3    0.25   -0.51    0.76
1NT, W, D, 5           1    0.16    2.37   -2.22
1NT, W, D, 6           1    1.68    2.37   -0.70
1NT, W, D, 7           1    4.99    2.37    2.62
1NT, W, H, 4           1   -1.17    2.37   -3.54
1NT, W, H, 6           2    1.68    2.37   -0.70
1NT, W, H, 7           2    4.99    2.37    2.62
1NTX, E, H, 5          1   -4.78   -0.85   -3.93
2C, S, C, 7            1   -4.12   -1.45   -2.66
2C, S, D, 8            1   -0.60   -1.45    0.85
2C, S, S, 7            1   -4.12   -1.45   -2.66
2D, E, S, 5            1   -1.17   -1.17   -0.00
2D, W, C, 5            1   -1.17   -0.07   -1.10
2D, W, C, 7            2    1.68   -0.07    1.75
2D, W, H, 6            1    0.16   -0.07    0.23
2DX, W, C, 5           1   -8.74   -5.38   -3.36
2DX, W, C, 6           2   -4.78   -5.38    0.60
2DX, W, H, 6           1   -4.78   -5.38    0.60
2DX, W, S, 5           2   -8.74   -5.38   -3.36
2H, N, C, 8            2    0.08   -0.17    0.25
2H, N, C, 9            2    1.09   -0.17    1.26
2H, N, D, 10           1    1.75   -0.17    1.92
2H, N, D, 6            1   -5.22   -0.17   -5.05
2H, N, D, 8            2    0.08   -0.17    0.25
2H, N, H, 7            1   -4.12   -0.17   -3.95
2H, N, H, 8            1    0.08   -0.17    0.25
2H, N, H, 9            1    1.09   -0.17    1.26
2H, N, S, 8            3    0.08   -0.17    0.25
2H, N, S, 9            2    1.09   -0.17    1.26
2H, S, C, 8            3    0.08   -0.97    1.05
2H, S, H, 7            1   -4.12   -0.97   -3.15
2NT, S, S, 8           1    0.25   -1.53    1.77
2S, E, S, 6            1    0.16    0.16   -0.00
3C, S, C, 8            1   -4.12   -2.99   -1.12
3C, S, C, 9            1    0.08   -2.99    3.07
3C, S, D, 10           1    0.64   -2.99    3.63
3NT, N, S, 9           1    6.82    0.25    6.56

DEFENDER, Board 12|8

Contract           Count Overall     Bid    Lead Restdef
1D, N, D, 8            1    0.60    0.60    0.00    0.00
1H, N, C, 7            1    0.75   -0.16   -0.24    1.15
1H, N, C, 8            1   -0.08   -0.16   -0.24    0.32
1H, N, C, 9            1   -1.09   -0.16   -0.24   -0.70
1H, N, D, 8            4   -0.08   -0.16    0.39   -0.31
1H, N, H, 8            1   -0.08   -0.16    0.03    0.05
1NT, E, C, 5           1   -0.16   -1.52    0.60    0.76
1NT, E, C, 6           1   -1.68   -1.52    0.60   -0.76
1NT, E, H, 5           1   -0.16   -1.52   -0.21    1.57
1NT, E, H, 6           2   -1.68   -1.52   -0.21    0.05
1NT, E, H, 7           1   -4.99   -1.52   -0.21   -3.26
1NT, E, S, 6           1   -1.68   -1.52   -0.16    0.00
1NT, N, C, 8           1   -0.25   -0.40   -0.31    0.46
1NT, N, C, 9           1   -1.17   -0.40   -0.31   -0.46
1NT, N, D, 7           1    0.60   -0.40    0.13    0.87
1NT, N, D, 8           1   -0.25   -0.40    0.13    0.03
1NT, N, D, 9           1   -1.17   -0.40    0.13   -0.90
1NT, N, H, 7           1    0.60   -0.40    1.00    0.00
1NT, S, D, 8           1   -0.25    0.51   -0.76    0.00
1NT, S, S, 6           1    4.12    0.51    0.11    3.50
1NT, S, S, 7           2    0.60    0.51    0.11   -0.02
1NT, S, S, 8           3   -0.25    0.51    0.11   -0.86
1NT, W, D, 5           1   -0.16   -2.37    0.10    2.12
1NT, W, D, 6           1   -1.68   -2.37    0.10    0.60
1NT, W, D, 7           1   -4.99   -2.37    0.10   -2.71
1NT, W, H, 4           1    1.17   -2.37   -0.06    3.60
1NT, W, H, 6           2   -1.68   -2.37   -0.06    0.76
1NT, W, H, 7           2   -4.99   -2.37   -0.06   -2.56
1NTX, E, H, 5          1    4.78    0.85   -0.38    4.31
2C, S, C, 7            1    4.12    1.45    0.09    2.57
2C, S, D, 8            1    0.60    1.45   -1.47    0.62
2C, S, S, 7            1    4.12    1.45    2.66    0.00
2D, E, S, 5            1    1.17    1.17    0.00    0.00
2D, W, C, 5            1    1.17    0.07   -0.29    1.39
2D, W, C, 7            2   -1.68    0.07   -0.29   -1.45
2D, W, H, 6            1   -0.16    0.07   -0.23    0.00
2DX, W, C, 5           1    8.74    5.38   -0.92    4.29
2DX, W, C, 6           2    4.78    5.38   -0.92    0.32
2DX, W, H, 6           1    4.78    5.38   -0.60    0.00
2DX, W, S, 5           2    8.74    5.38    3.36    0.00
2H, N, C, 8            2   -0.08    0.17   -0.08   -0.17
2H, N, C, 9            2   -1.09    0.17   -0.08   -1.18
2H, N, D, 10           1   -1.75    0.17    0.21   -2.13
2H, N, D, 6            1    5.22    0.17    0.21    4.85
2H, N, D, 8            2   -0.08    0.17    0.21   -0.45
2H, N, H, 7            1    4.12    0.17    0.55    3.40
2H, N, H, 8            1   -0.08    0.17    0.55   -0.80
2H, N, H, 9            1   -1.09    0.17    0.55   -1.81
2H, N, S, 8            3   -0.08    0.17   -0.65    0.41
2H, N, S, 9            2   -1.09    0.17   -0.65   -0.61
2H, S, C, 8            3   -0.08    0.97   -1.05    0.00
2H, S, H, 7            1    4.12    0.97    3.15    0.00
2NT, S, S, 8           1   -0.25    1.53    0.25   -2.03
2S, E, S, 6            1   -0.16   -0.16    0.00    0.00
3C, S, C, 8            1    4.12    2.99    0.09    1.03
3C, S, C, 9            1   -0.08    2.99    0.09   -3.16
3C, S, D, 10           1   -0.64    2.99   -1.25   -2.38
3NT, N, S, 9           1   -6.82   -0.25   -6.56    0.00

DECLARER, Board 12|9

Contract           Count Overall     Bid    Play
1H, N, C, 8            1    2.36    2.86   -0.50
1H, N, H, 8            2    2.36    2.86   -0.50
1NT, N, S, 6           1   -1.57    1.83   -3.40
1NT, N, S, 7           7    2.03    1.83    0.20
1NT, N, S, 8           1    3.00    1.83    1.17
1NT, N, S, 9           1    3.45    1.83    1.62
1S, E, H, 7            1    2.52    1.64    0.88
1SX, E, S, 8           1    8.34    2.95    5.39
2C, S, C, 11           1    3.45    2.64    0.82
2C, S, S, 9            1    2.36    2.64   -0.27
2H, N, D, 9            2    3.38    2.86    0.51
2H, N, S, 9            2    3.38    2.86    0.51
2H, S, D, 9            1    3.38    3.38   -0.00
2NT, N, C, 6           1   -3.13   -1.32   -1.81
2NT, N, D, 7           1   -1.57   -1.32   -0.25
2NT, N, S, 6           1   -3.13   -1.32   -1.81
2NT, N, S, 7          16   -1.57   -1.32   -0.25
2NT, N, S, 8           1    3.00   -1.32    4.32
2NT, S, S, 10          1    4.36   -0.72    5.09
2NT, S, S, 7           2   -1.57   -0.72   -0.85
2S, E, D, 6            1   -4.71   -2.17   -2.54
2S, E, D, 7            1   -2.21   -2.17   -0.04
2S, E, H, 6            1   -4.71   -2.17   -2.54
2S, E, H, 7            4   -2.21   -2.17   -0.04
2S, E, S, 7            1   -2.21   -2.17   -0.04
3C, N, H, 11           1    3.45    2.73    0.73
3C, N, S, 9            2    2.36    2.73   -0.36
3C, S, S, 9            1    2.36    2.64   -0.27
3D, N, D, 8            1   -1.57   -1.57   -0.00
3H, N, H, 8            3   -1.57    0.61   -2.18
3H, N, S, 10           1    4.27    0.61    3.66
3H, N, S, 8            1   -1.57    0.61   -2.18
3H, N, S, 9            1    3.38    0.61    2.76
3NT, N, S, 7           8   -3.13   -2.83   -0.30
3NT, S, S, 7           4   -3.13   -1.38   -1.75
4C, S, S, 9            1   -1.57   -0.31   -1.26
4H, N, H, 8            1   -3.13   -1.71   -1.42

DEFENDER, Board 12|9

Contract           Count Overall     Bid    Lead Restdef
1H, N, C, 8            1   -2.36   -2.86    0.50    0.00
1H, N, H, 8            2   -2.36   -2.86    0.50    0.00
1NT, N, S, 6           1    1.57   -1.83   -0.09    3.49
1NT, N, S, 7           7   -2.03   -1.83   -0.09   -0.11
1NT, N, S, 8           1   -3.00   -1.83   -0.09   -1.08
1NT, N, S, 9           1   -3.45   -1.83   -0.09   -1.53
1S, E, H, 7            1   -2.52   -1.64   -0.09   -0.79
1SX, E, S, 8           1   -8.34   -2.95   -3.40   -1.98
2C, S, C, 11           1   -3.45   -2.64   -0.82    0.00
2C, S, S, 9            1   -2.36   -2.64    0.27    0.00
2H, N, D, 9            2   -3.38   -2.86   -0.51    0.00
2H, N, S, 9            2   -3.38   -2.86   -0.49   -0.02
2H, S, D, 9            1   -3.38   -3.38    0.00    0.00
2NT, N, C, 6           1    3.13    1.32    1.81    0.00
2NT, N, D, 7           1    1.57    1.32    0.25    0.00
2NT, N, S, 6           1    3.13    1.32   -0.06    1.87
2NT, N, S, 7          16    1.57    1.32   -0.06    0.31
2NT, N, S, 8           1   -3.00    1.32   -0.06   -4.26
2NT, S, S, 10          1   -4.36    0.72    0.00   -5.09
2NT, S, S, 7           2    1.57    0.72    0.00    0.85
2S, E, D, 6            1    4.71    2.17    1.29    1.25
2S, E, D, 7            1    2.21    2.17    1.29   -1.25
2S, E, H, 6            1    4.71    2.17    0.46    2.09
2S, E, H, 7            4    2.21    2.17    0.46   -0.42
2S, E, S, 7            1    2.21    2.17   -2.66    2.69
3C, N, H, 11           1   -3.45   -2.73   -0.73    0.00
3C, N, S, 9            2   -2.36   -2.73    0.36    0.00
3C, S, S, 9            1   -2.36   -2.64    0.27    0.00
3D, N, D, 8            1    1.57    1.57    0.00    0.00
3H, N, H, 8            3    1.57   -0.61    2.18    0.00
3H, N, S, 10           1   -4.27   -0.61   -1.95   -1.71
3H, N, S, 8            1    1.57   -0.61   -1.95    4.14
3H, N, S, 9            1   -3.38   -0.61   -1.95   -0.81
3NT, N, S, 7           8    3.13    2.83   -0.05    0.35
3NT, S, S, 7           4    3.13    1.38    0.00    1.75
4C, S, S, 9            1    1.57    0.31    1.26   -0.00
4H, N, H, 8            1    3.13    1.71    1.42    0.00

DECLARER, Board 13|11

Contract           Count Overall     Bid    Play
4H, S, C, 13           1  -11.94  -11.94   -0.00
4H, S, D, 13           2  -11.94  -11.94   -0.00
4H, S, S, 13           1  -11.94  -11.94   -0.00
5C, N, H, 10           2  -15.71  -15.71   -0.00
5C, S, S, 13           1  -12.09  -12.09   -0.00
6H, N, D, 13           9   -6.64   -6.64   -0.00
6H, N, S, 13           1   -6.64   -6.64   -0.00
6H, S, C, 13           1   -6.64   -6.64   -0.00
6H, S, D, 13           2   -6.64   -6.64   -0.00
6H, S, S, 13           4   -6.64   -6.64   -0.00
7H, N, D, 13          31    3.78    3.78   -0.00
7H, N, H, 13           2    3.78    3.78   -0.00
7H, N, S, 13           7    3.78    3.78   -0.00
7H, S, C, 13           1    3.78    3.78   -0.00
7H, S, D, 13           3    3.78    3.78   -0.00
7H, S, H, 13           7    3.78    3.78   -0.00
7H, S, S, 13           3    3.78    3.78   -0.00

DEFENDER, Board 13|11

Contract           Count Overall     Bid    Lead Restdef
4H, S, C, 13           1   11.94   11.94    0.00    0.00
4H, S, D, 13           2   11.94   11.94    0.00    0.00
4H, S, S, 13           1   11.94   11.94    0.00    0.00
5C, N, H, 10           2   15.71   15.71    0.00    0.00
5C, S, S, 13           1   12.09   12.09    0.00    0.00
6H, N, D, 13           9    6.64    6.64   -0.00    0.00
6H, N, S, 13           1    6.64    6.64    0.00    0.00
6H, S, C, 13           1    6.64    6.64    0.00    0.00
6H, S, D, 13           2    6.64    6.64    0.00    0.00
6H, S, S, 13           4    6.64    6.64    0.00    0.00
7H, N, D, 13          31   -3.78   -3.78   -0.00    0.00
7H, N, H, 13           2   -3.78   -3.78    0.00    0.00
7H, N, S, 13           7   -3.78   -3.78    0.00    0.00
7H, S, C, 13           1   -3.78   -3.78    0.00    0.00
7H, S, D, 13           3   -3.78   -3.78    0.00    0.00
7H, S, H, 13           7   -3.78   -3.78    0.00    0.00
7H, S, S, 13           3   -3.78   -3.78    0.00    0.00

DECLARER, Board 13|12

Contract           Count Overall     Bid    Play
2H, N, S, 9            1    3.22    2.81    0.42
3C, E, H, 8           11   -0.94    0.03   -0.96
3C, E, H, 9            4    2.36    0.03    2.34
3C, E, S, 8            1   -0.94    0.03   -0.96
3CX, E, H, 8           1   -2.23    1.20   -3.44
3D, N, C, 10           2    2.95    2.60    0.35
3D, N, C, 9            1    2.34    2.60   -0.26
3D, N, S, 10           1    2.95    2.60    0.35
