DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2CX, W, C, 3           1  -12.00  -12.00    0.00
2S, S, H, 6            1    4.23   -1.91    1.30    4.84
2S, S, H, 7            3    1.61   -1.91    1.30    2.22
2S, S, H, 8            3   -3.67   -1.91    1.30   -3.06
2S, S, H, 9            1   -4.27   -1.91    1.30   -3.67
2S, S, S, 7            1    1.61   -1.91   -0.44    3.96
2S, S, S, 8            2   -3.67   -1.91   -0.44   -1.32
2S, S, S, 9            1   -4.27   -1.91   -0.44   -1.92
2SX, N, D, 8           1  -12.25   -6.85    1.13   -6.53
2SX, N, D, 9           1  -13.51   -6.85    1.13   -7.79
3D, E, C, 8            1    1.94   -1.88    1.13    2.68
3D, E, H, 9            5   -1.91   -1.88   -0.17    0.14
3D, E, S, 10           2   -2.63   -1.88   -0.33   -0.42
3D, E, S, 9           11   -1.91   -1.88   -0.33    0.29
3D, W, C, 10           1   -2.64   -2.64   -0.15    0.15
3H, N, C, 7            1    4.32    4.32    0.13   -0.13
3S, N, D, 8            1    1.68    2.19    0.23   -0.74
4D, E, S, 9            1    1.99    1.41   -0.53    1.11

DECLARER, Board 13|3

Contract           Count Overall     Bid    Play
3NT, N, C, 12          1  -10.38  -10.38    0.00
5D, N, H, 12           1  -10.70  -10.68   -0.02
5D, S, C, 12           1  -10.70  -10.67   -0.02
6D, S, C, 13           2   -6.21   -6.22    0.01
6D, S, D, 13           1   -6.21   -6.22    0.01
6D, S, S, 12           1   -6.34   -6.22   -0.11
6D, S, S, 13           2   -6.21   -6.22    0.01
6NT, S, C, 12          1   -5.35   -9.64    4.29
6S, N, D, 12           1   -5.34   -5.34    0.00
7D, N, C, 13           1    3.60    0.11    3.49
7D, N, D, 13           2    3.60    0.11    3.49
7D, N, S, 13           1    3.60    0.11    3.49
7D, S, C, 12           1  -13.81    2.04  -15.85
7D, S, C, 13           4    3.63    2.04    1.59
7D, S, D, 12           2  -13.81    2.04  -15.85
7D, S, D, 13          24    3.63    2.04    1.59
7D, S, H, 13           2    3.63    2.04    1.59
7D, S, S, 13          15    3.63    2.04    1.59
7NT, S, S, 11          1  -15.01  -14.53   -0.48

DEFENDER, Board 13|3

Contract           Count Overall     Bid    Lead Restdef
3NT, N, C, 12          1   10.38   10.38    1.03   -1.03
5D, N, H, 12           1   10.70   10.68    0.99   -0.97
5D, S, C, 12           1   10.70   10.67    0.82   -0.80
6D, S, C, 13           2    6.21    6.22    0.99   -1.00
6D, S, D, 13           1    6.21    6.22    0.97   -0.99
6D, S, S, 12           1    6.34    6.22    0.97   -0.86
6D, S, S, 13           2    6.21    6.22    0.97   -0.98
6NT, S, C, 12          1    5.35    9.64   -3.46   -0.82
6S, N, D, 12           1    5.34    5.34    0.93   -0.93
7D, N, C, 13           1   -3.60   -0.11   -2.95   -0.54
7D, N, D, 13           2   -3.60   -0.11   -2.95   -0.54
7D, N, S, 13           1   -3.60   -0.11   -2.95   -0.54
7D, S, C, 12           1   13.81   -2.04    3.42   12.43
7D, S, C, 13           4   -3.63   -2.04    3.42   -5.00
7D, S, D, 12           2   13.81   -2.04    0.30   15.56
7D, S, D, 13          24   -3.63   -2.04    0.30   -1.88
7D, S, H, 13           2   -3.63   -2.04   -1.02   -0.57
7D, S, S, 13          15   -3.63   -2.04   -0.03   -1.55
7NT, S, S, 11          1   15.01   14.53    1.09   -0.61

DECLARER, Board 13|4

Contract           Count Overall     Bid    Play
2HXX, N, S, 12         1   17.94   16.73    1.21
2S, E, C, 5            1    7.74    7.74    0.00
4H, N, D, 11           1   -0.51   -0.19   -0.33
4H, N, H, 11           1   -0.51   -0.19   -0.33
4H, N, S, 11          19   -0.51   -0.19   -0.33
4H, N, S, 12          10    0.31   -0.19    0.50
4H, S, C, 11           2   -0.51   -0.01   -0.50
4H, S, C, 12           3    0.32   -0.01    0.33
4H, S, D, 11           1   -0.51   -0.01   -0.50
4H, S, D, 12           6    0.32   -0.01    0.33
4H, S, H, 12           1    0.32   -0.01    0.33
4H, S, S, 11           4   -0.51   -0.01   -0.50
4H, S, S, 12           2    0.32   -0.01    0.33
5H, N, S, 12           1    0.31   -0.19    0.50
5H, S, S, 12           1    0.32   -0.01    0.33
6H, N, H, 11           1  -12.42   -2.80   -9.62
6H, N, S, 11           1  -12.42   -2.80   -9.62
6H, N, S, 12           3   11.96   -2.80   14.76
6H, S, C, 11           3  -12.37    2.26  -14.63
6H, S, S, 12           2   12.01    2.26    9.75

DEFENDER, Board 13|4

Contract           Count Overall     Bid    Lead Restdef
2HXX, N, S, 12         1  -17.94  -16.73    0.16   -1.37
2S, E, C, 5            1   -7.74   -7.74   -0.02    0.02
4H, N, D, 11           1    0.51    0.19    0.35   -0.03
4H, N, H, 11           1    0.51    0.19    0.35   -0.03
4H, N, S, 11          19    0.51    0.19   -0.01    0.33
4H, N, S, 12          10   -0.31    0.19   -0.01   -0.49
4H, S, C, 11           2    0.51    0.01    0.21    0.29
4H, S, C, 12           3   -0.32    0.01    0.21   -0.54
4H, S, D, 11           1    0.51    0.01   -0.20    0.69
4H, S, D, 12           6   -0.32    0.01   -0.20   -0.13
4H, S, H, 12           1   -0.32    0.01   -0.32   -0.01
4H, S, S, 11           4    0.51    0.01    0.06    0.44
4H, S, S, 12           2   -0.32    0.01    0.06   -0.39
5H, N, S, 12           1   -0.31    0.19   -0.01   -0.49
5H, S, S, 12           1   -0.32    0.01    0.06   -0.39
6H, N, H, 11           1   12.42    2.80    9.76   -0.13
6H, N, S, 11           1   12.42    2.80   -0.81   10.43
6H, N, S, 12           3  -11.96    2.80   -0.81  -13.95
6H, S, C, 11           3   12.37   -2.26    5.57    9.06
6H, S, S, 12           2  -12.01   -2.26    1.12  -10.87

DECLARER, Board 13|5

Contract           Count Overall     Bid    Play
5D, N, H, 12           8   -3.24   -3.24    0.00
5D, N, S, 12           1   -3.24   -3.24    0.00
5D, S, H, 12           1   -3.24   -3.24    0.00
5HX, E, C, 9           1    7.79    7.79    0.00
5HX, E, D, 9           5    7.79    7.79    0.00
5HX, E, H, 9           1    7.79    7.79    0.00
6D, N, D, 12           1    7.68    7.68    0.00
6D, N, H, 12           7    7.68    7.68    0.00
6D, N, S, 12          16    7.68    7.68    0.00
6D, S, C, 12           1    7.68    7.68    0.00
6D, S, H, 12           1    7.68    7.68    0.00
6DX, N, H, 12          1   10.41   10.41    0.00
6DX, N, S, 12          1   10.41   10.41    0.00
6HX, E, C, 9           5    4.78    4.78    0.00
6HX, E, D, 9           6    4.78    4.78    0.00
6HX, E, H, 9           3    4.78    4.78    0.00
7CX, N, S, 12          1  -13.56  -13.56    0.00
7D, N, C, 12           1  -12.52  -12.52    0.00
7DX, N, H, 12          1  -13.56  -13.56   -0.00
7DX, N, S, 12          1  -13.56  -13.56   -0.00
7DX, S, D, 12          1  -13.56  -13.56    0.00

DEFENDER, Board 13|5

Contract           Count Overall     Bid    Lead Restdef
5D, N, H, 12           8    3.24    3.24    0.00    0.00
5D, N, S, 12           1    3.24    3.24    0.00    0.00
5D, S, H, 12           1    3.24    3.24    0.00    0.00
5HX, E, C, 9           1   -7.79   -7.79    0.00   -0.00
5HX, E, D, 9           5   -7.79   -7.79   -0.00    0.00
5HX, E, H, 9           1   -7.79   -7.79   -0.00    0.00
6D, N, D, 12           1   -7.68   -7.68    0.00    0.00
6D, N, H, 12           7   -7.68   -7.68    0.00   -0.00
6D, N, S, 12          16   -7.68   -7.68    0.00    0.00
6D, S, C, 12           1   -7.68   -7.68    0.00    0.00
6D, S, H, 12           1   -7.68   -7.68    0.00    0.00
6DX, N, H, 12          1  -10.41  -10.41    0.00    0.00
6DX, N, S, 12          1  -10.41  -10.41    0.00    0.00
6HX, E, C, 9           5   -4.78   -4.78    0.00    0.00
6HX, E, D, 9           6   -4.78   -4.78    0.00    0.00
6HX, E, H, 9           3   -4.78   -4.78    0.00    0.00
7CX, N, S, 12          1   13.56   13.56    0.00    0.00
7D, N, C, 12           1   12.52   12.52    0.00    0.00
7DX, N, H, 12          1   13.56   13.56    0.00    0.00
7DX, N, S, 12          1   13.56   13.56    0.00    0.00
7DX, S, D, 12          1   13.56   13.56    0.00    0.00

DECLARER, Board 13|6

Contract           Count Overall     Bid    Play
3D, E, C, 9            1    2.10    2.54   -0.45
3D, E, H, 10           2    2.99    2.54    0.45
3D, E, S, 9            1    2.10    2.54   -0.45
3D, W, C, 10           8    2.99    2.53    0.46
3D, W, C, 9            4    2.10    2.53   -0.43
3D, W, D, 10           6    2.99    2.53    0.46
3D, W, D, 9            1    2.10    2.53   -0.43
3D, W, H, 10           9    2.99    2.53    0.46
3D, W, H, 9            1    2.10    2.53   -0.43
3D, W, S, 10           3    2.99    2.53    0.46
3D, W, S, 9            6    2.10    2.53   -0.43
3H, E, C, 6            1   -6.86   -6.86    0.00
3H, E, D, 6            1   -6.86   -6.86    0.00
4C, W, C, 10           1    3.00    3.00    0.00
4D, W, C, 9            4   -2.54    0.11   -2.65
4D, W, D, 10           1    2.95    0.11    2.84
4DX, W, C, 9           1   -4.62    3.53   -8.15
4HX, E, D, 6           1  -14.54  -14.54   -0.00
5D, W, D, 9            1   -4.70   -3.69   -1.01
5DX, W, C, 9           7   -9.82   -7.39   -2.43
5DX, W, S, 9           4   -9.82   -7.39   -2.43

DEFENDER, Board 13|6

Contract           Count Overall     Bid    Lead Restdef
3D, E, C, 9            1   -2.10   -2.54   -0.14    0.59
3D, E, H, 10           2   -2.99   -2.54   -0.96    0.52
3D, E, S, 9            1   -2.10   -2.54   -0.14    0.59
3D, W, C, 10           8   -2.99   -2.53   -0.43   -0.03
3D, W, C, 9            4   -2.10   -2.53   -0.43    0.86
3D, W, D, 10           6   -2.99   -2.53   -0.80    0.33
3D, W, D, 9            1   -2.10   -2.53   -0.80    1.23
3D, W, H, 10           9   -2.99   -2.53   -0.90    0.44
3D, W, H, 9            1   -2.10   -2.53   -0.90    1.33
3D, W, S, 10           3   -2.99   -2.53   -0.35   -0.12
3D, W, S, 9            6   -2.10   -2.53   -0.35    0.78
3H, E, C, 6            1    6.86    6.86   -0.76    0.76
3H, E, D, 6            1    6.86    6.86   -0.76    0.76
4C, W, C, 10           1   -3.00   -3.00   -0.51    0.51
4D, W, C, 9            4    2.54   -0.11    0.22    2.43
4D, W, D, 10           1   -2.95   -0.11   -2.19   -0.65
4DX, W, C, 9           1    4.62   -3.53    2.10    6.05
4HX, E, D, 6           1   14.54   14.54   -0.22    0.22
5D, W, D, 9            1    4.70    3.69   -1.31    2.32
5DX, W, C, 9           7    9.82    7.39    0.04    2.39
5DX, W, S, 9           4    9.82    7.39    0.57    1.86

DECLARER, Board 13|7

Contract           Count Overall     Bid    Play
2NT, S, S, 10          1   -1.28   -1.28    0.00
3NT, S, S, 10          1    3.79    3.79    0.00
4H, N, D, 11           1    4.46    4.46    0.00
4H, S, C, 11           1    4.47    4.49   -0.03
4H, S, D, 11           2    4.47    4.49   -0.03
4H, S, D, 12           1    4.64    4.49    0.15
4H, S, H, 11           2    4.47    4.49   -0.03
4H, S, S, 11           2    4.47    4.49   -0.03
4H, S, S, 12           1    4.64    4.49    0.15
6H, N, D, 11           1   -6.30   -6.30    0.00
6H, N, H, 11           2   -6.30   -6.30    0.00
6H, S, C, 10           1   -7.97    0.04   -8.01
6H, S, C, 11           1   -6.21    0.04   -6.25
6H, S, C, 12           3   12.18    0.04   12.14
6H, S, D, 11           6   -6.21    0.04   -6.25
6H, S, D, 12          10   12.18    0.04   12.14
6H, S, H, 10           1   -7.97    0.04   -8.01
6H, S, H, 11          14   -6.21    0.04   -6.25
6H, S, H, 12           2   12.18    0.04   12.14
6H, S, S, 10           1   -7.97    0.04   -8.01
6H, S, S, 11           3   -6.21    0.04   -6.25
6H, S, S, 12           3   12.18    0.04   12.14
7H, S, H, 11           4   -8.08   -7.55   -0.53

DEFENDER, Board 13|7

Contract           Count Overall     Bid    Lead Restdef
2NT, S, S, 10          1    1.28    1.28    0.79   -0.79
3NT, S, S, 10          1   -3.79   -3.79    0.95   -0.95
4H, N, D, 11           1   -4.46   -4.46    1.02   -1.02
4H, S, C, 11           1   -4.47   -4.49    1.06   -1.04
4H, S, D, 11           2   -4.47   -4.49    0.94   -0.91
4H, S, D, 12           1   -4.64   -4.49    0.94   -1.09
4H, S, H, 11           2   -4.47   -4.49    1.06   -1.03
4H, S, S, 11           2   -4.47   -4.49    1.04   -1.01
4H, S, S, 12           1   -4.64   -4.49    1.04   -1.19
6H, N, D, 11           1    6.30    6.30    0.59   -0.59
6H, N, H, 11           2    6.30    6.30    0.59   -0.59
6H, S, C, 10           1    7.97   -0.04   -2.08   10.09
6H, S, C, 11           1    6.21   -0.04   -2.08    8.33
6H, S, C, 12           3  -12.18   -0.04   -2.08  -10.06
6H, S, D, 11           6    6.21   -0.04   -3.83   10.08
6H, S, D, 12          10  -12.18   -0.04   -3.83   -8.31
6H, S, H, 10           1    7.97   -0.04    5.38    2.62
6H, S, H, 11          14    6.21   -0.04    5.38    0.87
6H, S, H, 12           2  -12.18   -0.04    5.38  -17.52
6H, S, S, 10           1    7.97   -0.04   -0.34    8.34
6H, S, S, 11           3    6.21   -0.04   -0.34    6.59
6H, S, S, 12           3  -12.18   -0.04   -0.34  -11.80
7H, S, H, 11           4    8.08    7.55    0.92   -0.39

DECLARER, Board 13|8

Contract           Count Overall     Bid    Play
3NT, E, C, 11          1    1.93    2.30   -0.37
3NT, E, C, 12          1    2.71    2.30    0.40
3NT, E, D, 10          3    0.96    2.30   -1.35
3NT, E, D, 11         12    1.93    2.30   -0.37
3NT, E, D, 12          9    2.71    2.30    0.40
3NT, E, H, 12          8    2.71    2.30    0.40
3NT, E, H, 13          2    3.48    2.30    1.17
3NT, E, S, 12          1    2.71    2.30    0.40
3NT, W, D, 11          2    1.94    2.54   -0.60
3NT, W, D, 12          2    2.71    2.54    0.17
3NT, W, H, 12          1    2.71    2.54    0.17
3NT, W, H, 13          1    3.48    2.54    0.94
4NT, E, D, 11          2    1.93    2.30   -0.37
4NT, W, D, 11          1    1.94    2.54   -0.60
4NT, W, H, 12          2    2.71    2.54    0.17
4S, W, H, 9            1   -8.72   -8.72    0.00
5C, E, D, 11           2    0.17   -0.45    0.62
6C, E, C, 11           1   -8.72   -8.76    0.04
6C, E, D, 10           1   -9.24   -8.76   -0.49
6C, E, D, 11          10   -8.72   -8.76    0.04
6NT, E, D, 11          1   -8.60    1.96  -10.56

DEFENDER, Board 13|8

Contract           Count Overall     Bid    Lead Restdef
3NT, E, C, 11          1   -1.93   -2.30   -0.17    0.54
3NT, E, C, 12          1   -2.71   -2.30   -0.17   -0.23
3NT, E, D, 10          3   -0.96   -2.30    0.07    1.28
3NT, E, D, 11         12   -1.93   -2.30    0.07    0.30
3NT, E, D, 12          9   -2.71   -2.30    0.07   -0.48
3NT, E, H, 12          8   -2.71   -2.30   -0.72    0.32
3NT, E, H, 13          2   -3.48   -2.30   -0.72   -0.45
3NT, E, S, 12          1   -2.71   -2.30   -0.57    0.17
3NT, W, D, 11          2   -1.94   -2.54    0.14    0.46
3NT, W, D, 12          2   -2.71   -2.54    0.14   -0.32
3NT, W, H, 12          1   -2.71   -2.54   -0.53    0.36
3NT, W, H, 13          1   -3.48   -2.54   -0.53   -0.41
4NT, E, D, 11          2   -1.93   -2.30    0.07    0.30
4NT, W, D, 11          1   -1.94   -2.54    0.14    0.46
4NT, W, H, 12          2   -2.71   -2.54   -0.53    0.36
4S, W, H, 9            1    8.72    8.72   -0.10    0.10
5C, E, D, 11           2   -0.17    0.45   -0.09   -0.53
6C, E, C, 11           1    8.72    8.76   -0.14    0.10
6C, E, D, 10           1    9.24    8.76   -0.09    0.58
6C, E, D, 11          10    8.72    8.76   -0.09    0.06
6NT, E, D, 11          1    8.60   -1.96    3.90    6.66

DECLARER, Board 13|9

Contract           Count Overall     Bid    Play
3NT, E, C, 11          1    1.35    1.35    0.00
4H, W, H, 10           2    0.35    0.35    0.00
4S, E, C, 11          23    1.35    1.10    0.25
4S, E, D, 10           1    0.36    1.10   -0.73
4S, E, D, 11           3    1.35    1.10    0.25
4S, E, H, 10           8    0.36    1.10   -0.73
4S, E, H, 11           2    1.35    1.10    0.25
4S, W, D, 11           2    1.34    0.60    0.74
4S, W, H, 10          11    0.36    0.60   -0.25
5CX, N, C, 9           1    7.02    7.02    0.00
5CX, S, H, 8           1    2.56    2.56    0.00
5CX, S, S, 8           3    2.56    2.56    0.00
5HX, S, H, 8           1    2.56    2.56    0.00
5S, E, C, 11           1    1.30   -2.11    3.41
5S, E, H, 10           1  -12.00   -2.11   -9.89
5S, W, C, 11           1    1.20   -8.78    9.98
5S, W, H, 10           1  -12.10   -8.78   -3.33
5S, W, H, 11           1    1.20   -8.78    9.98

DEFENDER, Board 13|9

Contract           Count Overall     Bid    Lead Restdef
3NT, E, C, 11          1   -1.35   -1.35    0.15   -0.15
4H, W, H, 10           2   -0.35   -0.35    0.15   -0.15
4S, E, C, 11          23   -1.35   -1.10   -0.11   -0.14
4S, E, D, 10           1   -0.36   -1.10    0.14    0.59
4S, E, D, 11           3   -1.35   -1.10    0.14   -0.39
4S, E, H, 10           8   -0.36   -1.10    0.71    0.02
4S, E, H, 11           2   -1.35   -1.10    0.71   -0.96
4S, W, D, 11           2   -1.34   -0.60   -0.60   -0.13
4S, W, H, 10          11   -0.36   -0.60    0.32   -0.07
5CX, N, C, 9           1   -7.02   -7.02   -0.21    0.21
5CX, S, H, 8           1   -2.56   -2.56   -0.18    0.18
5CX, S, S, 8           3   -2.56   -2.56   -0.18    0.18
5HX, S, H, 8           1   -2.56   -2.56   -0.18    0.18
5S, E, C, 11           1   -1.30    2.11   -3.32   -0.09
5S, E, H, 10           1   12.00    2.11    7.73    2.16
5S, W, C, 11           1   -1.20    8.78   -9.99    0.01
5S, W, H, 10           1   12.10    8.78    2.48    0.84
5S, W, H, 11           1   -1.20    8.78    2.48  -12.46

DECLARER, Board 14|11

Contract           Count Overall     Bid    Play
2D, W, C, 9            1   -0.26   -0.26    0.00
2H, E, C, 9            1    0.54    0.80   -0.26
2NT, W, D, 8           1    0.40    0.53   -0.13
3NT, E, C, 11          3    7.15    5.10    2.06
3NT, E, C, 8           1   -3.47    5.10   -8.57
3NT, E, C, 9           3    5.90    5.10    0.80
3NT, W, C, 10          4    6.29    3.14    3.15
3NT, W, C, 11          3    7.13    3.14    3.99
3NT, W, C, 7           2   -4.85    3.14   -7.99
3NT, W, C, 8           2   -3.51    3.14   -6.65
3NT, W, C, 9           3    5.87    3.14    2.73
3S, N, S, 7            1    0.37    0.37    0.00
4H, E, C, 10           2    6.20   -0.75    6.96
4H, E, C, 11           1    7.05   -0.75    7.81
4H, E, C, 9           14   -3.57   -0.75   -2.82
4H, E, D, 10           5    6.20   -0.75    6.96
4H, E, H, 9            1   -3.57   -0.75   -2.82
4H, W, C, 9            1   -3.54    1.35   -4.89
4H, W, D, 10           1    6.24    1.35    4.89
4HX, E, C, 10          2    9.02   -0.91    9.93
4NT, W, C, 10          1    6.26    0.98    5.28
5H, E, C, 9            1   -4.96   -4.28   -0.68
6H, E, C, 9            4   -5.91   -5.61   -0.30
6H, E, D, 9            3   -5.91   -5.61   -0.30
6H, W, C, 10           1   -4.99   -5.45    0.45
6H, W, D, 9            1   -5.90   -5.45   -0.45
6HX, E, C, 9           1  -11.36  -10.41   -0.96

DEFENDER, Board 14|11

Contract           Count Overall     Bid    Lead Restdef
2D, W, C, 9            1    0.26    0.26    0.68   -0.68
2H, E, C, 9            1   -0.54   -0.80    0.81   -0.55
2NT, W, D, 8           1   -0.40   -0.53    0.88   -0.75
3NT, E, C, 11          3   -7.15   -5.10    0.68   -2.74
3NT, E, C, 8           1    3.47   -5.10    0.68    7.89
3NT, E, C, 9           3   -5.90   -5.10    0.68   -1.49
3NT, W, C, 10          4   -6.29   -3.14    0.20   -3.36
3NT, W, C, 11          3   -7.13   -3.14    0.20   -4.19
3NT, W, C, 7           2    4.85   -3.14    0.20    7.79
3NT, W, C, 8           2    3.51   -3.14    0.20    6.45
3NT, W, C, 9           3   -5.87   -3.14    0.20   -2.93
3S, N, S, 7            1   -0.37   -0.37   -0.71    0.71
4H, E, C, 10           2   -6.20    0.75    1.55   -8.51
4H, E, C, 11           1   -7.05    0.75    1.55   -9.36
4H, E, C, 9           14    3.57    0.75    1.55    1.26
4H, E, D, 10           5   -6.20    0.75   -2.68   -4.28
4H, E, H, 9            1    3.57    0.75    3.48   -0.67
4H, W, C, 9            1    3.54   -1.35    0.66    4.23
4H, W, D, 10           1   -6.24   -1.35    0.66   -5.55
4HX, E, C, 10          2   -9.02    0.91    1.81  -11.74
4NT, W, C, 10          1   -6.26   -0.98    0.21   -5.49
5H, E, C, 9            1    4.96    4.28    0.54    0.14
6H, E, C, 9            4    5.91    5.61    0.52   -0.23
6H, E, D, 9            3    5.91    5.61    0.19    0.11
6H, W, C, 10           1    4.99    5.45    0.46   -0.92
6H, W, D, 9            1    5.90    5.45    0.46   -0.01
6HX, E, C, 9           1   11.36   10.41    0.47    0.49

DECLARER, Board 14|12

Contract           Count Overall     Bid    Play
1S, E, H, 6            1   -2.78   -2.78    0.00
1S, W, H, 7            1    0.51    0.85   -0.34
1S, W, H, 8            1    1.19    0.85    0.34
2H, E, H, 8            1    1.20    1.53   -0.33
2H, W, C, 8            1    1.20    1.52   -0.32
2H, W, C, 9            1    2.18    1.52    0.67
2H, W, H, 8           22    1.20    1.52   -0.32
2H, W, H, 9            9    2.18    1.52    0.67
2NT, N, H, 9           1    5.12    5.12    0.00
3H, E, C, 9            1    2.14   -1.12    3.26
3H, E, H, 8            1   -2.75   -1.12   -1.63
3H, W, C, 8            2   -2.75   -0.92   -1.83
3H, W, C, 9            2    2.15   -0.92    3.06
3H, W, H, 7            1   -4.00   -0.92   -3.09
3H, W, H, 8            8   -2.75   -0.92   -1.83
3H, W, H, 9            7    2.15   -0.92    3.06
3NT, N, D, 9           1   11.65   11.65    0.00
4H, W, D, 9            1   -2.79   -3.40    0.61
4H, W, H, 8            1   -4.04   -3.40   -0.64
4HX, W, C, 10          1   10.66   -6.42   17.08

DEFENDER, Board 14|12

Contract           Count Overall     Bid    Lead Restdef
1S, E, H, 6            1    2.78    2.78    0.37   -0.37
1S, W, H, 7            1   -0.51   -0.85    0.41   -0.08
1S, W, H, 8            1   -1.19   -0.85    0.41   -0.75
2H, E, H, 8            1   -1.20   -1.53    0.72   -0.39
2H, W, C, 8            1   -1.20   -1.52    0.01    0.31
2H, W, C, 9            1   -2.18   -1.52    0.01   -0.67
2H, W, H, 8           22   -1.20   -1.52    0.46   -0.15
2H, W, H, 9            9   -2.18   -1.52    0.46   -1.13
2NT, N, H, 9           1   -5.12   -5.12   -0.29    0.29
3H, E, C, 9            1   -2.14    1.12   -2.91   -0.35
3H, E, H, 8            1    2.75    1.12    2.02   -0.39
3H, W, C, 8            2    2.75    0.92   -0.73    2.56
3H, W, C, 9            2   -2.15    0.92   -0.73   -2.33
3H, W, H, 7            1    4.00    0.92    0.61    2.48
3H, W, H, 8            8    2.75    0.92    0.61    1.22
3H, W, H, 9            7   -2.15    0.92    0.61   -3.67
3NT, N, D, 9           1  -11.65  -11.65   -0.13    0.13
4H, W, D, 9            1    2.79    3.40   -0.26   -0.35
4H, W, H, 8            1    4.04    3.40    0.58    0.06
4HX, W, C, 10          1  -10.66    6.42   -2.50  -14.58

DECLARER, Board 14|13

Contract           Count Overall     Bid    Play
1NT, N, D, 7           1    6.70    0.04    6.67
1NT, N, H, 4           2   -2.98    0.04   -3.02
1NT, N, H, 5           1   -0.22    0.04   -0.26
1NT, N, H, 6           2    2.49    0.04    2.45
1NT, N, H, 7           1    6.70    0.04    6.67
1NT, N, S, 4          11   -2.98    0.04   -3.02
1NT, N, S, 5          29   -0.22    0.04   -0.26
1NT, N, S, 6           6    2.49    0.04    2.45
1NT, N, S, 7           1    6.70    0.04    6.67
1NT, N, S, 8           1    7.44    0.04    7.40
1NT, S, S, 4           2   -3.00   -1.35   -1.66
1NT, S, S, 5           3   -0.24   -1.35    1.10
1NT, W, H, 7           2   -2.54   -2.54    0.00
2D, N, S, 6            2   -0.22   -0.22    0.00

DEFENDER, Board 14|13

Contract           Count Overall     Bid    Lead Restdef
1NT, N, D, 7           1   -6.70   -0.04   -6.77    0.11
1NT, N, H, 4           2    2.98   -0.04   -0.89    3.91
1NT, N, H, 5           1    0.22   -0.04   -0.89    1.15
1NT, N, H, 6           2   -2.49   -0.04   -0.89   -1.56
1NT, N, H, 7           1   -6.70   -0.04   -0.89   -5.78
1NT, N, S, 4          11    2.98   -0.04    0.25    2.77
1NT, N, S, 5          29    0.22   -0.04    0.25    0.00
1NT, N, S, 6           6   -2.49   -0.04    0.25   -2.70
1NT, N, S, 7           1   -6.70   -0.04    0.25   -6.92
1NT, N, S, 8           1   -7.44   -0.04    0.25   -7.65
1NT, S, S, 4           2    3.00    1.35   -0.00    1.66
1NT, S, S, 5           3    0.24    1.35   -0.00   -1.10
1NT, W, H, 7           2    2.54    2.54    0.00   -0.00
2D, N, S, 6            2    0.22    0.22    0.00   -0.00

DECLARER, Board 14|14

Contract           Count Overall     Bid    Play
3HX, E, C, 7           1   -7.30   -7.30    0.00
3HX, W, H, 7           1   -7.30   -7.30    0.00
3NT, N, H, 10          1    9.35   -0.97   10.32
3NT, N, H, 7          27   -2.28   -0.97   -1.31
3NT, N, H, 8           9   -0.47   -0.97    0.50
3NT, N, H, 9           2    9.26   -0.97   10.23
4D, S, C, 10           1    3.95    3.95    0.00
4D, S, H, 10           5    3.95    3.95    0.00
4HX, W, S, 7           1  -10.68  -10.68    0.00
4S, N, H, 9            1   -0.48   -1.38    0.90
4S, N, S, 8            1   -2.29   -1.38   -0.90
5D, S, H, 10          12   -0.46   -0.46    0.00
5D, S, S, 10           1   -0.46   -0.46    0.00
5DX, S, H, 10          1   -2.30   -2.30    0.00

DEFENDER, Board 14|14

Contract           Count Overall     Bid    Lead Restdef
3HX, E, C, 7           1    7.30    7.30   -0.00    0.00
3HX, W, H, 7           1    7.30    7.30   -0.00    0.00
3NT, N, H, 10          1   -9.35    0.97   -0.00  -10.32
3NT, N, H, 7          27    2.28    0.97   -0.00    1.31
3NT, N, H, 8           9    0.47    0.97   -0.00   -0.50
3NT, N, H, 9           2   -9.26    0.97   -0.00  -10.23
4D, S, C, 10           1   -3.95   -3.95   -0.00    0.00
4D, S, H, 10           5   -3.95   -3.95    0.00    0.00
4HX, W, S, 7           1   10.68   10.68    0.00   -0.00
4S, N, H, 9            1    0.48    1.38   -0.92    0.02
4S, N, S, 8            1    2.29    1.38    0.92   -0.02
5D, S, H, 10          12    0.46    0.46    0.00   -0.00
5D, S, S, 10           1    0.46    0.46    0.00   -0.00
5DX, S, H, 10          1    2.30    2.30   -0.00    0.00

DECLARER, Board 14|15

Contract           Count Overall     Bid    Play
1NT, W, D, 10          1    3.00    1.46    1.54
1NT, W, D, 8           1    1.38    1.46   -0.08
2C, W, D, 10           5    1.70    1.09    0.61
2C, W, H, 10           1    1.70    1.09    0.61
2C, W, H, 8            1    0.40    1.09   -0.70
2C, W, S, 9            9    0.83    1.09   -0.27
2NT, W, D, 8           1    1.38    1.46   -0.08
2NT, W, S, 8           3    1.38    1.46   -0.08
3C, E, H, 8            1   -3.22    0.02   -3.24
3C, E, H, 9            1    0.81    0.02    0.79
3C, E, S, 9            1    0.81    0.02    0.79
3C, W, H, 10           5    1.70    0.87    0.83
3C, W, H, 8            1   -3.21    0.87   -4.08
3C, W, S, 9           10    0.82    0.87   -0.05
3D, N, C, 7            1   -3.41   -3.41    0.00
3NT, E, D, 8           1   -3.24   -1.05   -2.19
