DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2D, N, S, 7            1   35.92   35.92   50.00
6SX, E, C, 11          1   97.89   80.61   67.27   50.00
6SX, E, H, 11          1   97.89   80.61   67.27   50.00
pass                   2    4.93    4.93   50.00   50.00

DECLARER, Board 23|12

Contract           Count Overall     Bid    Play
1NT, S, C, 6           1   13.38   13.38   50.00
1NT, W, H, 5           1   66.90   66.90   50.00
2D, W, D, 10           1   94.37   85.04   59.32
2D, W, D, 9            1   90.85   85.04   55.80
2H, N, C, 10           3   71.83   63.03   58.80
2H, N, C, 9            2   48.59   63.03   35.56
2H, S, C, 10           2   71.83   67.96   53.87
2H, S, S, 10           2   71.83   67.96   53.87
2HX, N, C, 8           1   98.59   99.94   48.66
2NT, W, S, 5           2   42.25   42.25   50.00
2S, N, C, 8            1   40.85   38.91   51.94
3C, W, D, 8            4   77.46   78.49   48.97
3C, W, D, 9            1   90.85   78.49   62.35
3CX, W, D, 8           2   66.90   69.45   47.45
3CX, W, H, 8           1   66.90   69.45   47.45
3D, E, C, 8            1   77.46   79.05   48.42
3D, E, D, 10           1   94.37   79.05   65.32
3D, E, H, 7            1   66.90   79.05   37.85
3D, W, D, 10           1   94.37   79.68   64.69
3H, N, C, 10           5   71.83   61.78   60.05
3H, N, C, 9            5   48.59   61.78   36.81
3H, N, H, 10           2   71.83   61.78   60.05
3H, S, C, 10           3   71.83   67.96   53.87
3H, S, C, 9            1   48.59   67.96   30.63
3S, N, C, 8            2   13.38   25.09   38.29
3S, N, C, 9            2   48.59   25.09   73.51
4C, E, D, 8            1   66.90   66.90   50.00
4C, W, D, 8            1   66.90   67.71   49.19
4C, W, H, 8            1   66.90   67.71   49.19
4CX, E, D, 8           1   14.79   14.79   50.00
4CX, W, S, 8           1   14.79   18.80   45.99
4D, E, H, 8            1   66.90   67.61   49.30
4D, W, H, 8            1   66.90   65.69   51.21
4H, N, C, 10           3   92.96   63.51   79.45
4H, N, H, 10           1   92.96   63.51   79.45
4H, S, C, 10           1   92.96   79.69   63.26
4H, S, C, 9            1   13.38   79.69  -16.31
4H, S, S, 10           2   92.96   79.69   63.26
4S, N, C, 6            1    0.00    6.07   43.93
4S, N, C, 8            1    2.11    6.07   46.04
4SX, N, C, 9           1    2.11    0.79   51.32
5C, W, H, 8            1   42.25   44.15   48.10
5CX, W, H, 8           1   12.68   12.84   49.84
5DX, W, H, 7           1    0.00   23.04   26.96
pass                   2   17.61   17.61   50.00

DEFENDER, Board 23|12

Contract           Count Overall     Bid    Lead Restdef
1NT, S, C, 6           1   86.62   86.62   50.00   50.00
1NT, W, H, 5           1   33.10   33.10   50.00   50.00
2D, W, D, 10           1    5.63   14.96   41.85   48.83
2D, W, D, 9            1    9.15   14.96   41.85   52.35
2H, N, C, 10           3   28.17   36.97   51.39   39.81
2H, N, C, 9            2   51.41   36.97   51.39   63.05
2H, S, C, 10           2   28.17   32.04   51.94   44.19
2H, S, S, 10           2   28.17   32.04   46.13   50.00
2HX, N, C, 8           1    1.41    0.06   50.01   51.33
2NT, W, S, 5           2   57.75   57.75   50.00   50.00
2S, N, C, 8            1   59.15   61.09   50.00   48.06
3C, W, D, 8            4   22.54   21.51   49.36   51.67
3C, W, D, 9            1    9.15   21.51   49.36   38.29
3CX, W, D, 8           2   33.10   30.55   48.41   54.14
3CX, W, H, 8           1   33.10   30.55   52.55   50.00
3D, E, C, 8            1   22.54   20.95   51.58   50.00
3D, E, D, 10           1    5.63   20.95   34.68   50.00
3D, E, H, 7            1   33.10   20.95   56.87   55.28
3D, W, D, 10           1    5.63   20.32   36.49   48.83
3H, N, C, 10           5   28.17   38.22   51.59   38.36
3H, N, C, 9            5   51.41   38.22   51.59   61.60
3H, N, H, 10           2   28.17   38.22   39.95   50.00
3H, S, C, 10           3   28.17   32.04   51.94   44.19
3H, S, C, 9            1   51.41   32.04   51.94   67.43
3S, N, C, 8            2   86.62   74.91   50.00   61.71
3S, N, C, 9            2   51.41   74.91   50.00   26.49
4C, E, D, 8            1   33.10   33.10   50.00   50.00
4C, W, D, 8            1   33.10   32.29   49.49   51.32
4C, W, H, 8            1   33.10   32.29   50.81   50.00
4CX, E, D, 8           1   85.21   85.21   50.00   50.00
4CX, W, S, 8           1   85.21   81.20   54.01   50.00
4D, E, H, 8            1   33.10   32.39   63.03   37.68
4D, W, H, 8            1   33.10   34.31   67.28   31.51
4H, N, C, 10           3    7.04   36.49   54.65   15.90
4H, N, H, 10           1    7.04   36.49   20.55   50.00
4H, S, C, 10           1    7.04   20.31   56.63   30.11
4H, S, C, 9            1   86.62   20.31   56.63  109.68
4H, S, S, 10           2    7.04   20.31   36.74   50.00
4S, N, C, 6            1  100.00   93.93   50.00   56.07
4S, N, C, 8            1   97.89   93.93   50.00   53.96
4SX, N, C, 9           1   97.89   99.21   50.00   48.68
5C, W, H, 8            1   57.75   55.85   51.90   50.00
5CX, W, H, 8           1   87.32   87.16   50.16   50.00
5DX, W, H, 7           1  100.00   76.96   69.87   53.17
pass                   2   82.39   82.39   50.00   50.00

DECLARER, Board 24|13

Contract           Count Overall     Bid    Play
3H, N, H, 10           1   11.27   12.12   49.15
4H, N, C, 12           4   86.62   49.88   86.74
4H, N, D, 10           3   22.54   49.88   22.66
4H, N, D, 11          22   57.04   49.88   57.17
4H, N, H, 10           8   22.54   49.88   22.66
4H, N, H, 9            1    7.04   49.88    7.17
4H, N, S, 10           1   22.54   49.88   22.66
4H, N, S, 11           3   57.04   49.88   57.17
4H, N, S, 12           1   86.62   49.88   86.74
4H, S, C, 11           1   57.04   51.29   55.75
4H, S, D, 11           2   57.04   51.29   55.75
4H, S, H, 11           1   57.04   51.29   55.75
4H, S, S, 11           1   57.04   51.29   55.75
4S, N, D, 10           1   22.54   22.54   50.00
5DX, W, H, 8           1    8.45   47.89   10.56
5DX, W, H, 9           1   87.32   47.89   89.44
5H, N, C, 12           1   86.62   46.01   90.61
5H, N, D, 11           6   57.04   46.01   61.03
5HX, N, D, 10          1    4.23   66.62  -12.40
5HX, N, D, 11          2   93.66   66.62   77.04
5HXX, N, D, 11         1   95.77   67.72   78.06
6H, N, C, 12           1   97.89   19.08  128.81
6H, N, S, 10           1    4.23   19.08   35.15
6H, N, S, 12           1   97.89   19.08  128.81
6H, S, D, 10           1    4.23    6.57   47.65
6HX, N, C, 12          1  100.00   17.05  132.95
6HXX, N, D, 9          1    0.00   15.40   34.60
6HXX, N, S, 11         1    1.41   15.40   36.01
pass                   2    9.15    9.15   50.00

DEFENDER, Board 24|13

Contract           Count Overall     Bid    Lead Restdef
3H, N, H, 10           1   88.73   87.88   50.87   49.98
4H, N, C, 12           4   13.38   50.12   13.26   50.00
4H, N, D, 10           3   77.46   50.12   50.41   76.93
4H, N, D, 11          22   42.96   50.12   50.41   42.42
4H, N, H, 10           8   77.46   50.12   78.89   48.45
4H, N, H, 9            1   92.96   50.12   78.89   63.94
4H, N, S, 10           1   77.46   50.12   44.07   83.27
4H, N, S, 11           3   42.96   50.12   44.07   48.77
4H, N, S, 12           1   13.38   50.12   44.07   19.19
4H, S, C, 11           1   42.96   48.71   44.25   50.00
4H, S, D, 11           2   42.96   48.71   55.75   38.50
4H, S, H, 11           1   42.96   48.71   44.25   50.00
4H, S, S, 11           1   42.96   48.71   44.25   50.00
4S, N, D, 10           1   77.46   77.46   50.00   50.00
5DX, W, H, 8           1   91.55   52.11   50.00   89.44
5DX, W, H, 9           1   12.68   52.11   50.00   10.56
5H, N, C, 12           1   13.38   53.99    9.39   50.00
5H, N, D, 11           6   42.96   53.99   48.40   40.57
5HX, N, D, 10          1   95.77   33.38   39.66  122.74
5HX, N, D, 11          2    6.34   33.38   39.66   33.30
5HXX, N, D, 11         1    4.23   32.28   39.33   32.62
6H, N, C, 12           1    2.11   80.92  -28.81   50.00
6H, N, S, 10           1   95.77   80.92   40.03   74.82
6H, N, S, 12           1    2.11   80.92   40.03  -18.84
6H, S, D, 10           1   95.77   93.43   50.47   51.88
6HX, N, C, 12          1    0.00   82.95  -32.95   50.00
6HXX, N, D, 9          1  100.00   84.60   64.10   51.30
6HXX, N, S, 11         1   98.59   84.60   39.35   74.64
pass                   2   90.85   90.85   50.00   50.00

DECLARER, Board 24|14

Contract           Count Overall     Bid    Play
2NT, E, D, 9           1   39.44   39.81   49.63
3NT, E, C, 10          1   77.46   58.40   69.07
3NT, E, C, 8           1   22.54   58.40   14.14
3NT, E, C, 9           2   42.96   58.40   34.56
3NT, E, D, 10          3   77.46   58.40   69.07
3NT, E, D, 8           1   22.54   58.40   14.14
3NT, E, D, 9           1   42.96   58.40   34.56
3NT, E, S, 10          3   77.46   58.40   69.07
3NT, W, C, 9           1   42.96   58.98   33.98
3NT, W, D, 10         22   77.46   58.98   68.49
3NT, W, D, 11          2   99.30   58.98   90.32
3NT, W, D, 7           4    4.93   58.98   -4.05
3NT, W, D, 8           7   22.54   58.98   13.56
3S, W, D, 8            1   22.54   34.80   37.73
4H, E, C, 10           1   51.41   31.65   69.76
4H, E, C, 9            2   22.54   31.65   40.88
4H, E, D, 10           7   51.41   31.65   69.76
4H, E, D, 7            1    0.00   31.65   18.35
4H, E, D, 8            2    4.93   31.65   23.28
4H, E, D, 9            4   22.54   31.65   40.88
4H, E, H, 9            2   22.54   31.65   40.88
4S, W, D, 9            1   22.54   18.13   54.40
pass                   2   62.68   62.68   50.00

DEFENDER, Board 24|14

Contract           Count Overall     Bid    Lead Restdef
2NT, E, D, 9           1   60.56   60.19   50.04   50.33
3NT, E, C, 10          1   22.54   41.60   61.92   19.01
3NT, E, C, 8           1   77.46   41.60   61.92   73.94
3NT, E, C, 9           2   57.04   41.60   61.92   53.52
3NT, E, D, 10          3   22.54   41.60   51.59   29.34
3NT, E, D, 8           1   77.46   41.60   51.59   84.27
3NT, E, D, 9           1   57.04   41.60   51.59   63.85
3NT, E, S, 10          3   22.54   41.60   30.93   50.00
3NT, W, C, 9           1   57.04   41.02   66.02   50.00
3NT, W, D, 10         22   22.54   41.02   49.54   31.97
3NT, W, D, 11          2    0.70   41.02   49.54   10.14
3NT, W, D, 7           4   95.07   41.02   49.54  104.51
3NT, W, D, 8           7   77.46   41.02   49.54   86.90
3S, W, D, 8            1   77.46   65.20   50.00   62.27
4H, E, C, 10           1   48.59   68.35   49.49   30.75
4H, E, C, 9            2   77.46   68.35   49.49   59.62
4H, E, D, 10           7   48.59   68.35   48.81   31.44
4H, E, D, 7            1  100.00   68.35   48.81   82.85
4H, E, D, 8            2   95.07   68.35   48.81   77.92
4H, E, D, 9            4   77.46   68.35   48.81   60.31
4H, E, H, 9            2   77.46   68.35   59.12   50.00
4S, W, D, 9            1   77.46   81.87   50.00   45.60
pass                   2   37.32   37.32   50.00   50.00

DECLARER, Board 25|15

Contract           Count Overall     Bid    Play
1NT, E, D, 10          1   42.96   38.53   54.43
1NT, E, H, 10          1   42.96   38.53   54.43
1NT, E, H, 9           1   38.73   38.53   50.20
1NT, N, S, 7           1   91.55   91.55   50.00
2C, E, D, 8            1   21.13   22.89   48.24
2C, W, H, 9            1   28.17   24.65   53.52
2D, N, H, 6            1   50.70   55.16   45.54
2D, N, S, 7            1   77.46   55.16   72.30
2D, S, C, 6            1   50.70   50.70   50.00
2DX, N, D, 6           1   10.56   17.25   43.31
2DX, N, S, 6           1   10.56   17.25   43.31
2H, S, C, 6            1   50.70   63.21   37.49
2HX, N, D, 6           1   10.56   10.56   50.00
2HX, S, S, 5           1    3.52   28.87   24.65
2HX, S, S, 7           1   50.70   28.87   71.83
2NT, E, D, 9           1   38.73   38.53   50.20
2NT, E, H, 8           2   34.51   38.53   45.98
2NT, W, D, 10          1   42.96   38.03   54.93
2NT, W, H, 10          1   42.96   38.03   54.93
2S, E, D, 6            2    4.93   18.08   36.85
2S, E, D, 7            1   13.38   18.08   45.31
2S, E, D, 8            3   28.17   18.08   60.09
2S, E, D, 9            1   36.62   18.08   68.54
2SX, N, C, 4           1    0.00    7.04   42.96
2SX, N, C, 5           1    3.52    7.04   46.48
2SX, N, S, 6           3   10.56    7.04   53.52
3C, E, D, 8            2   13.38   17.08   46.30
3C, E, H, 9            1   28.17   17.08   61.09
3C, W, H, 8            1   13.38   20.77   42.61
3C, W, H, 9            2   28.17   20.77   57.39
3CX, W, H, 9           1   84.51   44.72   89.79
3DX, N, D, 6           1    3.52    4.69   48.83
3DX, N, S, 6           1    3.52    4.69   48.83
3H, S, S, 7            1   50.70   45.96   54.74
3NT, E, D, 9           1   64.79   58.92   55.87
3NT, E, H, 8           1   13.38   58.92    4.46
3NT, E, H, 9          12   64.79   58.92   55.87
3NT, E, S, 9           1   64.79   58.92   55.87
3NT, W, D, 10          5   80.28   64.20   66.08
3NT, W, D, 9           2   64.79   64.20   50.59
3NT, W, H, 6           1    0.70   64.20  -13.50
3NT, W, H, 9           1   64.79   64.20   50.59
3NT, W, S, 8           1   13.38   64.20   -0.82
3S, E, D, 6            1    0.70    9.86   40.85
3S, E, D, 7            1    4.93    9.86   45.07
4C, W, C, 8            1    4.93    9.15   45.77
pass                   2   80.99   80.99   50.00

DEFENDER, Board 25|15

Contract           Count Overall     Bid    Lead Restdef
1NT, E, D, 10          1   57.04   61.47   48.39   47.18
1NT, E, H, 10          1   57.04   61.47   50.30   45.28
1NT, E, H, 9           1   61.27   61.47   50.30   49.50
1NT, N, S, 7           1    8.45    8.45   50.00   50.00
2C, E, D, 8            1   78.87   77.11   51.76   50.00
2C, W, H, 9            1   71.83   75.35   47.89   48.59
2D, N, H, 6            1   49.30   44.84   54.46   50.00
2D, N, S, 7            1   22.54   44.84   45.54   32.16
2D, S, C, 6            1   49.30   49.30   50.00   50.00
2DX, N, D, 6           1   89.44   82.75   56.69   50.00
2DX, N, S, 6           1   89.44   82.75   43.31   63.38
2H, S, C, 6            1   49.30   36.79   62.51   50.00
2HX, N, D, 6           1   89.44   89.44   50.00   50.00
2HX, S, S, 5           1   96.48   71.13   43.90   81.46
2HX, S, S, 7           1   49.30   71.13   43.90   34.27
2NT, E, D, 9           1   61.27   61.47   48.39   51.41
2NT, E, H, 8           2   65.49   61.47   50.30   53.73
2NT, W, D, 10          1   57.04   61.97   46.13   48.94
2NT, W, H, 10          1   57.04   61.97   59.15   35.92
2S, E, D, 6            2   95.07   81.92   50.00   63.15
2S, E, D, 7            1   86.62   81.92   50.00   54.69
2S, E, D, 8            3   71.83   81.92   50.00   39.91
2S, E, D, 9            1   63.38   81.92   50.00   31.46
2SX, N, C, 4           1  100.00   92.96   55.28   51.76
2SX, N, C, 5           1   96.48   92.96   55.28   48.24
2SX, N, S, 6           3   89.44   92.96   46.48   50.00
3C, E, D, 8            2   86.62   82.92   53.70   50.00
3C, E, H, 9            1   71.83   82.92   38.91   50.00
3C, W, H, 8            1   86.62   79.23   45.56   61.83
3C, W, H, 9            2   71.83   79.23   45.56   47.04
3CX, W, H, 9           1   15.49   55.28   26.13   34.08
3DX, N, D, 6           1   96.48   95.31   51.17   50.00
3DX, N, S, 6           1   96.48   95.31   48.83   52.35
3H, S, S, 7            1   49.30   54.04   50.42   44.84
3NT, E, D, 9           1   35.21   41.08   38.97   55.16
3NT, E, H, 8           1   86.62   41.08   52.29   93.25
3NT, E, H, 9          12   35.21   41.08   52.29   41.84
3NT, E, S, 9           1   35.21   41.08   44.13   50.00
3NT, W, D, 10          5   19.72   35.80   37.79   46.13
3NT, W, D, 9           2   35.21   35.80   37.79   61.62
3NT, W, H, 6           1   99.30   35.80   65.61   97.89
3NT, W, H, 9           1   35.21   35.80   65.61   33.80
3NT, W, S, 8           1   86.62   35.80  100.82   50.00
3S, E, D, 6            1   99.30   90.14   50.00   59.15
3S, E, D, 7            1   95.07   90.14   50.00   54.93
4C, W, C, 8            1   95.07   90.85   54.23   50.00
pass                   2   19.01   19.01   50.00   50.00

DECLARER, Board 25|16

Contract           Count Overall     Bid    Play
3NT, E, C, 11          1   76.76   76.76   50.00
3NT, E, D, 11          5   76.76   76.76   50.00
3NT, E, H, 11          7   76.76   76.76   50.00
3NT, W, D, 12          1   89.44   83.10   56.34
4DX, S, S, 8           1   80.28   80.28   50.00
4NT, E, D, 11          2   76.76   76.76   50.00
4NT, W, D, 12          1   89.44   83.10   56.34
4S, E, D, 10           3   49.30   49.30   50.00
4S, E, H, 10           1   49.30   49.30   50.00
4S, W, C, 9            1    9.86   45.87   13.99
4S, W, D, 10          15   49.30   45.87   53.43
4S, W, H, 10           4   49.30   45.87   53.43
5C, E, D, 11           2   28.17   35.21   42.96
5C, E, H, 11           4   28.17   35.21   42.96
5C, W, D, 11           1   28.17   44.01   34.15
5DX, S, S, 8           2   78.17   78.17   50.00
5NT, E, H, 11          1   76.76   76.76   50.00
5S, W, D, 10           2    9.86    9.19   50.67
5S, W, H, 9            1    2.11    9.19   42.93
6C, E, C, 12           1   95.77   38.50  107.28
6C, E, D, 11           4    9.86   38.50   21.36
6C, E, D, 12           3   95.77   38.50  107.28
6C, E, H, 12           1   95.77   38.50  107.28
6C, W, D, 12           1   95.77   74.30   71.48
6C, W, H, 12           1   95.77   74.30   71.48
6NT, E, H, 11          1    9.86    9.86   50.00
6NT, W, H, 11          1    9.86   54.93    4.93
7CX, W, S, 12          1    2.11    1.58   50.53
7NTX, W, H, 11         1    0.00    1.06   48.94
pass                   2   82.39   82.39   50.00

DEFENDER, Board 25|16

Contract           Count Overall     Bid    Lead Restdef
3NT, E, C, 11          1   23.24   23.24   50.00   50.00
3NT, E, D, 11          5   23.24   23.24   50.00   50.00
3NT, E, H, 11          7   23.24   23.24   50.00   50.00
3NT, W, D, 12          1   10.56   16.90   43.66   50.00
4DX, S, S, 8           1   19.72   19.72   50.00   50.00
4NT, E, D, 11          2   23.24   23.24   50.00   50.00
4NT, W, D, 12          1   10.56   16.90   43.66   50.00
4S, E, D, 10           3   50.70   50.70   50.00   50.00
4S, E, H, 10           1   50.70   50.70   50.00   50.00
4S, W, C, 9            1   90.14   54.13   86.01   50.00
4S, W, D, 10          15   50.70   54.13   46.57   50.00
4S, W, H, 10           4   50.70   54.13   54.46   42.11
5C, E, D, 11           2   71.83   64.79   50.00   57.04
5C, E, H, 11           4   71.83   64.79   51.32   55.72
5C, W, D, 11           1   71.83   55.99   55.28   60.56
5DX, S, S, 8           2   21.83   21.83   50.00   50.00
5NT, E, H, 11          1   23.24   23.24   50.00   50.00
5S, W, D, 10           2   90.14   90.81   49.33   50.00
5S, W, H, 9            1   97.89   90.81   50.88   56.20
6C, E, C, 12           1    4.23   61.50   -7.28   50.00
6C, E, D, 11           4   90.14   61.50   50.00   78.64
6C, E, D, 12           3    4.23   61.50   50.00   -7.28
6C, E, H, 12           1    4.23   61.50   57.16  -14.44
6C, W, D, 12           1    4.23   25.70   71.48    7.04
6C, W, H, 12           1    4.23   25.70   28.52   50.00
6NT, E, H, 11          1   90.14   90.14   50.00   50.00
6NT, W, H, 11          1   90.14   45.07   95.07   50.00
7CX, W, S, 12          1   97.89   98.42   49.47   50.00
7NTX, W, H, 11         1  100.00   98.94   51.06   50.00
pass                   2   17.61   17.61   50.00   50.00

DECLARER, Board 26|1

Contract           Count Overall     Bid    Play
1NT, N, H, 9           1   79.58   73.24   56.34
1NT, S, H, 9           1   79.58   71.13   58.45
1NT, S, S, 8           1   66.90   71.13   45.77
2HX, E, C, 6           3   12.68   29.18   33.50
2HX, E, C, 7           3   41.55   29.18   62.37
2HX, W, C, 7           1   41.55   41.55   50.00
2NT, N, C, 8           1   66.90   73.24   43.66
2S, N, C, 10           1   82.39   69.94   62.45
2S, N, H, 10           1   82.39   69.94   62.45
2S, N, H, 8            1   63.38   69.94   43.44
2S, N, H, 9            4   73.24   69.94   53.30
2S, N, S, 8            1   63.38   69.94   43.44
2S, S, H, 9            1   73.24   68.35   54.89
2S, S, S, 8            1   63.38   68.35   45.03
2S, S, S, 9            2   73.24   68.35   54.89
2SX, N, H, 7           1   23.94   92.79  -18.85
2SX, N, H, 9           1   95.77   92.79   52.98
2SX, S, S, 7           1   23.94   91.28  -17.34
3CX, E, C, 7           1   12.68   12.68   50.00
3D, N, D, 8            1   42.96   42.96   50.00
3HX, E, C, 7           1   12.68    9.62   53.05
3NT, N, C, 9           1   91.55   67.25   74.30
3NT, S, S, 8           1   42.96   59.15   33.80
3NTX, N, C, 8          1   23.94   59.19   14.75
4S, N, C, 8            1   23.94   43.88   30.07
4S, N, H, 8            2   23.94   43.88   30.07
4S, N, H, 9            2   42.96   43.88   49.08
4S, S, C, 8            1   23.94   38.23   35.71
4S, S, D, 10           2   93.66   38.23  105.43
4S, S, D, 8            2   23.94   38.23   35.71
4S, S, D, 9            3   42.96   38.23   54.73
4S, S, H, 8            2   23.94   38.23   35.71
4S, S, S, 8            2   23.94   38.23   35.71
4S, S, S, 9            3   42.96   38.23   54.73
4SX, N, D, 10          1   98.59   30.03  118.57
4SX, N, D, 8           1    6.34   30.03   26.31
4SX, N, H, 10          1   98.59   30.03  118.57
4SX, N, H, 8           2    6.34   30.03   26.31
4SX, N, H, 9           2   23.94   30.03   43.92
4SX, S, C, 7           1    0.00   22.34   27.66
4SX, S, D, 9           1   23.94   22.34   51.60
4SX, S, H, 10          1   98.59   22.34  126.25
4SX, S, S, 8           5    6.34   22.34   33.99
4SX, S, S, 9           1   23.94   22.34   51.60
pass                   4   52.82   52.82   50.00

DEFENDER, Board 26|1

Contract           Count Overall     Bid    Lead Restdef
1NT, N, H, 9           1   20.42   26.76   43.66   50.00
1NT, S, H, 9           1   20.42   28.87   41.55   50.00
1NT, S, S, 8           1   33.10   28.87   54.23   50.00
2HX, E, C, 6           3   87.32   70.82   50.00   66.50
2HX, E, C, 7           3   58.45   70.82   50.00   37.63
2HX, W, C, 7           1   58.45   58.45   50.00   50.00
2NT, N, C, 8           1   33.10   26.76   52.11   54.23
2S, N, C, 10           1   17.61   30.06   47.06   40.49
2S, N, H, 10           1   17.61   30.06   50.31   37.24
2S, N, H, 8            1   36.62   30.06   50.31   56.26
2S, N, H, 9            4   26.76   30.06   50.31   46.40
2S, N, S, 8            1   36.62   30.06   56.56   50.00
2S, S, H, 9            1   26.76   31.65   47.75   47.36
2S, S, S, 8            1   36.62   31.65   50.86   54.11
2S, S, S, 9            2   26.76   31.65   50.86   44.26
2SX, N, H, 7           1   76.06    7.21   51.14  117.71
2SX, N, H, 9           1    4.23    7.21   51.14   45.88
2SX, S, S, 7           1   76.06    8.72   49.85  117.49
3CX, E, C, 7           1   87.32   87.32   50.00   50.00
3D, N, D, 8            1   57.04   57.04   50.00   50.00
3HX, E, C, 7           1   87.32   90.38   50.00   46.95
3NT, N, C, 9           1    8.45   32.75   58.10   17.61
3NT, S, S, 8           1   57.04   40.85   66.20   50.00
3NTX, N, C, 8          1   76.06   40.81   61.75   73.50
4S, N, C, 8            1   76.06   56.12   35.08   84.86
4S, N, H, 8            2   76.06   56.12   52.34   67.60
4S, N, H, 9            2   57.04   56.12   52.34   48.58
4S, S, C, 8            1   76.06   61.77   70.01   44.28
4S, S, D, 10           2    6.34   61.77   37.35    7.22
4S, S, D, 8            2   76.06   61.77   37.35   76.94
4S, S, D, 9            3   57.04   61.77   37.35   57.92
4S, S, H, 8            2   76.06   61.77   42.10   72.18
4S, S, S, 8            2   76.06   61.77   54.88   59.41
4S, S, S, 9            3   57.04   61.77   54.88   40.39
4SX, N, D, 10          1    1.41   69.97   27.56    3.87
4SX, N, D, 8           1   93.66   69.97   27.56   96.13
4SX, N, H, 10          1    1.41   69.97   53.89  -22.45
4SX, N, H, 8           2   93.66   69.97   53.89   69.80
4SX, N, H, 9           2   76.06   69.97   53.89   52.20
4SX, S, C, 7           1  100.00   77.66   69.17   53.17
4SX, S, D, 9           1   76.06   77.66   34.14   64.26
4SX, S, H, 10          1    1.41   77.66   38.54  -14.79
4SX, S, S, 8           5   93.66   77.66   57.07   58.93
4SX, S, S, 9           1   76.06   77.66   57.07   41.33
pass                   4   47.18   47.18   50.00   50.00

DECLARER, Board 26|2

Contract           Count Overall     Bid    Play
1NT, N, H, 7           1   46.48   69.01   27.46
1S, N, H, 7            1   45.07   62.44   32.63
2C, W, D, 6            1   50.70   50.70   50.00
2D, N, D, 9            3   71.13   72.63   48.50
2D, N, H, 9            3   71.13   72.63   48.50
2D, S, D, 10           1   93.66   72.63   71.03
2D, S, H, 9           12   71.13   72.63   48.50
2H, W, C, 7            1   57.04   57.04   50.00
2NT, N, D, 8           1   91.55   61.62   79.93
2NT, S, H, 7           1   31.69   44.27   37.42
2S, N, H, 8            1   71.13   57.98   63.15
2S, S, H, 9            1   95.77   95.77   50.00
3D, N, H, 9            7   71.13   72.63   48.50
3D, S, H, 9            2   71.13   72.63   48.50
3H, E, H, 8            1   57.04   57.04   50.00
3H, W, C, 7            2   50.70   50.70   50.00
3HX, W, C, 7           1    2.82    2.82   50.00
3NT, N, H, 7           1   16.20   23.94   42.25
3NT, N, H, 8           1   31.69   23.94   57.75
3NT, S, C, 9           1  100.00   21.19  128.81
3NT, S, D, 7           1   16.20   21.19   45.01
3NT, S, H, 4           1    1.41   21.19   30.22
3NT, S, H, 6           2    5.63   21.19   34.45
3NT, S, H, 7          10   16.20   21.19   45.01
3NT, S, H, 8           4   31.69   21.19   60.50
3NT, S, S, 8           1   31.69   21.19   60.50
3NTX, S, H, 7          1    1.41    8.67   42.74
3S, N, D, 8            1   31.69   26.53   55.16
4D, N, H, 10           1   93.66   35.82  107.84
4D, N, H, 9            1   31.69   35.82   45.87
4HX, W, C, 7           1    1.41    1.41   50.00
4S, S, H, 9            1   31.69   31.69   50.00
5NT, S, H, 6           1    1.41    4.47   46.94
7H, S, H, 10           1    5.63    5.63   50.00
pass                   2   40.14   40.14   50.00

DEFENDER, Board 26|2

Contract           Count Overall     Bid    Lead Restdef
1NT, N, H, 7           1   53.52   30.99   57.51   65.02
1S, N, H, 7            1   54.93   37.56   54.34   63.03
2C, W, D, 6            1   49.30   49.30   50.00   50.00
2D, N, D, 9            3   28.87   27.37   51.50   50.00
2D, N, H, 9            3   28.87   27.37   49.62   51.88
2D, S, D, 10           1    6.34   27.37   28.97   50.00
2D, S, H, 9           12   28.87   27.37   51.50   50.00
2H, W, C, 7            1   42.96   42.96   50.00   50.00
2NT, N, D, 8           1    8.45   38.38   20.07   50.00
2NT, S, H, 7           1   68.31   55.73   54.31   58.27
2S, N, H, 8            1   28.87   42.02   56.57   30.28
2S, S, H, 9            1    4.23    4.23   50.00   50.00
3D, N, H, 9            7   28.87   27.37   49.62   51.88
3D, S, H, 9            2   28.87   27.37   51.50   50.00
3H, E, H, 8            1   42.96   42.96   50.00   50.00
3H, W, C, 7            2   49.30   49.30   50.00   50.00
3HX, W, C, 7           1   97.18   97.18   50.00   50.00
3NT, N, H, 7           1   83.80   76.06   52.58   55.16
3NT, N, H, 8           1   68.31   76.06   52.58   39.67
3NT, S, C, 9           1    0.00   78.81  -28.81   50.00
3NT, S, D, 7           1   83.80   78.81   54.99   50.00
3NT, S, H, 4           1   98.59   78.81   54.22   65.56
3NT, S, H, 6           2   94.37   78.81   54.22   61.34
3NT, S, H, 7          10   83.80   78.81   54.22   50.77
3NT, S, H, 8           4   68.31   78.81   54.22   35.28
3NT, S, S, 8           1   68.31   78.81   39.50   50.00
3NTX, S, H, 7          1   98.59   91.33   54.58   52.68
3S, N, D, 8            1   68.31   73.47   44.84   50.00
4D, N, H, 10           1    6.34   64.18   48.97   -6.81
4D, N, H, 9            1   68.31   64.18   48.97   55.16
4HX, W, C, 7           1   98.59   98.59   50.00   50.00
4S, S, H, 9            1   68.31   68.31   50.00   50.00
5NT, S, H, 6           1   98.59   95.53   50.63   52.43
7H, S, H, 10           1   94.37   94.37   50.00   50.00
