DECLARER, Board 10|3

Contract           Count Overall     Bid    Play
1DX, E, H, 5           1    5.38   36.92   18.46
2NTX, N, H, 6          1    6.92   30.96   25.96
2NTX, N, H, 7          1   16.92   30.96   35.96
2NTX, N, H, 8          1  100.00   30.96  119.04
2S, N, C, 7            1   70.77   82.74   38.03
2S, N, C, 8            1   92.31   82.74   59.57
2SX, N, C, 7           1   16.92   61.37    5.56
2SX, N, C, 8           3   96.92   61.37   85.56
3C, E, C, 9            1   43.85   43.85   50.00
3C, E, S, 9            1   43.85   43.85   50.00
3C, W, C, 10           4   67.69   59.74   57.95
3C, W, D, 9            1   43.85   59.74   34.10
3C, W, H, 10           1   67.69   59.74   57.95
3C, W, S, 10           1   67.69   59.74   57.95
3C, W, S, 9            4   43.85   59.74   34.10
3CX, W, H, 10          1   99.23   95.95   53.28
3CX, W, S, 10          1   99.23   95.95   53.28
3D, E, H, 9            2   43.85   43.54   50.31
3D, E, S, 8            1   19.23   43.54   25.69
3D, E, S, 9            2   43.85   43.54   50.31
3H, W, D, 8            1   19.23   17.31   51.92
3NT, E, S, 10          1   88.46   23.37  115.10
3NT, E, S, 5           1    6.15   23.37   32.79
3NT, E, S, 7           2   11.54   23.37   38.17
3NT, E, S, 8           3   19.23   23.37   45.87
3NT, W, S, 10          1   88.46   49.42   89.04
3NT, W, S, 7           2   11.54   49.42   12.12
3NT, W, S, 9           1   86.15   49.42   86.73
3SX, N, C, 7           2    6.92   12.48   44.44
3SX, N, C, 8           1   16.92   12.48   54.44
4CX, W, S, 10          1   96.92   68.46   78.46

DEFENDER, Board 14|12

Contract           Count Overall     Bid    Lead Restdef
1NT, E, S, 7           1   73.85   57.12   50.00   66.72
1NTX, N, D, 5          1   93.08   47.45   95.63   50.00
2C, E, H, 9            1   56.15   56.15   50.00   50.00
2C, W, C, 10           1   32.31   40.26   42.05   50.00
2C, W, D, 10           2   32.31   40.26   50.00   42.05
2C, W, H, 10           1   32.31   40.26   42.05   50.00
2C, W, S, 10           3   32.31   40.26   54.89   37.16
2C, W, S, 9            3   56.15   40.26   54.89   61.01
2D, E, S, 11           2   20.77   54.38   49.56   16.83
2D, E, S, 8            2   73.85   54.38   49.56   69.90
2D, E, S, 9            1   56.15   54.38   49.56   52.21
2H, W, D, 7            1   80.77   62.31   56.15   62.31
2H, W, H, 8            1   56.15   62.31   43.85   50.00
2H, W, S, 8            1   56.15   62.31   43.85   50.00
2NTX, N, H, 6          1   93.08   69.04   39.68   84.36
2NTX, N, H, 7          1   83.08   69.04   39.68   74.36
2NTX, N, H, 8          1    0.00   69.04   39.68   -8.72
2S, N, C, 7            1   29.23   17.26   50.00   61.97
2S, N, C, 8            1    7.69   17.26   50.00   40.43
2SX, N, C, 7           1   83.08   38.63   50.00   94.44
2SX, N, C, 8           3    3.08   38.63   50.00   14.44
3C, E, C, 9            1   56.15   56.15   50.00   50.00
3C, E, S, 9            1   56.15   56.15   50.00   50.00
3C, W, C, 10           4   32.31   40.26   42.05   50.00
3C, W, D, 9            1   56.15   40.26   50.00   65.90
3C, W, H, 10           1   32.31   40.26   42.05   50.00
3C, W, S, 10           1   32.31   40.26   54.89   37.16
3C, W, S, 9            4   56.15   40.26   54.89   61.01
3CX, W, H, 10          1    0.77    4.05   46.72   50.00
3CX, W, S, 10          1    0.77    4.05   52.02   44.70
3D, E, H, 9            2   56.15   56.46   49.69   50.00
3D, E, S, 8            1   80.77   56.46   50.08   74.23
3D, E, S, 9            2   56.15   56.46   50.08   49.62
3H, W, D, 8            1   80.77   82.69   51.92   46.15
3NT, E, S, 10          1   11.54   76.63   50.00  -15.10
3NT, E, S, 5           1   93.85   76.63   50.00   67.21
3NT, E, S, 7           2   88.46   76.63   50.00   61.83
3NT, E, S, 8           3   80.77   76.63   50.00   54.13
3NT, W, S, 10          1   11.54   50.58   50.00   10.96
3NT, W, S, 7           2   88.46   50.58   50.00   87.88
3NT, W, S, 9           1   13.85   50.58   50.00   13.27
3SX, N, C, 7           2   93.08   87.52   50.00   55.56
3SX, N, C, 8           1   83.08   87.52   50.00   45.56
4CX, W, S, 10          1    3.08   31.54   67.51    4.02

DECLARER, Board 15|13

Contract           Count Overall     Bid    Play
2NT, N, D, 10          1   46.15   39.15   57.00
2S, S, D, 9            1   20.00   26.71   43.29
2S, S, H, 9            1   20.00   26.71   43.29
3C, N, D, 11          10   33.85   33.85   50.00
3C, N, H, 11           2   33.85   33.85   50.00
3C, S, C, 11           1   33.85   33.85   50.00
3NT, N, D, 10          7   71.54   65.34   56.20
3NT, N, D, 11         14   89.23   65.34   73.89
3NT, N, D, 8           3   10.00   65.34   -5.34
3NT, N, D, 9           9   54.62   65.34   39.27
3NT, N, H, 8           1   10.00   65.34   -5.34
3NT, N, H, 9           1   54.62   65.34   39.27
3NT, S, D, 10          1   71.54   54.36   67.18
3NT, S, D, 11          1   89.23   54.36   84.87
3NT, S, D, 7           1    2.31   54.36   -2.05
3S, N, D, 9            1   20.00   20.00   50.00
3S, S, D, 9            1   20.00   26.71   43.29
3S, S, H, 10           1   44.62   26.71   67.90
3S, S, H, 9            1   20.00   26.71   43.29
4NT, N, H, 8           1    2.31   52.25    0.06
4S, S, D, 10           2   63.85   24.69   89.16
4S, S, D, 9            1   10.00   24.69   35.31
4S, S, H, 9            3   10.00   24.69   35.31
5D, S, H, 7            1    0.00    0.00   50.00

DEFENDER, Board 15|13

Contract           Count Overall     Bid    Lead Restdef
2NT, N, D, 10          1   53.85   60.85   48.52   44.48
2S, S, D, 9            1   80.00   73.29   46.87   59.85
2S, S, H, 9            1   80.00   73.29   52.61   54.10
3C, N, D, 11          10   66.15   66.15   50.00   50.00
3C, N, H, 11           2   66.15   66.15   50.00   50.00
3C, S, C, 11           1   66.15   66.15   50.00   50.00
3NT, N, D, 10          7   28.46   34.66   46.43   47.38
3NT, N, D, 11         14   10.77   34.66   46.43   29.68
3NT, N, D, 8           3   90.00   34.66   46.43  108.91
3NT, N, D, 9           9   45.38   34.66   46.43   64.30
3NT, N, H, 8           1   90.00   34.66   90.47   64.87
3NT, N, H, 9           1   45.38   34.66   90.47   20.26
3NT, S, D, 10          1   28.46   45.64   50.00   32.82
3NT, S, D, 11          1   10.77   45.64   50.00   15.13
3NT, S, D, 7           1   97.69   45.64   50.00  102.05
3S, N, D, 9            1   80.00   80.00   50.00   50.00
3S, S, D, 9            1   80.00   73.29   46.87   59.85
3S, S, H, 10           1   55.38   73.29   52.61   29.49
3S, S, H, 9            1   80.00   73.29   52.61   54.10
4NT, N, H, 8           1   97.69   47.75   97.37   52.56
4S, S, D, 10           2   36.15   75.31   43.15   17.69
4S, S, D, 9            1   90.00   75.31   43.15   71.54
4S, S, H, 9            3   90.00   75.31   55.71   58.97
5D, S, H, 7            1  100.00  100.00   50.00   50.00

DECLARER, Board 15|14

Contract           Count Overall     Bid    Play
3NT, E, D, 10          6   71.54   50.72   70.82
3NT, E, D, 6           4    2.31   50.72    1.59
3NT, E, D, 7           1    6.92   50.72    6.20
3NT, E, D, 8           4   13.85   50.72   13.13
3NT, E, D, 9          16   38.46   50.72   37.74
3NT, E, H, 10          7   71.54   50.72   70.82
3NT, E, H, 11          7   91.54   50.72   90.82
3NT, E, H, 12          1  100.00   50.72   99.28
3NT, E, H, 9           2   38.46   50.72   37.74
3NT, W, C, 10          1   71.54   56.92   64.62
3NT, W, D, 10          2   71.54   56.92   64.62
3NT, W, D, 11          1   91.54   56.92   84.62
3NT, W, D, 9           6   38.46   56.92   31.54
3NT, W, H, 11          1   91.54   56.92   84.62
3NT, W, S, 11          1   91.54   56.92   84.62
3NT, W, S, 9           1   38.46   56.92   31.54
4NT, W, D, 9           1   13.85   42.86   20.99
4S, W, D, 9            1   13.85   36.15   27.69
5C, E, H, 12           1   58.46   48.46   60.00
6C, E, H, 11           1   13.85   56.92    6.92
6S, W, C, 10           1    6.92    4.62   52.31

DEFENDER, Board 15|14

Contract           Count Overall     Bid    Lead Restdef
3NT, E, D, 10          6   28.46   49.28   64.72   14.47
3NT, E, D, 6           4   97.69   49.28   64.72   83.70
3NT, E, D, 7           1   93.08   49.28   64.72   79.08
3NT, E, D, 8           4   86.15   49.28   64.72   72.16
3NT, E, D, 9          16   61.54   49.28   64.72   47.54
3NT, E, H, 10          7   28.46   49.28   23.16   56.02
3NT, E, H, 11          7    8.46   49.28   23.16   36.02
3NT, E, H, 12          1    0.00   49.28   23.16   27.56
3NT, E, H, 9           2   61.54   49.28   23.16   89.10
3NT, W, C, 10          1   28.46   43.08   35.38   50.00
3NT, W, D, 10          2   28.46   43.08   56.54   28.85
3NT, W, D, 11          1    8.46   43.08   56.54    8.85
3NT, W, D, 9           6   61.54   43.08   56.54   61.92
3NT, W, H, 11          1    8.46   43.08   15.38   50.00
3NT, W, S, 11          1    8.46   43.08   41.92   23.46
3NT, W, S, 9           1   61.54   43.08   41.92   76.54
4NT, W, D, 9           1   86.15   57.14   59.70   69.31
4S, W, D, 9            1   86.15   63.85   72.31   50.00
5C, E, H, 12           1   41.54   51.54   50.00   40.00
6C, E, H, 11           1   86.15   43.08   50.00   93.08
6S, W, C, 10           1   93.08   95.38   47.69   50.00

DECLARER, Board 16|15

Contract           Count Overall     Bid    Play
1C, S, D, 4            1    1.54    4.10   47.44
1C, S, D, 5            2    5.38    4.10   51.28
1H, E, D, 8            1   47.69   69.41   28.28
1NT, E, C, 7           1   30.77   37.44   43.33
1NT, E, D, 7           3   30.77   37.44   43.33
1NT, E, S, 10          1   90.77   37.44  103.33
1NT, N, C, 7           1   94.62   85.77   58.85
1NT, N, H, 7           2   94.62   85.77   58.85
1NT, N, S, 6           1   59.23   85.77   23.46
1NT, W, D, 7           6   30.77   30.77   50.00
1NT, W, S, 7           1   30.77   30.77   50.00
1S, W, C, 7            1   21.54   32.00   39.54
1S, W, C, 8            1   47.69   32.00   65.69
2D, N, S, 7            1   59.23   73.38   35.85
2D, N, S, 8            1   94.62   73.38   71.23
2DX, N, S, 7           1    5.38   43.23   12.15
2DX, N, S, 8           1  100.00   43.23  106.77
2H, E, C, 9            1   73.85   69.41   54.44
2H, E, D, 8            4   47.69   69.41   28.28
2H, E, D, 9           14   73.85   69.41   54.44
2H, E, S, 10           1   89.23   69.41   69.82
2NT, E, D, 7           3   14.62   23.08   41.54
2NT, W, D, 7           2   14.62   14.62   50.00
2S, W, C, 7            1   14.62   27.85   36.77
2S, W, C, 8            1   47.69   27.85   69.85
2S, W, D, 7            1   14.62   27.85   36.77
3C, E, C, 10           1   56.15   56.15   50.00
3C, E, D, 10           3   56.15   56.15   50.00
3D, N, C, 7            1    5.38   26.92   28.46
3H, E, D, 9            4   73.85   63.05   60.80
3NT, E, D, 7           1    1.54   12.31   39.23
4CX, E, C, 10          1  100.00  100.00   50.00
4H, E, D, 9            1   14.62   15.33   49.29

DEFENDER, Board 16|15

Contract           Count Overall     Bid    Lead Restdef
1C, S, D, 4            1   98.46   95.90   50.00   52.56
1C, S, D, 5            2   94.62   95.90   50.00   48.72
1H, E, D, 8            1   52.31   30.59   51.01   70.71
1NT, E, C, 7           1   69.23   62.56   56.67   50.00
1NT, E, D, 7           3   69.23   62.56   56.67   50.00
1NT, E, S, 10          1    9.23   62.56   -3.33   50.00
1NT, N, C, 7           1    5.38   14.23   41.15   50.00
1NT, N, H, 7           2    5.38   14.23   41.15   50.00
1NT, N, S, 6           1   40.77   14.23   76.54   50.00
1NT, W, D, 7           6   69.23   69.23   50.00   50.00
1NT, W, S, 7           1   69.23   69.23   50.00   50.00
1S, W, C, 7            1   78.46   68.00   47.38   63.08
1S, W, C, 8            1   52.31   68.00   47.38   36.92
2D, N, S, 7            1   40.77   26.62   46.46   67.69
2D, N, S, 8            1    5.38   26.62   46.46   32.31
2DX, N, S, 7           1   94.62   56.77   40.54   97.31
2DX, N, S, 8           1    0.00   56.77   40.54    2.69
2H, E, C, 9            1   26.15   30.59   45.56   50.00
2H, E, D, 8            4   52.31   30.59   51.01   70.71
2H, E, D, 9           14   26.15   30.59   51.01   44.55
2H, E, S, 10           1   10.77   30.59   30.18   50.00
2NT, E, D, 7           3   85.38   76.92   58.46   50.00
2NT, W, D, 7           2   85.38   85.38   50.00   50.00
2S, W, C, 7            1   85.38   72.15   46.69   66.54
2S, W, C, 8            1   52.31   72.15   46.69   33.46
2S, W, D, 7            1   85.38   72.15   63.23   50.00
3C, E, C, 10           1   43.85   43.85   50.00   50.00
3C, E, D, 10           3   43.85   43.85   50.00   50.00
3D, N, C, 7            1   94.62   73.08   71.54   50.00
3H, E, D, 9            4   26.15   36.95   51.54   37.66
3NT, E, D, 7           1   98.46   87.69   60.77   50.00
4CX, E, C, 10          1    0.00    0.00   50.00   50.00
4H, E, D, 9            1   85.38   84.67   53.44   47.28

DECLARER, Board 16|16

Contract           Count Overall     Bid    Play
3NT, E, D, 10          1   23.08   50.18   22.89
3NT, E, H, 10          1   23.08   50.18   22.89
3NT, E, H, 12          2   84.62   50.18   84.43
3NT, E, H, 9           1    4.62   50.18    4.43
3NT, E, S, 10         10   23.08   50.18   22.89
3NT, E, S, 11         13   53.08   50.18   52.89
3NT, E, S, 12          9   84.62   50.18   84.43
3NT, E, S, 9           1    4.62   50.18    4.43
3NT, W, D, 12          1   84.62   55.35   79.26
3NT, W, H, 10          6   23.08   55.35   17.72
3NT, W, H, 11          6   53.08   55.35   47.72
3NT, W, H, 12          9   84.62   55.35   79.26
3NT, W, H, 9           1    4.62   55.35   -0.74
3NT, W, S, 10          1   23.08   55.35   17.72
3NT, W, S, 11          1   53.08   55.35   47.72
4H, E, S, 10           1    7.69    4.23   53.46
4H, E, S, 8            1    0.77    4.23   46.54
6D, E, C, 10           1    0.77    0.77   50.00

DEFENDER, Board 16|16

Contract           Count Overall     Bid    Lead Restdef
3NT, E, D, 10          1   76.92   49.82   77.11   50.00
3NT, E, H, 10          1   76.92   49.82   50.95   76.15
3NT, E, H, 12          2   15.38   49.82   50.95   14.62
3NT, E, H, 9           1   95.38   49.82   50.95   94.62
3NT, E, S, 10         10   76.92   49.82   50.21   76.90
3NT, E, S, 11         13   46.92   49.82   50.19   46.91
3NT, E, S, 12          9   15.38   49.82   50.18   15.38
3NT, E, S, 9           1   95.38   49.82   50.21   95.36
3NT, W, D, 12          1   15.38   44.65   20.74   50.00
3NT, W, H, 10          6   76.92   44.65   49.76   82.52
3NT, W, H, 11          6   46.92   44.65   49.76   52.52
3NT, W, H, 12          9   15.38   44.65   49.76   20.98
3NT, W, H, 9           1   95.38   44.65   49.76  100.98
3NT, W, S, 10          1   76.92   44.65   67.28   65.00
3NT, W, S, 11          1   46.92   44.65   67.28   35.00
4H, E, S, 10           1   92.31   95.77   50.00   46.54
4H, E, S, 8            1   99.23   95.77   50.00   53.46
6D, E, C, 10           1   99.23   99.23   50.00   50.00

DECLARER, Board 17|1

Contract           Count Overall     Bid    Play
2HX, W, D, 8           1   98.46   87.22   61.24
3D, S, C, 9            4   26.92   28.99   47.93
3D, S, H, 10           1   33.08   28.99   54.08
3D, S, H, 11           1   35.38   28.99   56.39
3D, S, H, 9            1   26.92   28.99   47.93
3D, S, S, 9            1   26.92   28.99   47.93
3H, W, C, 7            1   80.00   82.25   47.75
3H, W, D, 8            1   83.08   82.25   50.82
3HX, W, C, 7           1   60.77   69.70   41.07
3HX, W, D, 7           3   60.77   69.70   41.07
3HX, W, D, 8           2   80.00   69.70   60.30
3HX, W, D, 9           1  100.00   69.70   80.30
3NT, N, C, 8           4   10.00   60.27   -0.27
3NT, N, C, 9           3   60.77   60.27   50.50
3NT, N, H, 10          9   86.92   60.27   76.65
3NT, N, H, 8           1   10.00   60.27   -0.27
3NT, N, H, 9          14   60.77   60.27   50.50
3NT, N, S, 9           5   60.77   60.27   50.50
3NT, S, H, 10          1   86.92   69.49   67.44
3NT, S, H, 9           2   60.77   69.49   41.28
3NTX, N, C, 9          1  100.00   86.90   63.10
4D, S, C, 9            1   10.00   17.28   42.72
4D, S, H, 10           1   33.08   17.28   65.80
4D, S, H, 9            1   10.00   17.28   42.72
4HX, W, D, 7           3    3.08   26.75   26.33
5D, S, C, 9            1    3.08    9.11   43.96
5D, S, S, 10           1   10.00    9.11   50.89

DEFENDER, Board 17|1

Contract           Count Overall     Bid    Lead Restdef
2HX, W, D, 8           1    1.54   12.78   48.69   40.07
3D, S, C, 9            4   73.08   71.01   52.07   50.00
3D, S, H, 10           1   66.92   71.01   47.92   48.00
3D, S, H, 11           1   64.62   71.01   47.92   45.69
3D, S, H, 9            1   73.08   71.01   47.92   54.15
3D, S, S, 9            1   73.08   71.01   48.99   53.08
3H, W, C, 7            1   20.00   17.75   52.25   50.00
3H, W, D, 8            1   16.92   17.75   49.59   49.58
3HX, W, C, 7           1   39.23   30.30   58.93   50.00
3HX, W, D, 7           3   39.23   30.30   48.38   60.56
3HX, W, D, 8           2   20.00   30.30   48.38   41.33
3HX, W, D, 9           1    0.00   30.30   48.38   21.33
3NT, N, C, 8           4   90.00   39.73   74.89   75.38
3NT, N, C, 9           3   39.23   39.73   74.89   24.62
3NT, N, H, 10          9   13.08   39.73   41.81   31.54
3NT, N, H, 8           1   90.00   39.73   41.81  108.46
3NT, N, H, 9          14   39.23   39.73   41.81   57.69
3NT, N, S, 9           5   39.23   39.73   49.50   50.00
3NT, S, H, 10          1   13.08   30.51   50.00   32.56
3NT, S, H, 9           2   39.23   30.51   50.00   58.72
3NTX, N, C, 9          1    0.00   13.10   85.36    1.54
4D, S, C, 9            1   90.00   82.72   57.28   50.00
4D, S, H, 10           1   66.92   82.72   42.97   41.23
4D, S, H, 9            1   90.00   82.72   42.97   64.31
4HX, W, D, 7           3   96.92   73.25   45.70   77.97
5D, S, C, 9            1   96.92   90.89   56.04   50.00
5D, S, S, 10           1   90.00   90.89   52.57   46.54

DECLARER, Board 17|2

Contract           Count Overall     Bid    Play
2H, E, S, 4            1   96.92   96.92   50.00
3D, S, C, 13           1    1.54    0.51   51.03
3NT, N, H, 11          1   59.23   47.69   61.54
3NT, N, S, 10          5   45.38   47.69   47.69
3NT, S, C, 10          2   45.38   26.43   68.95
3NT, S, D, 9           1   14.62   26.43   38.18
3NT, S, H, 10          1   45.38   26.43   68.95
3NT, S, H, 11          1   59.23   26.43   82.80
3NT, S, H, 9          13   14.62   26.43   38.18
3NT, S, S, 10          3   45.38   26.43   68.95
4D, S, H, 12           1    0.00    0.51   49.49
4NT, S, C, 10          1   45.38   17.13   78.25
5D, S, D, 13           1   56.15   39.23   66.92
5D, S, H, 12           7   30.77   39.23   41.54
5D, S, S, 13           1   56.15   39.23   66.92
5DX, N, H, 12          1   61.54   61.68   49.85
6D, N, D, 13           1   93.85   79.42   64.42
6D, N, H, 12           2   74.62   79.42   45.19
6D, S, C, 12           1   74.62   81.03   43.59
6D, S, C, 13           2   93.85   81.03   62.82
6D, S, D, 13           5   93.85   81.03   62.82
6D, S, H, 12          13   74.62   81.03   43.59
6D, S, S, 13           1   93.85   81.03   62.82

DEFENDER, Board 17|2

Contract           Count Overall     Bid    Lead Restdef
2H, E, S, 4            1    3.08    3.08   50.00   50.00
3D, S, C, 13           1   98.46   99.49   49.36   49.62
3NT, N, H, 11          1   40.77   52.31   38.46   50.00
3NT, N, S, 10          5   54.62   52.31   52.31   50.00
3NT, S, C, 10          2   54.62   73.57   31.05   50.00
3NT, S, D, 9           1   85.38   73.57   61.82   50.00
3NT, S, H, 10          1   54.62   73.57   56.79   24.26
3NT, S, H, 11          1   40.77   73.57   56.79   10.41
3NT, S, H, 9          13   85.38   73.57   56.79   55.03
3NT, S, S, 10          3   54.62   73.57   31.05   50.00
4D, S, H, 12           1  100.00   99.49   50.51   50.00
4NT, S, C, 10          1   54.62   82.87   21.75   50.00
5D, S, D, 13           1   43.85   60.77   33.08   50.00
5D, S, H, 12           7   69.23   60.77   58.46   50.00
5D, S, S, 13           1   43.85   60.77   33.08   50.00
5DX, N, H, 12          1   38.46   38.32   50.15   50.00
6D, N, D, 13           1    6.15   20.58   35.58   50.00
6D, N, H, 12           2   25.38   20.58   54.81   50.00
6D, S, C, 12           1   25.38   18.97   41.99   64.42
6D, S, C, 13           2    6.15   18.97   41.99   45.19
6D, S, D, 13           5    6.15   18.97   37.18   50.00
6D, S, H, 12          13   25.38   18.97   56.41   50.00
6D, S, S, 13           1    6.15   18.97   37.18   50.00

DECLARER, Board 18|3

Contract           Count Overall     Bid    Play
3C, S, D, 11           1   49.23   49.23   50.00
3NT, N, D, 10          2   86.92   45.91   91.01
3NT, N, H, 10          4   86.92   45.91   91.01
3NT, N, H, 11          1   97.69   45.91  101.78
3NT, N, H, 7           6    6.15   45.91   10.24
3NT, N, H, 8          19   29.23   45.91   33.32
3NT, N, H, 9          10   64.62   45.91   68.71
3NT, N, S, 11          1   97.69   45.91  101.78
3NT, N, S, 9           1   64.62   45.91   68.71
3NT, S, H, 10          2   86.92   56.38   80.54
3NT, S, H, 4           1    0.00   56.38   -6.38
3NT, S, H, 7           1    6.15   56.38   -0.23
3NT, S, H, 8           1   29.23   56.38   22.85
3NT, S, H, 9           6   64.62   56.38   58.24
3NT, S, S, 10          2   86.92   56.38   80.54
3NT, S, S, 8           2   29.23   56.38   22.85
3NT, S, S, 9           2   64.62   56.38   58.24
4C, N, H, 10           1   47.69   47.69   50.00
4H, S, C, 12           1  100.00   97.69   52.31
4H, S, S, 11           1   95.38   97.69   47.69
5C, N, H, 10           1   29.23   29.23   50.00

DEFENDER, Board 18|3

Contract           Count Overall     Bid    Lead Restdef
3C, S, D, 11           1   50.77   50.77   50.00   50.00
3NT, N, D, 10          2   13.08   54.09    8.99   50.00
3NT, N, H, 10          4   13.08   54.09   53.81    5.17
3NT, N, H, 11          1    2.31   54.09   53.81   -5.60
3NT, N, H, 7           6   93.85   54.09   53.81   85.94
3NT, N, H, 8          19   70.77   54.09   53.81   62.87
3NT, N, H, 9          10   35.38   54.09   53.81   27.48
3NT, N, S, 11          1    2.31   54.09   14.76   33.46
3NT, N, S, 9           1   35.38   54.09   14.76   66.54
3NT, S, H, 10          2   13.08   43.62   52.11   17.34
3NT, S, H, 4           1  100.00   43.62   52.11  104.27
3NT, S, H, 7           1   93.85   43.62   52.11   98.11
3NT, S, H, 8           1   70.77   43.62   52.11   75.03
3NT, S, H, 9           6   35.38   43.62   52.11   39.65
3NT, S, S, 10          2   13.08   43.62   46.12   23.33
3NT, S, S, 8           2   70.77   43.62   46.12   81.03
3NT, S, S, 9           2   35.38   43.62   46.12   45.64
4C, N, H, 10           1   52.31   52.31   50.00   50.00
4H, S, C, 12           1    0.00    2.31   47.69   50.00
4H, S, S, 11           1    4.62    2.31   52.31   50.00
5C, N, H, 10           1   70.77   70.77   50.00   50.00

DECLARER, Board 18|4

Contract           Count Overall     Bid    Play
3NT, W, D, 10          1    3.08    3.08   50.00
3S, W, D, 12           1    1.54    1.54   50.00
4S, E, C, 12           3   17.69   17.69   50.00
4S, E, D, 12           1   17.69   17.69   50.00
4S, W, D, 12          13   17.69   17.69   50.00
5S, W, C, 12           1   17.69   17.69   50.00
6S, E, C, 12           3   66.15   66.15   50.00
6S, E, D, 12           3   66.15   66.15   50.00
6S, E, H, 12           3   66.15   66.15   50.00
6S, E, S, 12           1   66.15   66.15   50.00
6S, W, D, 12          24   66.15   66.15   50.00
6S, W, H, 12           2   66.15   66.15   50.00
6S, W, S, 12           9   66.15   66.15   50.00
7S, W, S, 12           1    0.00    0.00   50.00

DEFENDER, Board 18|4

Contract           Count Overall     Bid    Lead Restdef
3NT, W, D, 10          1   96.92   96.92   50.00   50.00
3S, W, D, 12           1   98.46   98.46   50.00   50.00
4S, E, C, 12           3   82.31   82.31   50.00   50.00
4S, E, D, 12           1   82.31   82.31   50.00   50.00
4S, W, D, 12          13   82.31   82.31   50.00   50.00
5S, W, C, 12           1   82.31   82.31   50.00   50.00
6S, E, C, 12           3   33.85   33.85   50.00   50.00
6S, E, D, 12           3   33.85   33.85   50.00   50.00
6S, E, H, 12           3   33.85   33.85   50.00   50.00
6S, E, S, 12           1   33.85   33.85   50.00   50.00
6S, W, D, 12          24   33.85   33.85   50.00   50.00
6S, W, H, 12           2   33.85   33.85   50.00   50.00
6S, W, S, 12           9   33.85   33.85   50.00   50.00
7S, W, S, 12           1  100.00  100.00   50.00   50.00

DECLARER, Board 19|5

Contract           Count Overall     Bid    Play
1NT, E, C, 9           1   68.46   60.44   58.02
2D, E, S, 10           1   53.85   52.43   51.42
2H, N, C, 8            1   95.38   88.82   56.57
2HX, N, C, 9           1  100.00   84.23   65.77
2NT, E, C, 9           3   68.46   58.35   60.12
2NT, E, H, 7           1   35.38   58.35   27.04
2NT, E, S, 6           1   19.23   58.35   10.88
2S, W, H, 9            2   63.85   48.97   64.87
3D, E, C, 10           2   53.85   52.43   51.42
3D, E, H, 10           3   53.85   52.43   51.42
3D, E, S, 10           2   53.85   52.43   51.42
3D, E, S, 9            1   44.62   52.43   42.19
3H, N, C, 7            1   25.38   56.37   19.01
3H, N, C, 8            4   59.23   56.37   52.86
3HX, N, C, 8           2   25.38   27.98   47.41
3HX, S, C, 6           1    0.00   16.92   33.08
3HX, S, D, 8           1   25.38   16.92   58.46
3NT, E, C, 9           6   85.38   67.09   68.30
3NT, E, H, 7           2   19.23   67.09    2.15
3NT, E, H, 9           1   85.38   67.09   68.30
3NT, E, S, 10          2   93.08   67.09   75.99
3NT, E, S, 6           1    3.08   67.09  -14.01
3NT, W, H, 7          15   19.23   23.37   45.87
3NT, W, H, 9           1   85.38   23.37  112.02
3NTX, E, S, 9          1   98.46   73.35   75.11
4D, E, C, 10           1   53.85   51.01   52.84
4D, E, H, 10           1   53.85   51.01   52.84
4D, E, H, 9            1   35.38   51.01   34.38
4D, E, S, 10           1   53.85   51.01   52.84
4H, N, C, 7            1   21.54   27.76   43.78
4HX, N, C, 8           1    3.85    5.10   48.74
4HX, S, D, 8           1    3.85    2.56   51.28
4S, E, H, 9            1   35.38   35.38   50.00
4SX, W, H, 6           1    1.54   13.33   38.21

DEFENDER, Board 19|5

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 9           1   31.54   39.56   41.98   50.00
2D, E, S, 10           1   46.15   47.57   50.43   48.15
2H, N, C, 8            1    4.62   11.18   50.00   43.43
2HX, N, C, 9           1    0.00   15.77   50.00   34.23
2NT, E, C, 9           3   31.54   41.65   39.88   50.00
2NT, E, H, 7           1   64.62   41.65   64.69   58.27
2NT, E, S, 6           1   80.77   41.65   58.48   80.64
2S, W, H, 9            2   36.15   51.03   50.00   35.13
3D, E, C, 10           2   46.15   47.57   48.58   50.00
3D, E, H, 10           3   46.15   47.57   50.43   48.15
3D, E, S, 10           2   46.15   47.57   50.43   48.15
3D, E, S, 9            1   55.38   47.57   50.43   57.38
3H, N, C, 7            1   74.62   43.63   50.00   80.99
3H, N, C, 8            4   40.77   43.63   50.00   47.14
3HX, N, C, 8           2   74.62   72.02   50.00   52.59
3HX, S, C, 6           1  100.00   83.08   66.92   50.00
3HX, S, D, 8           1   74.62   83.08   41.54   50.00
3NT, E, C, 9           6   14.62   32.91   31.70   50.00
3NT, E, H, 7           2   80.77   32.91   81.32   66.54
3NT, E, H, 9           1   14.62   32.91   81.32    0.38
3NT, E, S, 10          2    6.92   32.91   61.55   12.46
3NT, E, S, 6           1   96.92   32.91   61.55  102.46
3NT, W, H, 7          15   80.77   76.63   50.00   54.13
3NT, W, H, 9           1   14.62   76.63   50.00  -12.02
3NTX, E, S, 9          1    1.54   26.65   63.05   11.84
4D, E, C, 10           1   46.15   48.99   47.16   50.00
4D, E, H, 10           1   46.15   48.99   50.85   46.31
4D, E, H, 9            1   64.62   48.99   50.85   64.77
